"",drug,cell_line,IC50,OncotreeCode
47039,Nutlin-3a (-),NCIH2081,5.272982,SCLC
47040,OF-1,NCIH2081,5.025268,SCLC
47041,OSI-027,NCIH2081,2.318341,SCLC
47042,OTX015,NCIH2081,2.001911,SCLC
47043,Olaparib,NCIH2081,3.332455,SCLC
47044,Osimertinib,NCIH2081,2.993030,SCLC
47045,Oxaliplatin,NCIH2081,2.395312,SCLC
47046,P22077,NCIH2081,2.062135,SCLC
47047,PCI-34051,NCIH2081,5.143551,SCLC
47048,PD0325901,NCIH2081,4.715566,SCLC
47049,PD173074,NCIH2081,5.013759,SCLC
47050,PF-4708671,NCIH2081,2.563195,SCLC
47051,PFI-1,NCIH2081,3.774253,SCLC
47052,PFI3,NCIH2081,5.731270,SCLC
47053,PLX-4720,NCIH2081,3.900673,SCLC
47054,PRIMA-1MET,NCIH2081,3.087659,SCLC
47055,PRT062607,NCIH2081,2.427769,SCLC
47056,Paclitaxel,NCIH2081,-3.616131,SCLC
47057,Palbociclib,NCIH2081,4.815813,SCLC
47058,Pevonedistat,NCIH2081,1.268581,SCLC
47059,Picolinici-acid,NCIH2081,5.247469,SCLC
47060,Pictilisib,NCIH2081,2.012597,SCLC
47061,Piperlongumine,NCIH2081,1.494371,SCLC
47062,Pyridostatin,NCIH2081,3.710388,SCLC
47063,RO-3306,NCIH2081,2.101590,SCLC
47064,RVX-208,NCIH2081,5.098669,SCLC
47065,Rapamycin,NCIH2081,-1.411665,SCLC
47066,Refametinib,NCIH2081,5.389211,SCLC
47067,Ribociclib,NCIH2081,4.192976,SCLC
47068,Rucaparib,NCIH2081,2.494198,SCLC
47069,Ruxolitinib,NCIH2081,3.960896,SCLC
47070,SB216763,NCIH2081,5.731852,SCLC
47071,SB505124,NCIH2081,5.335639,SCLC
47072,SB590885,NCIH2081,5.038705,SCLC
47073,SCH772984,NCIH2081,3.985853,SCLC
47074,SGC0946,NCIH2081,2.732252,SCLC
47075,SL0101,NCIH2081,4.664598,SCLC
47076,SN-38,NCIH2081,-4.781872,SCLC
47077,Sabutoclax,NCIH2081,0.471011,SCLC
47078,Sapitinib,NCIH2081,4.560037,SCLC
47079,Savolitinib,NCIH2081,3.354785,SCLC
47080,Selumetinib,NCIH2081,5.601928,SCLC
47081,Sepantronium bromide,NCIH2081,-4.469378,SCLC
47082,Serdemetan,NCIH2081,5.055145,SCLC
47083,Sorafenib,NCIH2081,1.168412,SCLC
47084,Staurosporine,NCIH2081,-1.942879,SCLC
47085,Talazoparib,NCIH2081,1.153249,SCLC
47086,Tamoxifen,NCIH2081,5.313318,SCLC
47087,Tanespimycin,NCIH2081,1.599197,SCLC
47088,Taselisib,NCIH2081,2.440392,SCLC
47089,Telomerase Inhibitor IX,NCIH2081,0.216804,SCLC
47090,Temozolomide,NCIH2081,6.202163,SCLC
47091,Temsirolimus,NCIH2081,0.823177,SCLC
47092,Tozasertib,NCIH2081,-0.877751,SCLC
47093,Trametinib,NCIH2081,3.119770,SCLC
47094,Tretinoin,NCIH2081,5.481401,SCLC
47095,Ulixertinib,NCIH2081,4.331387,SCLC
47096,Uprosertib,NCIH2081,2.697174,SCLC
47097,VE-822,NCIH2081,3.024082,SCLC
47098,VE821,NCIH2081,5.552830,SCLC
47099,VX-11e,NCIH2081,2.948436,SCLC
47100,Veliparib,NCIH2081,5.680908,SCLC
47101,Venetoclax,NCIH2081,4.188387,SCLC
47102,Vinorelbine,NCIH2081,-3.476823,SCLC
47103,Vismodegib,NCIH2081,4.120423,SCLC
47104,Vorinostat,NCIH2081,0.618163,SCLC
47105,WEHI-539,NCIH2081,5.168469,SCLC
47106,WIKI4,NCIH2081,3.460903,SCLC
47107,WZ4003,NCIH2081,5.377903,SCLC
47108,Wee1 Inhibitor,NCIH2081,1.433835,SCLC
47109,Wnt-C59,NCIH2081,3.311056,SCLC
47110,XAV939,NCIH2081,4.473928,SCLC
47111,YK-4-279,NCIH2081,1.676800,SCLC
47112,ZM447439,NCIH2081,0.694584,SCLC
47113,5-Fluorouracil,NCIH520,3.986304,LUSC
47114,5-azacytidine,NCIH520,1.617645,LUSC
47115,A-366,NCIH520,4.270572,LUSC
47116,ABT737,NCIH520,3.671065,LUSC
47117,AGI-5198,NCIH520,5.937872,LUSC
47118,AGI-6780,NCIH520,4.516538,LUSC
47119,AGK2,NCIH520,2.852337,LUSC
47120,AMG-319,NCIH520,3.785569,LUSC
47121,AT13148,NCIH520,4.417793,LUSC
47122,AZ6102,NCIH520,2.452369,LUSC
47123,AZ960,NCIH520,3.941451,LUSC
47124,AZD1208,NCIH520,5.963188,LUSC
47125,AZD1332,NCIH520,3.019559,LUSC
47126,AZD2014,NCIH520,1.804971,LUSC
47127,AZD3759,NCIH520,3.943820,LUSC
47128,AZD4547,NCIH520,0.687679,LUSC
47129,AZD5153,NCIH520,1.584919,LUSC
47130,AZD5363,NCIH520,2.130092,LUSC
47131,AZD5438,NCIH520,2.874697,LUSC
47132,AZD5582,NCIH520,2.180378,LUSC
47133,AZD5991,NCIH520,6.141363,LUSC
47134,AZD6738,NCIH520,2.301033,LUSC
47135,AZD7762,NCIH520,0.437358,LUSC
47136,AZD8055,NCIH520,-1.909361,LUSC
47137,AZD8186,NCIH520,2.132422,LUSC
47138,Acetalax,NCIH520,6.821307,LUSC
47139,Afatinib,NCIH520,1.679674,LUSC
47140,Afuresertib,NCIH520,1.709040,LUSC
47141,Alisertib,NCIH520,2.901376,LUSC
47142,Alpelisib,NCIH520,4.348622,LUSC
47143,Avagacestat,NCIH520,3.973150,LUSC
47144,Axitinib,NCIH520,1.618044,LUSC
47145,BI-2536,NCIH520,-0.530343,LUSC
47146,BIBR-1532,NCIH520,5.569544,LUSC
47147,BMS-345541,NCIH520,4.164147,LUSC
47148,BMS-536924,NCIH520,4.409068,LUSC
47149,BMS-754807,NCIH520,3.096366,LUSC
47150,Bleomycin,NCIH520,3.158494,LUSC
47151,Bleomycin (50 uM),NCIH520,5.699174,LUSC
47152,Bortezomib,NCIH520,-4.451725,LUSC
47153,Bosutinib,NCIH520,3.923518,LUSC
47154,Bromosporine,NCIH520,3.262722,LUSC
47155,Buparlisib,NCIH520,1.301806,LUSC
47156,CCT007093,NCIH520,4.882200,LUSC
47157,CPI-637,NCIH520,3.635056,LUSC
47158,CZC24832,NCIH520,5.633807,LUSC
47159,Camptothecin,NCIH520,-1.552725,LUSC
47160,Carmustine,NCIH520,6.121643,LUSC
47161,Cediranib,NCIH520,1.108872,LUSC
47162,Cisplatin,NCIH520,3.193214,LUSC
47163,Crizotinib,NCIH520,2.716053,LUSC
47164,Cyclophosphamide,NCIH520,5.780819,LUSC
47165,Cytarabine,NCIH520,2.731069,LUSC
47166,Dabrafenib,NCIH520,5.591417,LUSC
47167,Dacarbazine,NCIH520,5.274533,LUSC
47168,Dactinomycin,NCIH520,-3.464664,LUSC
47169,Dactolisib,NCIH520,-3.039447,LUSC
47170,Daporinad,NCIH520,-7.142122,LUSC
47171,Dasatinib,NCIH520,1.543464,LUSC
47172,Dihydrorotenone,NCIH520,-0.010879,LUSC
47173,Dinaciclib,NCIH520,-3.849556,LUSC
47174,Docetaxel,NCIH520,-3.699383,LUSC
47175,Doramapimod,NCIH520,5.765573,LUSC
47176,EHT-1864,NCIH520,2.895175,LUSC
47177,EPZ004777,NCIH520,5.509649,LUSC
47178,EPZ5676,NCIH520,6.410583,LUSC
47179,Elephantin,NCIH520,4.452751,LUSC
47180,Entinostat,NCIH520,1.711964,LUSC
47181,Entospletinib,NCIH520,4.990850,LUSC
47182,Epirubicin,NCIH520,1.103437,LUSC
47183,Erlotinib,NCIH520,3.817643,LUSC
47184,Fludarabine,NCIH520,5.252361,LUSC
47185,Foretinib,NCIH520,1.281055,LUSC
47186,Fulvestrant,NCIH520,3.825320,LUSC
47187,GDC0810,NCIH520,5.943910,LUSC
47188,GNE-317,NCIH520,0.240302,LUSC
47189,GSK-LSD1,NCIH520,2.725398,LUSC
47190,GSK1904529A,NCIH520,5.402117,LUSC
47191,GSK2110183B,NCIH520,3.035840,LUSC
47192,GSK2578215A,NCIH520,5.935800,LUSC
47193,GSK2606414,NCIH520,5.409553,LUSC
47194,GSK2801,NCIH520,5.430869,LUSC
47195,GSK2830371,NCIH520,6.141363,LUSC
47196,GSK343,NCIH520,4.227239,LUSC
47197,GSK591,NCIH520,4.656339,LUSC
47198,GW441756,NCIH520,3.303141,LUSC
47199,Gallibiscoquinazole,NCIH520,1.527489,LUSC
47200,Gefitinib,NCIH520,3.986324,LUSC
47201,Gemcitabine,NCIH520,-2.569679,LUSC
47202,I-BET-762,NCIH520,4.192663,LUSC
47203,I-BRD9,NCIH520,4.453633,LUSC
47204,ICL-SIRT078,NCIH520,3.801625,LUSC
47205,IWP-2,NCIH520,3.110852,LUSC
47206,Ibrutinib,NCIH520,4.702896,LUSC
47207,Ipatasertib,NCIH520,2.359036,LUSC
47208,Irinotecan,NCIH520,3.401649,LUSC
47209,JNK Inhibitor VIII,NCIH520,5.904995,LUSC
47210,JQ1,NCIH520,1.690609,LUSC
47211,KRAS (G12C) Inhibitor-12,NCIH520,6.264186,LUSC
47212,KU-55933,NCIH520,5.222789,LUSC
47213,L-Oxonoreleagnine,NCIH520,2.857314,LUSC
47214,LCL161,NCIH520,5.720534,LUSC
47215,LGK974,NCIH520,5.191530,LUSC
47216,LJI308,NCIH520,6.125347,LUSC
47217,LMP744,NCIH520,0.530204,LUSC
47218,LY2109761,NCIH520,5.881846,LUSC
47219,Lapatinib,NCIH520,3.930767,LUSC
47220,Leflunomide,NCIH520,5.827483,LUSC
47221,Lenalidomide,NCIH520,5.961571,LUSC
47222,Lestaurtinib,NCIH520,-0.334645,LUSC
47223,Linsitinib,NCIH520,5.944045,LUSC
47224,Luminespib,NCIH520,-0.390560,LUSC
47225,MG-132,NCIH520,-1.209432,LUSC
47226,MIM1,NCIH520,5.339863,LUSC
47227,MIRA-1,NCIH520,5.383067,LUSC
47228,MK-1775,NCIH520,0.509144,LUSC
47229,MK-2206,NCIH520,0.254438,LUSC
47230,MK-8776,NCIH520,3.921027,LUSC
47231,ML323,NCIH520,4.923530,LUSC
47232,MN-64,NCIH520,6.075215,LUSC
47233,Methotrexate,NCIH520,-1.378945,LUSC
47234,Mirin,NCIH520,5.063374,LUSC
47235,Mitoxantrone,NCIH520,0.682568,LUSC
47236,Motesanib,NCIH520,6.091888,LUSC
47237,Mycophenolic acid,NCIH520,0.257450,LUSC
47238,N-acetyl cysteine,NCIH520,10.825060,LUSC
47239,NU7441,NCIH520,2.436167,LUSC
47240,NVP-ADW742,NCIH520,4.653983,LUSC
47241,Navitoclax,NCIH520,3.317124,LUSC
47242,Nelarabine,NCIH520,5.725169,LUSC
47243,Nilotinib,NCIH520,3.596986,LUSC
47244,Niraparib,NCIH520,4.244052,LUSC
47245,Nutlin-3a (-),NCIH520,6.072724,LUSC
47246,OF-1,NCIH520,4.700741,LUSC
47247,OSI-027,NCIH520,-0.625427,LUSC
47248,OTX015,NCIH520,2.749210,LUSC
47249,Obatoclax Mesylate,NCIH520,0.688911,LUSC
47250,Olaparib,NCIH520,5.392165,LUSC
47251,Osimertinib,NCIH520,2.674330,LUSC
47252,Oxaliplatin,NCIH520,4.357886,LUSC
47253,P22077,NCIH520,6.128445,LUSC
47254,PCI-34051,NCIH520,5.899839,LUSC
47255,PD0325901,NCIH520,3.415639,LUSC
47256,PD173074,NCIH520,1.044404,LUSC
47257,PFI-1,NCIH520,3.535059,LUSC
47258,PFI3,NCIH520,5.782835,LUSC
47259,PLX-4720,NCIH520,5.575114,LUSC
47260,POMHEX,NCIH520,0.114176,LUSC
47261,PRIMA-1MET,NCIH520,7.110183,LUSC
47262,PRT062607,NCIH520,3.538692,LUSC
47263,Paclitaxel,NCIH520,-2.458979,LUSC
47264,Palbociclib,NCIH520,0.903216,LUSC
47265,Pevonedistat,NCIH520,2.074292,LUSC
47266,Picolinici-acid,NCIH520,5.360388,LUSC
47267,Pictilisib,NCIH520,-0.583918,LUSC
47268,Podophyllotoxin bromide,NCIH520,-0.893511,LUSC
47269,Pyridostatin,NCIH520,1.909350,LUSC
47270,RO-3306,NCIH520,4.958359,LUSC
47271,RVX-208,NCIH520,5.156705,LUSC
47272,Rapamycin,NCIH520,-4.007678,LUSC
47273,Refametinib,NCIH520,3.820663,LUSC
47274,Ribociclib,NCIH520,1.238225,LUSC
47275,Romidepsin,NCIH520,-5.949818,LUSC
47276,Rucaparib,NCIH520,4.457012,LUSC
47277,Ruxolitinib,NCIH520,5.728098,LUSC
47278,SB216763,NCIH520,5.709798,LUSC
47279,SB590885,NCIH520,2.907981,LUSC
47280,SCH772984,NCIH520,3.779894,LUSC
47281,SGC-CBP30,NCIH520,4.866680,LUSC
47282,SGC0946,NCIH520,2.224589,LUSC
47283,SN-38,NCIH520,3.840304,LUSC
47284,Sabutoclax,NCIH520,-0.751957,LUSC
47285,Sapitinib,NCIH520,6.242546,LUSC
47286,Savolitinib,NCIH520,3.338639,LUSC
47287,Schweinfurthin A,NCIH520,-1.311503,LUSC
47288,Selumetinib,NCIH520,6.013915,LUSC
47289,Sepantronium bromide,NCIH520,-2.873317,LUSC
47290,Serdemetan,NCIH520,3.727033,LUSC
47291,Sinularin,NCIH520,3.903303,LUSC
47292,Sorafenib,NCIH520,3.342948,LUSC
47293,Staurosporine,NCIH520,-1.641066,LUSC
47294,TW 37,NCIH520,0.803895,LUSC
47295,Talazoparib,NCIH520,2.629196,LUSC
47296,Tamoxifen,NCIH520,4.196726,LUSC
47297,Tanespimycin,NCIH520,0.300065,LUSC
47298,Taselisib,NCIH520,1.217803,LUSC
47299,Telomerase Inhibitor IX,NCIH520,0.706472,LUSC
47300,Temozolomide,NCIH520,6.938810,LUSC
47301,Temsirolimus,NCIH520,0.090770,LUSC
47302,Teniposide,NCIH520,2.115301,LUSC
47303,Topotecan,NCIH520,0.957167,LUSC
47304,Trametinib,NCIH520,2.550775,LUSC
47305,UMI-77,NCIH520,3.357466,LUSC
47306,UNC0379,NCIH520,2.047325,LUSC
47307,UNC0638,NCIH520,5.296389,LUSC
47308,Ulixertinib,NCIH520,2.266908,LUSC
47309,Uprosertib,NCIH520,1.675651,LUSC
47310,VE-822,NCIH520,5.116672,LUSC
47311,VE821,NCIH520,4.083239,LUSC
47312,VX-11e,NCIH520,3.867790,LUSC
47313,Veliparib,NCIH520,5.179884,LUSC
47314,Venetoclax,NCIH520,4.090479,LUSC
47315,Vinblastine,NCIH520,-5.304506,LUSC
47316,Vincristine,NCIH520,-2.238395,LUSC
47317,Vinorelbine,NCIH520,-4.368326,LUSC
47318,Vismodegib,NCIH520,5.298878,LUSC
47319,Vorinostat,NCIH520,1.731736,LUSC
47320,WEHI-539,NCIH520,5.054534,LUSC
47321,WIKI4,NCIH520,4.807349,LUSC
47322,WZ4003,NCIH520,6.017216,LUSC
47323,Wee1 Inhibitor,NCIH520,2.142216,LUSC
47324,Wnt-C59,NCIH520,4.102593,LUSC
47325,XAV939,NCIH520,5.679075,LUSC
47326,YK-4-279,NCIH520,1.437416,LUSC
47327,ZM447439,NCIH520,2.670804,LUSC
47328,Zoledronate,NCIH520,4.433809,LUSC
47329,alpha-lipoic acid,NCIH520,8.398117,LUSC
47330,glutathione,NCIH520,9.856217,LUSC
47548,5-Fluorouracil,NCIH2196,4.585183,SCLC
47549,ABT737,NCIH2196,-1.011530,SCLC
47550,AGI-5198,NCIH2196,4.741368,SCLC
47551,AGI-6780,NCIH2196,5.287535,SCLC
47552,AGK2,NCIH2196,3.931800,SCLC
47553,AMG-319,NCIH2196,5.257075,SCLC
47554,AT13148,NCIH2196,3.274864,SCLC
47555,AZ6102,NCIH2196,5.790896,SCLC
47556,AZ960,NCIH2196,4.838718,SCLC
47557,AZD3759,NCIH2196,3.478151,SCLC
47558,AZD4547,NCIH2196,4.463498,SCLC
47559,AZD5363,NCIH2196,1.753399,SCLC
47560,AZD5582,NCIH2196,1.124271,SCLC
47561,AZD6482,NCIH2196,2.809581,SCLC
47562,AZD6738,NCIH2196,1.046973,SCLC
47563,AZD7762,NCIH2196,-0.525745,SCLC
47564,AZD8186,NCIH2196,2.425725,SCLC
47565,Afatinib,NCIH2196,1.421556,SCLC
47566,Afuresertib,NCIH2196,2.153606,SCLC
47567,Alisertib,NCIH2196,4.706151,SCLC
47568,Alpelisib,NCIH2196,2.041219,SCLC
47569,Avagacestat,NCIH2196,4.636657,SCLC
47570,Axitinib,NCIH2196,2.210644,SCLC
47571,BI-2536,NCIH2196,3.534953,SCLC
47572,BIBR-1532,NCIH2196,4.798439,SCLC
47573,BMS-345541,NCIH2196,3.666004,SCLC
47574,BMS-536924,NCIH2196,5.768845,SCLC
47575,BMS-754807,NCIH2196,3.478807,SCLC
47576,BX795,NCIH2196,3.978960,SCLC
47577,Bicalutamide,NCIH2196,6.194557,SCLC
47578,Bortezomib,NCIH2196,-2.584217,SCLC
47579,Bosutinib,NCIH2196,4.694752,SCLC
47580,Buparlisib,NCIH2196,1.629770,SCLC
47581,CCT-018159,NCIH2196,3.148736,SCLC
47582,CCT007093,NCIH2196,5.849745,SCLC
47583,CHIR-99021,NCIH2196,5.937791,SCLC
47584,CZC24832,NCIH2196,4.981076,SCLC
47585,Camptothecin,NCIH2196,-3.077403,SCLC
47586,Cediranib,NCIH2196,1.708005,SCLC
47587,Crizotinib,NCIH2196,3.670551,SCLC
47588,Cyclophosphamide,NCIH2196,6.000438,SCLC
47589,Dabrafenib,NCIH2196,4.880414,SCLC
47590,Dactinomycin,NCIH2196,-2.276206,SCLC
47591,Dactolisib,NCIH2196,-1.997935,SCLC
47592,Daporinad,NCIH2196,2.754988,SCLC
47593,Dasatinib,NCIH2196,4.464589,SCLC
47594,Dinaciclib,NCIH2196,-0.119121,SCLC
47595,Docetaxel,NCIH2196,-3.207776,SCLC
47596,Doramapimod,NCIH2196,4.959979,SCLC
47597,EHT-1864,NCIH2196,3.357869,SCLC
47598,EPZ004777,NCIH2196,4.541873,SCLC
47599,EPZ5676,NCIH2196,6.065816,SCLC
47600,Elesclomol,NCIH2196,-0.597234,SCLC
47601,Entinostat,NCIH2196,-0.222147,SCLC
47602,Entospletinib,NCIH2196,3.994902,SCLC
47603,Epirubicin,NCIH2196,0.385672,SCLC
47604,Erlotinib,NCIH2196,5.828612,SCLC
47605,Foretinib,NCIH2196,0.810000,SCLC
47606,Fulvestrant,NCIH2196,3.571653,SCLC
47607,GDC0810,NCIH2196,6.155631,SCLC
47608,GNE-317,NCIH2196,0.476686,SCLC
47609,GSK1904529A,NCIH2196,5.832245,SCLC
47610,GSK2578215A,NCIH2196,5.129870,SCLC
47611,GSK2606414,NCIH2196,4.236061,SCLC
47612,GSK269962A,NCIH2196,3.203479,SCLC
47613,GSK343,NCIH2196,3.656605,SCLC
47614,GSK591,NCIH2196,5.069167,SCLC
47615,GW441756,NCIH2196,4.292840,SCLC
47616,Gefitinib,NCIH2196,4.197462,SCLC
47617,Gemcitabine,NCIH2196,0.942439,SCLC
47618,I-BET-762,NCIH2196,5.955928,SCLC
47619,I-BRD9,NCIH2196,3.379604,SCLC
47620,IOX2,NCIH2196,2.797016,SCLC
47621,IWP-2,NCIH2196,3.732047,SCLC
47622,Ibrutinib,NCIH2196,5.077890,SCLC
47623,Ipatasertib,NCIH2196,2.328532,SCLC
47624,Irinotecan,NCIH2196,0.162154,SCLC
47625,JNK Inhibitor VIII,NCIH2196,5.775347,SCLC
47626,JQ1,NCIH2196,5.286072,SCLC
47627,KRAS (G12C) Inhibitor-12,NCIH2196,4.326616,SCLC
47628,KU-55933,NCIH2196,6.340414,SCLC
47629,LCL161,NCIH2196,2.988395,SCLC
47630,LGK974,NCIH2196,3.462775,SCLC
47631,LJI308,NCIH2196,3.866251,SCLC
47632,LY2109761,NCIH2196,5.086909,SCLC
47633,Lapatinib,NCIH2196,4.642972,SCLC
47634,Leflunomide,NCIH2196,4.207912,SCLC
47635,Lenalidomide,NCIH2196,6.236521,SCLC
47636,Lestaurtinib,NCIH2196,1.855856,SCLC
47637,Linsitinib,NCIH2196,4.635619,SCLC
47638,Luminespib,NCIH2196,-4.329690,SCLC
47639,MG-132,NCIH2196,-0.634735,SCLC
47640,MIRA-1,NCIH2196,5.890083,SCLC
47641,MK-1775,NCIH2196,0.254195,SCLC
47642,MK-2206,NCIH2196,1.031225,SCLC
47643,MK-8776,NCIH2196,2.527904,SCLC
47644,ML323,NCIH2196,5.908157,SCLC
47645,MN-64,NCIH2196,5.355414,SCLC
47646,Methotrexate,NCIH2196,2.083762,SCLC
47647,Mirin,NCIH2196,5.563197,SCLC
47648,Motesanib,NCIH2196,5.999047,SCLC
47649,NU7441,NCIH2196,4.656837,SCLC
47650,NVP-ADW742,NCIH2196,3.331768,SCLC
47651,Navitoclax,NCIH2196,-1.685115,SCLC
47652,Nilotinib,NCIH2196,2.230901,SCLC
47653,Niraparib,NCIH2196,3.200602,SCLC
47654,Nutlin-3a (-),NCIH2196,5.877661,SCLC
47655,OF-1,NCIH2196,3.503658,SCLC
47656,OSI-027,NCIH2196,1.617865,SCLC
47657,OTX015,NCIH2196,5.959190,SCLC
47658,Olaparib,NCIH2196,3.701800,SCLC
47659,Osimertinib,NCIH2196,1.748121,SCLC
47660,Oxaliplatin,NCIH2196,4.169499,SCLC
47661,P22077,NCIH2196,2.900423,SCLC
47662,PCI-34051,NCIH2196,4.875371,SCLC
47663,PD0325901,NCIH2196,2.549970,SCLC
47664,PD173074,NCIH2196,4.437647,SCLC
47665,PF-4708671,NCIH2196,3.239025,SCLC
47666,PFI-1,NCIH2196,5.886310,SCLC
47667,PFI3,NCIH2196,5.959190,SCLC
47668,PLX-4720,NCIH2196,4.591519,SCLC
47669,PRIMA-1MET,NCIH2196,3.196216,SCLC
47670,PRT062607,NCIH2196,3.320192,SCLC
47671,Paclitaxel,NCIH2196,-0.942521,SCLC
47672,Palbociclib,NCIH2196,5.695029,SCLC
47673,Pevonedistat,NCIH2196,6.349652,SCLC
47674,Picolinici-acid,NCIH2196,5.959190,SCLC
47675,Pictilisib,NCIH2196,0.656684,SCLC
47676,Piperlongumine,NCIH2196,2.154568,SCLC
47677,Pyridostatin,NCIH2196,5.228046,SCLC
47678,RO-3306,NCIH2196,4.153276,SCLC
47679,RVX-208,NCIH2196,5.910766,SCLC
47680,Rapamycin,NCIH2196,-2.426848,SCLC
47681,Refametinib,NCIH2196,3.738066,SCLC
47682,Ribociclib,NCIH2196,3.473663,SCLC
47683,Rucaparib,NCIH2196,4.602415,SCLC
47684,Ruxolitinib,NCIH2196,5.842294,SCLC
47685,SB216763,NCIH2196,6.255889,SCLC
47686,SB505124,NCIH2196,1.592342,SCLC
47687,SB590885,NCIH2196,5.671362,SCLC
47688,SCH772984,NCIH2196,4.846796,SCLC
47689,SGC0946,NCIH2196,1.948497,SCLC
47690,SL0101,NCIH2196,5.465104,SCLC
47691,SN-38,NCIH2196,-1.976412,SCLC
47692,Sabutoclax,NCIH2196,0.934672,SCLC
47693,Sapitinib,NCIH2196,3.974444,SCLC
47694,Savolitinib,NCIH2196,3.544374,SCLC
47695,Selumetinib,NCIH2196,3.358644,SCLC
47696,Sepantronium bromide,NCIH2196,-2.321699,SCLC
47697,Serdemetan,NCIH2196,2.239746,SCLC
47698,Sorafenib,NCIH2196,2.681215,SCLC
47699,Staurosporine,NCIH2196,-0.966317,SCLC
47700,Talazoparib,NCIH2196,2.322426,SCLC
47701,Tamoxifen,NCIH2196,5.197708,SCLC
47702,Tanespimycin,NCIH2196,-1.060391,SCLC
47703,Taselisib,NCIH2196,0.849668,SCLC
47704,Telomerase Inhibitor IX,NCIH2196,0.993877,SCLC
47705,Temozolomide,NCIH2196,5.787608,SCLC
47706,Temsirolimus,NCIH2196,-1.010730,SCLC
47707,Tozasertib,NCIH2196,2.612809,SCLC
47708,Trametinib,NCIH2196,2.796755,SCLC
47709,Tretinoin,NCIH2196,4.915202,SCLC
47710,Ulixertinib,NCIH2196,5.307700,SCLC
47711,Uprosertib,NCIH2196,2.051897,SCLC
47712,VE-822,NCIH2196,1.748733,SCLC
47713,VE821,NCIH2196,3.262696,SCLC
47714,VX-11e,NCIH2196,4.338491,SCLC
47715,Veliparib,NCIH2196,6.206949,SCLC
47716,Venetoclax,NCIH2196,-0.316651,SCLC
47717,Vinorelbine,NCIH2196,-2.270773,SCLC
47718,Vismodegib,NCIH2196,5.959083,SCLC
47719,Vorinostat,NCIH2196,0.899360,SCLC
47720,WEHI-539,NCIH2196,2.546047,SCLC
47721,WIKI4,NCIH2196,5.824261,SCLC
47722,WZ4003,NCIH2196,5.784967,SCLC
47723,Wee1 Inhibitor,NCIH2196,2.052051,SCLC
47724,Wnt-C59,NCIH2196,5.170714,SCLC
47725,XAV939,NCIH2196,4.652777,SCLC
47726,YK-4-279,NCIH2196,3.246408,SCLC
47727,ZM447439,NCIH2196,2.273181,SCLC
48999,5-Fluorouracil,NCIH1944,3.589714,LUAD
49000,5-azacytidine,NCIH1944,1.701739,LUAD
49001,A-366,NCIH1944,5.667776,LUAD
49002,ABT737,NCIH1944,1.378411,LUAD
49003,AGI-5198,NCIH1944,4.351079,LUAD
49004,AGI-6780,NCIH1944,3.875269,LUAD
49005,AGK2,NCIH1944,3.454887,LUAD
49006,AMG-319,NCIH1944,5.434658,LUAD
49007,AT13148,NCIH1944,2.488707,LUAD
49008,AZ6102,NCIH1944,2.119860,LUAD
49009,AZ960,NCIH1944,2.495500,LUAD
49010,AZD1208,NCIH1944,5.810233,LUAD
49011,AZD1332,NCIH1944,4.666838,LUAD
49012,AZD2014,NCIH1944,0.737575,LUAD
49013,AZD3759,NCIH1944,2.081392,LUAD
49014,AZD4547,NCIH1944,2.861381,LUAD
49015,AZD5153,NCIH1944,1.055602,LUAD
49016,AZD5363,NCIH1944,2.246042,LUAD
49017,AZD5438,NCIH1944,1.595057,LUAD
49018,AZD5582,NCIH1944,2.491668,LUAD
49019,AZD5991,NCIH1944,6.245392,LUAD
49020,AZD6738,NCIH1944,1.336120,LUAD
49021,AZD7762,NCIH1944,0.724296,LUAD
49022,AZD8055,NCIH1944,-1.197475,LUAD
49023,AZD8186,NCIH1944,2.604614,LUAD
49024,Acetalax,NCIH1944,6.415694,LUAD
49025,Afatinib,NCIH1944,1.546481,LUAD
49026,Afuresertib,NCIH1944,2.947488,LUAD
49027,Alisertib,NCIH1944,1.276826,LUAD
49028,Alpelisib,NCIH1944,3.340607,LUAD
49029,Avagacestat,NCIH1944,5.339819,LUAD
49030,Axitinib,NCIH1944,3.302417,LUAD
49031,BI-2536,NCIH1944,-1.583034,LUAD
49032,BIBR-1532,NCIH1944,5.180628,LUAD
49033,BMS-345541,NCIH1944,2.747999,LUAD
49034,BMS-536924,NCIH1944,2.297060,LUAD
49035,BMS-754807,NCIH1944,3.119898,LUAD
49036,Bleomycin,NCIH1944,1.125796,LUAD
49037,Bleomycin (50 uM),NCIH1944,1.330846,LUAD
49038,Bortezomib,NCIH1944,-2.212859,LUAD
49039,Bosutinib,NCIH1944,2.930768,LUAD
49040,Bromosporine,NCIH1944,1.828135,LUAD
49041,Buparlisib,NCIH1944,0.347717,LUAD
49042,CCT007093,NCIH1944,5.968930,LUAD
49043,CPI-637,NCIH1944,5.328598,LUAD
49044,CZC24832,NCIH1944,6.067064,LUAD
49045,Camptothecin,NCIH1944,-2.516248,LUAD
49046,Carmustine,NCIH1944,5.875624,LUAD
49047,Cediranib,NCIH1944,4.368232,LUAD
49048,Cisplatin,NCIH1944,4.067219,LUAD
49049,Crizotinib,NCIH1944,3.281884,LUAD
49050,Cyclophosphamide,NCIH1944,5.875768,LUAD
49051,Cytarabine,NCIH1944,0.239135,LUAD
49052,Dabrafenib,NCIH1944,5.111272,LUAD
