,drug,cell_line,IC50,prediction
3519,Niraparib,HDQP1,5.231480303,5.272664
3520,Pevonedistat,HDQP1,1.363204241,1.878467
3521,LJI308,HDQP1,2.972013313,5.072056
3522,WIKI4,HDQP1,1.986173948,2.898892
3523,Afuresertib,HDQP1,1.506537331,2.287744
3524,OTX015,HDQP1,3.933626976,2.979249
3525,Foretinib,HDQP1,0.375723073,1.101994
3526,PRIMA-1MET,HDQP1,3.181878805,4.711317
3527,Sepantronium bromide,HDQP1,-3.482177467,-4.013546
3528,GW441756,HDQP1,3.737466998,3.491599
3529,I-BET-762,HDQP1,3.829110919,3.753827
3530,KU-55933,HDQP1,5.021244048,4.83583
3531,ML323,HEC1,3.996395206,4.511509
3532,BI-2536,HEC1,3.902321291,1.182394
3533,Refametinib,HEC1,6.196220985,4.369029
3534,Acetalax,HEC1,3.83639046,5.223136
3535,Sepantronium bromide,HEC1,-4.029165984,-4.547385
3536,VE-822,HEC1,3.90925204,4.051915
3537,Navitoclax,HEC1,-0.134281123,2.505911
3538,LJI308,HEC1,5.436011953,5.66018
3539,Pevonedistat,HEC1,0.583383445,2.491979
3540,Avagacestat,HEC1,6.230953286,5.37154
3541,Tamoxifen,HEC1,4.192620197,4.849485
3542,N-acetyl cysteine,HEC1,10.92285046,10.683146
3543,Topotecan,HEC1,0.226871942,1.527894
3544,XAV939,HEC1,5.355841635,4.878044
3545,Dabrafenib,HEC1,4.823075217,5.374842
3546,Entinostat,HEC1,3.066794967,3.585522
3547,Nelarabine,HEC1,6.171762726,6.617295
3548,Dasatinib,HEC1,3.092115728,3.073741
3549,GNE-317,HEC1,1.314528704,1.531818
3550,AZD6738,HEL,-0.401548456,0.782147
3551,GSK-LSD1,HEL,-1.014575645,1.861955
3552,Docetaxel,HEL,-2.894218864,-3.331733
3553,OF-1,HEL,4.031676605,3.401597
3554,Ibrutinib,HEL,3.80391433,3.657183
3555,WZ4003,HEL,3.1871164,3.02584
3556,Talazoparib,HEL,0.547618457,-0.037962
3557,BMS-536924,HEL,1.081878876,2.654658
3558,ABT737,HEL,0.727914138,-0.06148
3559,I-BRD9,HEL,2.473140695,3.133074
3560,ZM447439,HEL,2.134254272,2.158257
3561,EPZ004777,HEL,3.64816481,4.188552
3562,MN-64,HEL,2.697512332,3.63346
3563,Rucaparib,HEL,3.221512356,2.947824
3564,GSK2606414,HEL,2.635477723,3.092978
3565,Obatoclax Mesylate,HEL,1.188409581,-0.516026
3566,BMS-754807,HEL,2.841303304,2.408149
3567,Dabrafenib,HEL,3.765881502,3.150559
3568,Podophyllotoxin bromide,HEL,-1.467516033,-1.437806
3569,UNC0379,HELA,4.235179206,4.118758
3570,Motesanib,HELA,5.053059204,5.04162
3571,Luminespib,HELA,-0.543412672,-1.304922
3572,CPI-637,HELA,3.568288817,4.581333
3573,SGC0946,HELA,0.936587299,1.828126
3574,PFI-1,HELA,3.236781016,3.771359
3575,Dabrafenib,HELA,4.621536448,4.562296
3576,OF-1,HELA,1.682974436,2.824559
3577,Bosutinib,HELA,2.612744325,3.197122
3578,A-366,HELA,4.532611474,4.576268
3579,AZD5991,HELA,1.981106691,2.574926
3580,Temozolomide,HELA,5.96160864,6.336799
3581,NVP-ADW742,HELA,3.281398509,3.172965
3582,AZ960,HELA,2.054899475,0.898016
3583,Picolinici-acid,HELA,4.944469452,4.773364
3584,POMHEX,HELA,1.151927015,2.034855
3585,WIKI4,HELA,3.831470723,3.736273
3586,Gallibiscoquinazole,HELA,2.481158239,2.36817
3587,Mirin,HELA,4.303127309,4.846137
3588,AZD3759,HEMCSS,3.777979238,3.610207
3589,Entinostat,HEMCSS,5.81967771,4.181453
3590,PRIMA-1MET,HEMCSS,7.609460046,4.917184
3591,Romidepsin,HEMCSS,-4.239444276,-4.077429
3592,GSK1904529A,HEMCSS,5.857690718,4.941258
3593,Erlotinib,HEMCSS,5.580589028,4.366593
3594,SB590885,HEMCSS,2.580350507,5.767639
3595,BIBR-1532,HEMCSS,6.528859163,5.555256
3596,Dihydrorotenone,HEMCSS,-0.32447693,1.124328
3597,GSK591,HEMCSS,6.152824516,5.994771
3598,GSK2830371,HEMCSS,6.831694363,6.70072
3599,WEHI-539,HEMCSS,6.588060437,5.158181
3600,Lestaurtinib,HEMCSS,-0.003018555,1.251455
3601,Bosutinib,HEMCSS,5.174145665,4.149888
3602,Irinotecan,HEMCSS,2.306571788,3.042739
3603,OTX015,HEMCSS,4.016348006,4.787967
3604,Palbociclib,HEMCSS,3.459177481,5.137136
3605,Bleomycin,HEMCSS,3.508784498,4.217834
3606,Trametinib,HEMCSS,0.078227681,-0.239539
3607,Erlotinib,HEP3B217,3.57933493,1.742287
3608,Tozasertib,HEP3B217,0.167940585,-0.03674
3609,Osimertinib,HEP3B217,0.505530529,1.206745
3610,PRT062607,HEP3B217,2.151542844,2.082372
3611,PD0325901,HEP3B217,-1.394019803,-1.740975
3612,Dinaciclib,HEP3B217,-3.635782616,-2.469214
3613,Doramapimod,HEP3B217,3.187463894,4.022743
3614,Tamoxifen,HEP3B217,2.681661098,3.181817
3615,NU7441,HEP3B217,1.174809985,1.812246
3616,WZ4003,HEP3B217,2.534979332,2.447401
3617,AZD6482,HEP3B217,2.497084314,3.341479
3618,Uprosertib,HEP3B217,0.888741741,1.380331
3619,AZD5582,HEP3B217,2.622922016,2.189082
3620,AGI-5198,HEP3B217,2.857047036,4.562234
3621,AZD5991,HEP3B217,2.683442449,2.77538
3622,Sapitinib,HEP3B217,3.981256078,3.152079
3623,Telomerase Inhibitor IX,HEP3B217,0.800746455,-0.245703
3624,Camptothecin,HEP3B217,-1.133341671,-1.690008
3625,AT13148,HEP3B217,1.019529671,2.093305
3626,Vinorelbine,HGC27,-4.805426559,-4.968889
3627,Entospletinib,HGC27,3.086757019,2.822176
3628,Lapatinib,HGC27,1.534194708,2.358206
3629,Pictilisib,HGC27,-1.257865537,-1.082581
3630,Trametinib,HGC27,2.580891633,1.776012
3631,Dasatinib,HGC27,-1.368549495,1.419073
3632,I-BET-762,HGC27,4.124416172,3.119648
3633,Dactolisib,HGC27,-4.291325063,-3.407283
3634,Erlotinib,HGC27,1.581800315,2.711841
3635,Zoledronate,HGC27,2.865405234,3.237638
3636,Pevonedistat,HGC27,-1.51708955,-0.692275
3637,Bosutinib,HGC27,0.769210473,2.14585
3638,Staurosporine,HGC27,-3.192950767,-3.311237
3639,Vincristine,HGC27,-1.300618695,-4.221282
3640,AZ960,HGC27,2.326782866,0.689313
3641,Nilotinib,HGC27,2.059874824,2.226186
3642,MK-2206,HGC27,-0.596739282,0.253837
3643,GSK2606414,HGC27,3.573935653,3.584106
3644,L-Oxonoreleagnine,HGC27,3.13973186,3.200051
3645,KRAS (G12C) Inhibitor-12,HH,4.551773337,4.521078
3646,Nilotinib,HH,4.187591964,3.791512
3647,Docetaxel,HH,1.392284647,-0.776539
3648,ML323,HH,5.533789726,4.37903
3649,OF-1,HH,5.168404251,3.848123
3650,WZ4003,HH,3.996020242,3.510121
3651,Lapatinib,HH,4.989887293,4.044372
3652,Teniposide,HH,3.075382156,3.71698
3653,Wnt-C59,HH,3.803963611,4.186591
3654,Dasatinib,HH,3.335326492,2.72293
3655,Osimertinib,HH,2.740171786,2.640433
3656,Sinularin,HH,3.91074296,3.77649
3657,Ipatasertib,HH,3.771711462,2.522174
3658,EHT-1864,HH,3.504761438,3.373383
3659,CCT007093,HH,5.109238537,5.060842
3660,Cisplatin,HH,5.891127975,4.637734
3661,Vincristine,HH,0.371728,-0.049846
3662,Linsitinib,HH,3.805293019,4.039268
3663,MG-132,HH,-1.502126796,-0.956297
3664,AZ6102,HL60,2.479558086,2.31495
3665,Zoledronate,HL60,3.148767096,2.991556
3666,Topotecan,HL60,-1.336942981,-1.496508
3667,OSI-027,HL60,3.820560588,2.667387
3668,SGC0946,HL60,1.874232617,1.608493
3669,KU-55933,HL60,4.233836263,4.185074
3670,Remodelin,HL60,3.243688668,3.65583
3671,GSK591,HL60,4.336599069,4.08869
3672,Sapitinib,HL60,3.307865152,4.157354
3673,Telomerase Inhibitor IX,HL60,-0.174372182,0.165586
3674,ML323,HL60,3.795059047,3.28364
3675,Gallibiscoquinazole,HL60,1.71332675,2.063677
3676,Vinorelbine,HL60,-4.581105664,-5.25536
3677,BMS-754807,HL60,-0.497058819,-0.311955
3678,Tanespimycin,HL60,-0.02126973,-0.1316
3679,OF-1,HL60,0.928477651,2.572561
3680,Ruxolitinib,HL60,3.37218157,4.203672
3681,Pevonedistat,HL60,-1.459438928,-1.28081
3682,Savolitinib,HL60,1.442681358,1.523119
3683,Wnt-C59,HMVII,3.180980564,4.751725
3684,SGC0946,HMVII,2.994065858,2.425059
3685,Osimertinib,HMVII,2.148795627,2.391306
3686,ICL-SIRT078,HMVII,1.671141454,3.411565
3687,EPZ004777,HMVII,4.893465901,5.687138
3688,GSK591,HMVII,4.829996519,4.706068
3689,MIM1,HMVII,3.387265754,4.304245
3690,BMS-754807,HMVII,4.319273425,2.314878
3691,SGC-CBP30,HMVII,5.191168849,4.382115
3692,Venetoclax,HMVII,4.214429104,3.255149
3693,BMS-345541,HMVII,3.666162232,3.28335
3694,Navitoclax,HMVII,5.062543517,3.982502
3695,UNC0638,HMVII,5.435183278,4.568361
3696,Palbociclib,HMVII,2.656162344,2.990335
3697,OSI-027,HMVII,1.970316689,2.503257
3698,GSK2110183B,HMVII,3.817956294,2.930161
3699,AMG-319,HMVII,6.185099988,5.177021
3700,SN-38,HMVII,2.421985086,0.475084
3701,WEHI-539,HMVII,5.720107302,4.39303
3702,PFI-1,HO1U1,3.87522591,3.635541
3703,Docetaxel,HO1U1,-6.237228483,-4.772715
3704,JQ1,HO1U1,3.069878021,0.654901
3705,Afatinib,HO1U1,-0.415552004,-0.278392
3706,Dabrafenib,HO1U1,4.485725357,4.933887
3707,A-366,HO1U1,3.327774465,4.613914
3708,MIM1,HO1U1,4.948274184,3.349676
3709,ICL-SIRT078,HO1U1,2.281113576,3.466537
3710,P22077,HO1U1,1.867903715,3.346525
3711,SGC0946,HO1U1,1.935435328,1.663891
3712,UNC0379,HO1U1,2.210950002,2.74291
3713,SB216763,HO1U1,5.41426968,5.345697
3714,GDC0810,HO1U1,3.261774439,4.725565
3715,KU-55933,HO1U1,3.076563061,4.435946
3716,I-BET-762,HOP62,5.499781311,3.494758
3717,Cytarabine,HOP62,0.777831951,2.140692
3718,XAV939,HOP62,4.964905321,4.890799
3719,WIKI4,HOP62,3.081174954,4.208914
3720,Entinostat,HOP62,3.123924648,3.249363
3721,Bromosporine,HOP62,4.139372807,2.764634
3722,BMS-536924,HOP62,2.162130351,2.724608
3723,5-Fluorouracil,HOP62,5.451309874,5.815645
3724,Temsirolimus,HOP62,2.562351829,1.407973
3725,Gefitinib,HOP62,4.780277011,3.983008
3726,Lenalidomide,HOP62,6.168031983,6.109477
3727,OSI-027,HOP62,5.00720715,3.410248
3728,Dasatinib,HOP62,-0.472576258,1.218332
3729,VX-11e,HOP62,2.406130899,3.506138
3730,PRIMA-1MET,HOP62,7.624620513,6.78194
3731,AGI-6780,HOP62,5.309288923,5.343222
3732,GSK1904529A,HOP62,5.457100347,5.222382
3733,Staurosporine,HOP62,-3.81386136,-3.036183
3734,RO-3306,HOP62,4.236962849,5.075275
3735,Taselisib,HOP92,3.294545253,3.198388
3736,SGC0946,HOP92,3.318234651,2.355083
3737,Temozolomide,HOP92,7.369276708,7.440186
3738,Telomerase Inhibitor IX,HOP92,0.65880683,1.337769
3739,Bromosporine,HOP92,2.700034094,3.336127
3740,SN-38,HOP92,-2.961762889,-0.405354
3741,Entospletinib,HOP92,4.121776359,3.695011
3742,I-BRD9,HOP92,5.930718375,5.262277
3743,GSK591,HOP92,5.953342555,5.041368
3744,Pevonedistat,HOP92,1.658340073,1.969214
3745,Gallibiscoquinazole,HOP92,4.031476841,3.524388
3746,Osimertinib,HOP92,3.246131491,2.569582
3747,Vinorelbine,HOP92,-0.578802491,1.418293
3748,Cytarabine,HOP92,2.8122743,3.632542
3749,WIKI4,HOP92,3.845403719,3.147101
3750,Entinostat,HOP92,1.717004526,2.762397
3751,JQ1,HOP92,3.596973278,3.18008
3752,AZD5363,HOP92,2.926409165,3.578572
3753,Olaparib,HOP92,4.548780731,4.700899
3754,A-366,HOS,4.649075297,4.395186
3755,MK-8776,HOS,2.821123422,3.018835
3756,IWP-2,HOS,2.639724243,2.492402
3757,Teniposide,HOS,-0.941209317,-0.832955
3758,I-BET-762,HOS,4.781980096,2.676853
3759,PLX-4720,HOS,4.667461806,3.993514
3760,WEHI-539,HOS,3.375198776,4.035118
3761,LMP744,HOS,-0.974020132,-1.494165
3762,AZD5153,HOS,1.501577325,1.59474
3763,AZD2014,HOS,2.059740986,1.941013
3764,Linsitinib,HOS,3.344742939,4.124659
3765,Vorinostat,HOS,1.075495705,1.601947
3766,Sinularin,HOS,2.904054757,3.308174
3767,MG-132,HOS,-1.424083932,-1.357362
3768,Obatoclax Mesylate,HOS,0.007882409,-0.120837
3769,Staurosporine,HOS,-4.881031173,-2.679291
3770,GSK2606414,HOS,4.246064622,3.257589
3771,Axitinib,HOS,3.424620845,2.788391
3772,Telomerase Inhibitor IX,HOS,-0.841354938,-0.68436
3773,Ibrutinib,HPAC,5.320123449,5.785711
3774,5-azacytidine,HPAC,3.502452465,4.943993
3775,Romidepsin,HPAC,-3.097228426,-4.697603
3776,Dinaciclib,HPAC,-1.577753978,-0.824793
3777,Paclitaxel,HPAC,-3.617257922,-0.313154
3778,AZD1208,HPAC,6.866533436,6.558335
3779,Gemcitabine,HPAC,0.100458241,3.004837
3780,Methotrexate,HPAC,0.999179014,-0.928209
3781,KRAS (G12C) Inhibitor-12,HPAC,4.861823939,6.377193
3782,Ribociclib,HPAC,5.667127301,5.03465
3783,MN-64,HPAC,5.199155827,5.682015
3784,EHT-1864,HPAC,5.330518055,3.940895
3785,IWP-2,HPAC,1.004597751,3.206596
3786,Lestaurtinib,HPAC,0.428065899,1.243032
3787,AT13148,HPAC,5.886650001,6.183541
3788,ML323,HPAC,3.941880472,4.445677
3789,AZD2014,HPAC,2.711841869,3.093655
3790,XAV939,HPAC,5.138402395,5.405221
3791,RO-3306,HPAC,6.066834117,5.51132
3792,AZD1332,HPAFII,4.279727289,5.046403
3793,Linsitinib,HPAFII,4.594076928,4.718276
3794,Dactinomycin,HPAFII,-2.424700393,-2.34976
3795,Bromosporine,HPAFII,4.345652154,3.797624
3796,Paclitaxel,HPAFII,-2.097029954,-1.254478
3797,IWP-2,HPAFII,2.510630287,3.051496
3798,VE821,HPAFII,6.407551633,5.636341
3799,Tamoxifen,HPAFII,4.624789143,4.738426
3800,PD173074,HPAFII,6.191586209,5.432611
3801,LCL161,HPAFII,5.186408265,5.697972
3802,AGI-6780,HPAFII,5.051725037,5.072618
3803,AZD5363,HPAFII,3.964227967,3.556643
3804,Vincristine,HPAFII,2.191479253,1.197076
3805,OSI-027,HPAFII,1.485728359,1.832609
3806,PRT062607,HPAFII,3.499020616,4.697312
3807,Daporinad,HPAFII,-0.157294033,-1.794901
3808,AGI-5198,HPAFII,5.528502912,5.181016
3809,LMP744,HS578T,0.243591412,-0.094731
3810,A-366,HS578T,4.621757411,5.041672
3811,PD0325901,HS578T,1.424336306,2.201952
3812,Entospletinib,HS578T,3.063873936,2.942421
3813,Refametinib,HS578T,1.764089401,2.603019
3814,Epirubicin,HS578T,-0.253385241,-0.595884
3815,GSK343,HS578T,4.156858783,3.755397
3816,VE-822,HS578T,2.756611106,3.088674
3817,I-BET-762,HS578T,1.560321916,1.095247
3818,Afuresertib,HS578T,1.609257936,1.111467
3819,Niraparib,HS578T,5.246630493,4.826753
3820,OTX015,HS578T,-0.582973701,-0.31058
3821,Lestaurtinib,HS578T,0.599335659,-0.46919
3822,LGK974,HS578T,6.000777097,4.944606
3823,AGK2,HS578T,3.396325393,2.995614
3824,Dactinomycin,HS578T,-2.589945395,-4.579941
3825,UNC0638,HS578T,4.881767133,4.674668
3826,Ulixertinib,HS578T,3.246395224,3.023108
3827,N-acetyl cysteine,HS578T,10.17126999,10.000059
3828,Dacarbazine,HS578T,5.974739117,5.376341
3829,OSI-027,HS683,4.706879149,1.455895
3830,Nutlin-3a (-),HS683,3.208179979,4.488043
3831,Sabutoclax,HS683,-0.274768285,-0.238406
3832,Piperlongumine,HS683,2.808775851,1.32897
3833,Alpelisib,HS683,2.778798971,2.542172
3834,Tozasertib,HS683,0.238426792,0.762675
3835,GSK2606414,HS683,5.355071798,4.37355
3836,SN-38,HS683,-3.919711806,-3.875958
3837,Ruxolitinib,HS683,5.381064357,5.031611
3838,CCT007093,HS683,4.710466599,4.820769
3839,Oxaliplatin,HS683,4.095200294,3.652219
3840,AZD6738,HS683,1.581038645,2.060446
3841,Savolitinib,HS683,2.940371352,3.308553
3842,GSK591,HS683,2.823808531,3.339441
3843,Docetaxel,HS683,-6.521923656,-5.730458
3844,PCI-34051,HS683,4.855620374,4.24119
3845,Pyridostatin,HS746T,2.932138628,3.873898
3846,UNC0638,HS746T,5.546941697,5.20391
3847,SCH772984,HS746T,1.068538099,1.037251
3848,LGK974,HS746T,5.284284903,4.916728
3849,BMS-754807,HS746T,2.256715437,2.588676
3850,PLX-4720,HS746T,5.313918772,4.980823
3851,Axitinib,HS746T,3.966801209,2.569882
3852,Gallibiscoquinazole,HS746T,4.118357924,3.165345
3853,Taselisib,HS746T,2.935687703,1.757176
3854,Dactinomycin,HS746T,-3.980584871,-2.895348
3855,Serdemetan,HS746T,6.232766486,5.444287
3856,POMHEX,HS746T,1.988609011,1.451103
3857,GSK343,HS746T,3.493762953,3.456566
3858,Bromosporine,HS746T,1.222403637,1.58511
3859,EHT-1864,HS746T,4.141683206,4.620687
3860,Sapitinib,HS746T,6.373129325,5.341759
3861,AZD6738,HS746T,1.239661107,0.951807
3862,WEHI-539,HS746T,3.690600339,2.9601
3863,Sorafenib,HS746T,2.500417236,2.864284
3864,MIM1,HS766T,6.162757621,5.198541
3865,Erlotinib,HS766T,4.903506317,4.197244
3866,Vismodegib,HS766T,7.273067014,6.105032
3867,Tanespimycin,HS766T,0.551063818,1.303866
3868,Ipatasertib,HS766T,3.736391232,4.703235
3869,Cediranib,HS766T,2.422785593,3.621338
3870,RO-3306,HS766T,6.430146312,6.308838
3871,AGI-5198,HS766T,6.049554028,6.095535
3872,Vinblastine,HS766T,-0.033529899,-0.678348
3873,Motesanib,HS766T,7.461904325,7.426203
3874,Pictilisib,HS766T,1.465511207,0.822822
3875,Vorinostat,HS766T,2.013944501,2.974484
3876,Tamoxifen,HS766T,3.250171022,5.445502
3877,Buparlisib,HS766T,1.830518864,1.672358
3878,Ibrutinib,HS939T,2.978494426,4.346985
3879,Camptothecin,HS939T,-2.202532273,-1.673203
3880,Temozolomide,HS939T,5.661098312,6.348331
3881,NU7441,HS939T,2.615745019,2.472754
3882,AGI-6780,HS939T,5.044694751,5.293388
3883,GSK1904529A,HS939T,3.966319823,5.077208
3884,PCI-34051,HS939T,4.344660688,4.599733
3885,Sabutoclax,HS939T,-1.224352141,-0.271928
3886,AZD8186,HS939T,1.812893568,2.006918
3887,Tozasertib,HS939T,2.267227768,3.033675
3888,Staurosporine,HS939T,-2.636217831,-2.73367
3889,SCH772984,HS939T,-0.536014589,-1.12549
3890,Telomerase Inhibitor IX,HS939T,-0.520109009,-0.040199
3891,AZD5363,HS939T,1.600357731,1.710529
3892,BMS-345541,HS939T,2.61543803,2.407922
3893,AZD6738,HS939T,2.024363394,2.136689
3894,RO-3306,HS940T,3.370295205,3.916587
3895,LY2109761,HS940T,4.368735875,5.464884
3896,Bortezomib,HS940T,-6.123331974,-4.830121
3897,BX795,HS940T,1.52927591,2.518082
3898,Daporinad,HS940T,2.317909523,-3.354248
3899,Rucaparib,HS940T,3.145402901,4.039078
3900,Taselisib,HS940T,2.443396859,1.902063
3901,IOX2,HS940T,2.063452306,2.778842
3902,Lenalidomide,HS940T,6.014500605,5.731894
3903,Entinostat,HS940T,1.624275957,2.963192
3904,Lapatinib,HS940T,4.257424103,2.939632
3905,SCH772984,HS940T,3.077315395,3.04612
3906,MK-2206,HS940T,5.203973694,2.701372
3907,AZD6482,HS940T,4.257190808,3.499445
3908,Pevonedistat,HS940T,1.203499207,1.628064
3909,SB505124,HS940T,2.242139439,4.248663
3910,Nutlin-3a (-),HSC2,5.127037995,4.899553
3911,Taselisib,HSC2,-2.33329573,-0.442311
3912,LCL161,HSC2,3.905546122,4.287849
3913,SCH772984,HSC2,3.156013858,2.743093
3914,POMHEX,HSC2,0.16352116,1.28848
3915,OTX015,HSC2,0.481380234,1.311862
3916,Savolitinib,HSC2,2.923992874,2.472988
3917,Dactinomycin,HSC2,-4.598021097,-4.697124
3918,Vinblastine,HSC2,-5.246331063,-5.093231
3919,YK-4-279,HSC2,0.525507286,1.085219
3920,TW 37,HSC2,1.238534892,0.443079
3921,Schweinfurthin A,HSC2,2.936092639,-1.150203
3922,Sorafenib,HSC2,2.265814889,2.16029
3923,5-azacytidine,HSC2,1.961468772,2.236235
3924,WIKI4,HSC2,4.795207358,3.895395
3925,AZD3759,HSC2,1.43513334,1.597262
3926,GSK2578215A,HSC2,4.474408686,4.600643
3927,Dihydrorotenone,HSC2,1.839679174,1.184162
3928,AZD5991,HSC2,-0.032322808,3.000197
3929,RO-3306,HSC3,3.020128603,3.415671
3930,JQ1,HSC3,0.868988189,1.647936
3931,Vinorelbine,HSC3,-4.602457593,-4.191532
3932,Avagacestat,HSC3,4.542900125,4.782598
3933,WZ4003,HSC3,2.921720267,3.827364
3934,AMG-319,HSC3,4.770587845,4.672184
3935,Paclitaxel,HSC3,-4.808081973,-4.007955
3936,Irinotecan,HSC3,1.303746398,1.186753
3937,Ruxolitinib,HSC3,4.483843799,5.080697
3938,PCI-34051,HSC3,5.218772768,4.64652
3939,Ulixertinib,HSC3,2.477990495,2.537217
3940,Sinularin,HSC3,2.64917874,3.307987
3941,Dasatinib,HSC3,-0.757892858,-1.194126
3942,Bromosporine,HSC3,3.677051482,2.253623
3943,NVP-ADW742,HSC3,1.783153998,2.446009
3944,I-BRD9,HSC3,3.896831718,4.138996
3945,Vincristine,HSC3,-2.392623024,-3.00442
3946,Picolinici-acid,HSC3,5.288504684,4.697111
3947,MN-64,HSC3,5.115851277,4.821368
3948,Zoledronate,HSC4,4.030361859,3.930365
3949,Gemcitabine,HSC4,-3.318106416,-2.714067
3950,GSK1904529A,HSC4,4.512497499,4.306258
3951,Remodelin,HSC4,2.7669123,4.758237
3952,Nilotinib,HSC4,4.008171338,4.739315
3953,Podophyllotoxin bromide,HSC4,1.612468663,1.61503
3954,Docetaxel,HSC4,0.321440662,-1.883313
3955,OTX015,HSC4,5.1378874,4.752959
3956,Dihydrorotenone,HSC4,-4.524713082,-0.841118
3957,MK-2206,HSC4,3.789832092,3.814374
3958,Alpelisib,HSC4,5.018502907,3.833591
3959,GSK2801,HSC4,5.122130588,5.028564
3960,Bosutinib,HSC4,0.657706245,2.406158
3961,KU-55933,HSC4,5.312456705,5.435771
3962,AZD4547,HSC4,3.789659303,2.7578
3963,Vincristine,HSC4,3.340008315,1.758764
3964,PRT062607,HSC4,5.418374015,5.045545
3965,MIRA-1,HSC4,6.002859859,5.789787
3966,Telomerase Inhibitor IX,HSC4,0.363631325,0.117662
3967,Bosutinib,HT,3.659989508,2.938657
3968,PRIMA-1MET,HT,3.004840222,2.574048
3969,Paclitaxel,HT,-6.109751613,-4.477178
3970,Lapatinib,HT,2.402463629,2.238954
3971,Talazoparib,HT,-0.18021756,1.379364
3972,VE-822,HT,0.41509477,0.683291
3973,Dinaciclib,HT,-3.997828858,-3.598323
3974,GSK269962A,HT,2.729623894,2.12162
3975,BX795,HT,3.236267078,2.887583
3976,Cyclophosphamide,HT,5.791385864,4.7825
3977,NU7441,HT,2.012757953,-0.202018
3978,Osimertinib,HT,-2.119552994,1.436969
3979,Ipatasertib,HT,2.310901071,0.873905
3980,Dasatinib,HT,-3.338604612,-0.653389
3981,AT13148,HT,2.579785481,2.010922
3982,SGC0946,HT,2.436389456,1.741887
3983,ML323,HT1080,5.415695275,4.533422
3984,ABT737,HT1080,2.704844507,3.001824
3985,MIRA-1,HT1080,5.949307853,5.830647
3986,KRAS (G12C) Inhibitor-12,HT1080,5.749695228,5.338106
3987,Linsitinib,HT1080,4.855944704,4.606802
3988,Talazoparib,HT1080,3.452870394,4.235107
3989,Lenalidomide,HT1080,6.082371877,5.583324
3990,Veliparib,HT1080,6.097488985,5.588233
3991,AZD3759,HT1080,4.003005582,3.598705
3992,Tamoxifen,HT1080,3.770785662,4.215831
3993,Carmustine,HT1080,6.814391737,6.149837
3994,Dasatinib,HT1080,2.547337032,1.815031
3995,KU-55933,HT1080,3.912981018,5.597786
3996,Nelarabine,HT1080,6.536789226,6.264522
3997,MIM1,HT1080,3.965113007,4.166161
3998,Leflunomide,HT1080,5.422816905,5.371422
3999,GSK591,HT1080,5.589490582,5.101531
4000,VE-822,HT1080,4.461688308,4.212598
4001,PCI-34051,HT1080,5.264266496,5.180797
4002,MIRA-1,HT115,5.347853369,5.184995
4003,PFI3,HT115,4.96077268,5.337616
4004,AZD5438,HT115,1.492670097,2.123958
4005,Cediranib,HT115,1.227007061,1.975991
4006,I-BET-762,HT115,3.961786904,3.157406
4007,Motesanib,HT115,5.000371764,5.452917
4008,Gemcitabine,HT115,0.102267683,-0.058695
4009,WIKI4,HT115,5.426278902,3.683179
4010,Luminespib,HT115,-1.699579042,-1.907896
4011,Palbociclib,HT115,2.462318729,3.468932
4012,Wnt-C59,HT115,3.785227947,3.975995
4013,Dasatinib,HT115,2.272442446,2.454209
4014,Temozolomide,HT115,6.477077615,6.442363
4015,Dihydrorotenone,HT115,0.559741387,-0.073929
4016,Sepantronium bromide,HT115,0.115181504,-3.806161
4017,Olaparib,HT115,5.121551893,4.368279
4018,SGC0946,HT115,2.430546629,2.48613
4019,YK-4-279,HT115,1.612439595,1.522302
4020,Refametinib,HT115,1.045210283,1.821418
4021,MIM1,HT1197,4.356388608,4.647195
4022,Buparlisib,HT1197,0.478925313,1.405164
4023,Leflunomide,HT1197,5.924464994,5.553568
4024,CCT007093,HT1197,5.801241128,5.878989
4025,Carmustine,HT1197,6.725652801,6.454679
4026,AZD4547,HT1197,4.344459114,3.285436
4027,OTX015,HT1197,-0.044014338,1.128554
4028,Fulvestrant,HT1197,4.726962099,4.366242
4029,Fludarabine,HT1197,6.610317185,6.089954
4030,Luminespib,HT1197,0.244602674,-1.088765
4031,AZ960,HT1197,3.184395952,3.633408
4032,SB216763,HT1197,4.95025021,5.715314
4033,GSK1904529A,HT1197,3.67045214,4.784133
4034,Sabutoclax,HT1197,-0.065747413,0.814122
4035,EPZ004777,HT1197,6.161844825,5.563249
4036,Talazoparib,HT1197,4.099973775,4.043221
4037,MK-1775,HT1197,2.637988064,2.044027
4038,Wee1 Inhibitor,HT1197,3.145338569,3.506811
4039,Ruxolitinib,HT1376,5.457074961,5.34098
4040,Epirubicin,HT1376,1.758333497,0.876975
4041,Doramapimod,HT1376,6.458641304,5.829798
4042,Buparlisib,HT1376,3.692291761,2.21776
4043,Cediranib,HT1376,3.234245252,3.064322
4044,WEHI-539,HT1376,4.927652212,4.558451
4045,AMG-319,HT1376,5.66463095,5.521181
4046,Lestaurtinib,HT1376,2.271571724,2.238417
4047,Motesanib,HT1376,6.525876857,6.531875
4048,Obatoclax Mesylate,HT1376,2.14505659,1.294114
4049,MG-132,HT1376,-0.394128395,-1.028149
4050,AZD3759,HT1376,2.017337152,2.414211
4051,Savolitinib,HT1376,4.179227503,3.527926
4052,LJI308,HT1376,5.235281603,5.39889
4053,Luminespib,HT1376,-1.122161742,0.799128
