"",drug,cell_line,prediction,OncotreeCode,IC50
457,Dactolisib,NCIH2228,-1.785635,LUAD,-1.792299
458,Dasatinib,NCIH2228,1.052834,LUAD,1.621318
459,Dinaciclib,NCIH2228,-2.454620,LUAD,-1.086308
460,Docetaxel,NCIH2228,-3.116068,LUAD,-2.456433
461,Doramapimod,NCIH2228,6.241465,LUAD,5.044137
462,EHT-1864,NCIH2228,4.329855,LUAD,4.915289
463,EPZ004777,NCIH2228,6.090219,LUAD,6.539126
464,EPZ5676,NCIH2228,6.250471,LUAD,5.639817
465,Entinostat,NCIH2228,2.856794,LUAD,2.615521
466,Entospletinib,NCIH2228,3.724612,LUAD,3.981642
467,Epirubicin,NCIH2228,-0.295046,LUAD,0.051804
468,Erlotinib,NCIH2228,3.343516,LUAD,3.922373
469,Fulvestrant,NCIH2228,4.382209,LUAD,5.237126
470,GDC0810,NCIH2228,5.605080,LUAD,6.455080
471,GSK1904529A,NCIH2228,5.052296,LUAD,4.833312
472,GSK2578215A,NCIH2228,5.516467,LUAD,5.367241
473,GSK2606414,NCIH2228,4.069577,LUAD,3.808508
474,GSK343,NCIH2228,3.962639,LUAD,5.586038
475,GW441756,NCIH2228,3.584925,LUAD,3.250814
476,Gefitinib,NCIH2228,3.486215,LUAD,4.025381
477,Gemcitabine,NCIH2228,-1.084672,LUAD,-1.374019
478,I-BET-762,NCIH2228,3.693230,LUAD,4.417057
479,I-BRD9,NCIH2228,4.813206,LUAD,5.847830
480,IWP-2,NCIH2228,3.290418,LUAD,2.450147
481,Ibrutinib,NCIH2228,4.509190,LUAD,6.274045
482,Ipatasertib,NCIH2228,4.186202,LUAD,3.528272
483,Irinotecan,NCIH2228,2.273782,LUAD,2.251944
484,JNK Inhibitor VIII,NCIH2228,5.658438,LUAD,6.052156
485,JQ1,NCIH2228,2.680555,LUAD,2.886159
486,KRAS (G12C) Inhibitor-12,NCIH2228,5.278271,LUAD,7.582933
487,KU-55933,NCIH2228,5.550330,LUAD,5.841444
488,LCL161,NCIH2228,5.185070,LUAD,3.719470
489,LGK974,NCIH2228,4.721803,LUAD,4.438999
490,LY2109761,NCIH2228,5.724422,LUAD,6.644155
491,Lapatinib,NCIH2228,3.350971,LUAD,5.309039
492,Leflunomide,NCIH2228,5.296788,LUAD,5.247231
493,Lenalidomide,NCIH2228,5.968902,LUAD,6.683006
494,Lestaurtinib,NCIH2228,0.946861,LUAD,0.996595
495,Linsitinib,NCIH2228,4.701221,LUAD,2.587034
496,Luminespib,NCIH2228,-2.434988,LUAD,-1.997614
497,MG-132,NCIH2228,-1.452984,LUAD,-0.048894
498,MIRA-1,NCIH2228,6.098174,LUAD,7.064502
499,MK-1775,NCIH2228,0.668641,LUAD,0.954340
500,MK-2206,NCIH2228,3.015847,LUAD,1.712131
501,ML323,NCIH2228,5.091005,LUAD,6.880016
502,MN-64,NCIH2228,4.942693,LUAD,4.399393
503,Mirin,NCIH2228,5.199571,LUAD,5.830652
504,Motesanib,NCIH2228,6.500201,LUAD,6.776365
505,NU7441,NCIH2228,3.440788,LUAD,4.963413
506,NVP-ADW742,NCIH2228,2.942602,LUAD,3.497134
507,Navitoclax,NCIH2228,3.135134,LUAD,4.178065
508,Nilotinib,NCIH2228,4.313403,LUAD,5.352288
509,Niraparib,NCIH2228,4.801138,LUAD,3.703622
510,Nutlin-3a (-),NCIH2228,5.870397,LUAD,6.051779
511,OF-1,NCIH2228,4.943954,LUAD,4.580704
512,OSI-027,NCIH2228,2.143936,LUAD,3.812424
513,OTX015,NCIH2228,2.850016,LUAD,5.416979
514,Olaparib,NCIH2228,4.956842,LUAD,4.720014
515,Osimertinib,NCIH2228,1.302258,LUAD,3.074055
516,Oxaliplatin,NCIH2228,4.925000,LUAD,5.494261
517,P22077,NCIH2228,5.465537,LUAD,6.471970
518,PCI-34051,NCIH2228,5.139773,LUAD,6.753137
519,PD173074,NCIH2228,4.670794,LUAD,5.079793
520,PFI-1,NCIH2228,4.701329,LUAD,5.859817
521,PFI3,NCIH2228,5.913645,LUAD,6.792375
522,PLX-4720,NCIH2228,4.663876,LUAD,5.004770
523,PRIMA-1MET,NCIH2228,5.673364,LUAD,5.600966
524,PRT062607,NCIH2228,3.079804,LUAD,3.617158
525,Paclitaxel,NCIH2228,-2.176250,LUAD,-1.763564
526,Palbociclib,NCIH2228,3.755285,LUAD,4.660124
527,Pevonedistat,NCIH2228,1.996928,LUAD,3.042005
528,Picolinici-acid,NCIH2228,5.632235,LUAD,6.701608
529,Pictilisib,NCIH2228,0.583894,LUAD,0.612912
530,RO-3306,NCIH2228,3.693075,LUAD,4.619897
531,RVX-208,NCIH2228,5.374279,LUAD,6.557054
532,Refametinib,NCIH2228,0.691696,LUAD,1.610587
533,Ribociclib,NCIH2228,4.056041,LUAD,5.225547
534,Rucaparib,NCIH2228,4.458523,LUAD,4.102681
535,Ruxolitinib,NCIH2228,5.515194,LUAD,2.853212
536,SB216763,NCIH2228,5.771310,LUAD,5.895278
537,SB590885,NCIH2228,4.641218,LUAD,4.772365
538,SGC0946,NCIH2228,2.387451,LUAD,3.355229
539,SN-38,NCIH2228,-3.281375,LUAD,-2.178999
540,Sabutoclax,NCIH2228,0.298702,LUAD,-0.699829
541,Savolitinib,NCIH2228,2.750904,LUAD,3.185019
542,Selumetinib,NCIH2228,3.204351,LUAD,5.122288
543,Sepantronium bromide,NCIH2228,-4.107563,LUAD,-2.686342
544,Serdemetan,NCIH2228,4.135504,LUAD,2.598013
545,Sorafenib,NCIH2228,3.289913,LUAD,3.620614
546,Staurosporine,NCIH2228,-3.291221,LUAD,-1.876254
547,Talazoparib,NCIH2228,3.469277,LUAD,3.017916
548,Tamoxifen,NCIH2228,4.633011,LUAD,5.290880
549,Tanespimycin,NCIH2228,-1.050101,LUAD,-0.893264
550,Taselisib,NCIH2228,0.338112,LUAD,1.235209
551,Telomerase Inhibitor IX,NCIH2228,1.492462,LUAD,2.438926
552,Temozolomide,NCIH2228,7.209578,LUAD,7.649378
553,Trametinib,NCIH2228,-1.448153,LUAD,-0.566433
554,Ulixertinib,NCIH2228,2.390689,LUAD,3.395049
555,Uprosertib,NCIH2228,3.105938,LUAD,2.404481
556,VE-822,NCIH2228,3.865293,LUAD,4.139256
557,Veliparib,NCIH2228,5.815467,LUAD,5.840194
558,Venetoclax,NCIH2228,3.294028,LUAD,4.088028
559,Vismodegib,NCIH2228,5.467770,LUAD,6.505760
560,Vorinostat,NCIH2228,2.136241,LUAD,2.334577
561,WEHI-539,NCIH2228,4.649374,LUAD,4.547011
562,WIKI4,NCIH2228,4.086129,LUAD,3.004243
563,WZ4003,NCIH2228,4.688002,LUAD,3.776361
564,Wnt-C59,NCIH2228,5.042647,LUAD,5.863181
565,XAV939,NCIH2228,4.438282,LUAD,3.195765
566,YK-4-279,NCIH2228,2.675036,LUAD,3.435987
567,ZM447439,NCIH2228,3.497545,LUAD,2.684147
568,5-Fluorouracil,NCIH2170,3.415473,LUSC,3.937417
569,ABT737,NCIH2170,2.606516,LUSC,0.772399
570,AGI-5198,NCIH2170,4.612392,LUSC,4.717171
571,AGI-6780,NCIH2170,4.235341,LUSC,4.065627
572,AGK2,NCIH2170,2.896377,LUSC,4.466269
573,AZ960,NCIH2170,1.917893,LUSC,2.062976
574,AZD3759,NCIH2170,2.127380,LUSC,2.630144
575,AZD4547,NCIH2170,1.854923,LUSC,2.319813
576,AZD5363,NCIH2170,2.499732,LUSC,1.977369
577,AZD5582,NCIH2170,0.892423,LUSC,3.033731
578,AZD6738,NCIH2170,1.893872,LUSC,1.888228
579,AZD7762,NCIH2170,-0.181874,LUSC,-0.532861
580,AZD8186,NCIH2170,2.902347,LUSC,2.486751
581,Afatinib,NCIH2170,0.048221,LUSC,-3.043887
582,Afuresertib,NCIH2170,1.965129,LUSC,1.687789
583,Alpelisib,NCIH2170,2.786028,LUSC,2.351157
584,Avagacestat,NCIH2170,5.008774,LUSC,5.122274
585,Axitinib,NCIH2170,3.057017,LUSC,1.651365
586,BMS-345541,NCIH2170,2.737448,LUSC,2.512685
587,BMS-536924,NCIH2170,1.392514,LUSC,1.594605
588,BMS-754807,NCIH2170,0.428649,LUSC,0.622179
589,Bortezomib,NCIH2170,-4.896400,LUSC,-4.691718
590,Bosutinib,NCIH2170,2.332017,LUSC,0.330784
591,Buparlisib,NCIH2170,0.799400,LUSC,0.075392
592,CCT007093,NCIH2170,4.982946,LUSC,5.571013
593,CZC24832,NCIH2170,5.469239,LUSC,4.061356
594,Camptothecin,NCIH2170,-2.545185,LUSC,-3.956039
595,Cediranib,NCIH2170,1.705520,LUSC,1.293744
596,Crizotinib,NCIH2170,2.733345,LUSC,1.471901
597,Cyclophosphamide,NCIH2170,5.183536,LUSC,4.952204
598,Dactinomycin,NCIH2170,-3.876398,LUSC,-4.551184
599,Dactolisib,NCIH2170,-1.918140,LUSC,-2.653821
600,Dasatinib,NCIH2170,3.258214,LUSC,0.797258
601,Dinaciclib,NCIH2170,-3.656680,LUSC,-2.449249
602,Docetaxel,NCIH2170,-4.641550,LUSC,-5.529357
603,Doramapimod,NCIH2170,5.332197,LUSC,3.849536
604,EHT-1864,NCIH2170,3.397510,LUSC,4.118902
605,EPZ004777,NCIH2170,5.553602,LUSC,5.481805
606,EPZ5676,NCIH2170,5.948187,LUSC,5.444124
607,Entinostat,NCIH2170,1.048691,LUSC,1.726923
608,Entospletinib,NCIH2170,3.621322,LUSC,2.523040
609,Epirubicin,NCIH2170,-0.666076,LUSC,0.463484
610,Erlotinib,NCIH2170,2.026793,LUSC,0.600995
611,Fulvestrant,NCIH2170,3.548840,LUSC,3.640301
612,GDC0810,NCIH2170,4.933770,LUSC,5.430008
613,GSK1904529A,NCIH2170,4.463869,LUSC,4.624341
614,GSK2578215A,NCIH2170,4.918087,LUSC,5.591718
615,GSK2606414,NCIH2170,3.457874,LUSC,3.616166
616,GSK343,NCIH2170,3.430527,LUSC,3.579830
617,GW441756,NCIH2170,3.187069,LUSC,1.886320
618,Gefitinib,NCIH2170,2.129622,LUSC,0.811124
619,Gemcitabine,NCIH2170,0.596632,LUSC,-4.814400
620,I-BET-762,NCIH2170,3.375486,LUSC,4.006008
621,I-BRD9,NCIH2170,4.521978,LUSC,4.427187
622,IWP-2,NCIH2170,2.742603,LUSC,3.289133
623,Ibrutinib,NCIH2170,3.475321,LUSC,-0.518875
624,Ipatasertib,NCIH2170,2.643735,LUSC,2.487374
625,Irinotecan,NCIH2170,2.246101,LUSC,1.565138
626,JNK Inhibitor VIII,NCIH2170,5.373974,LUSC,5.140805
627,JQ1,NCIH2170,1.498758,LUSC,2.380914
628,KRAS (G12C) Inhibitor-12,NCIH2170,4.400928,LUSC,3.619618
629,KU-55933,NCIH2170,4.946816,LUSC,5.392904
630,LCL161,NCIH2170,4.734909,LUSC,4.128568
631,LGK974,NCIH2170,3.988363,LUSC,4.519156
632,LY2109761,NCIH2170,5.187875,LUSC,5.493128
633,Lapatinib,NCIH2170,1.876518,LUSC,-0.917778
634,Leflunomide,NCIH2170,4.988904,LUSC,5.208265
635,Lenalidomide,NCIH2170,5.259735,LUSC,4.198693
636,Lestaurtinib,NCIH2170,0.167470,LUSC,-0.999885
637,Linsitinib,NCIH2170,3.303089,LUSC,3.120855
638,Luminespib,NCIH2170,-2.240577,LUSC,-2.387012
639,MG-132,NCIH2170,-1.200027,LUSC,-1.406502
640,MIRA-1,NCIH2170,5.600941,LUSC,5.245766
641,MK-1775,NCIH2170,-0.105722,LUSC,-0.607562
642,MK-2206,NCIH2170,2.337891,LUSC,2.823202
643,ML323,NCIH2170,4.336823,LUSC,5.126829
644,MN-64,NCIH2170,4.386149,LUSC,4.325707
645,Mirin,NCIH2170,4.421782,LUSC,4.730350
646,Motesanib,NCIH2170,5.747171,LUSC,4.072035
647,NU7441,NCIH2170,2.845095,LUSC,1.633591
648,NVP-ADW742,NCIH2170,1.869888,LUSC,3.065545
649,Navitoclax,NCIH2170,2.520252,LUSC,-0.101656
650,Nilotinib,NCIH2170,3.375685,LUSC,3.651065
651,Niraparib,NCIH2170,3.937720,LUSC,3.089727
652,Nutlin-3a (-),NCIH2170,5.608882,LUSC,5.444464
653,OF-1,NCIH2170,4.332555,LUSC,3.219471
654,OSI-027,NCIH2170,1.965268,LUSC,1.604154
655,OTX015,NCIH2170,1.726274,LUSC,3.593007
656,Olaparib,NCIH2170,4.564075,LUSC,4.264541
657,Osimertinib,NCIH2170,0.223707,LUSC,-2.274924
658,Oxaliplatin,NCIH2170,4.402952,LUSC,3.807721
659,P22077,NCIH2170,4.502756,LUSC,5.320855
660,PCI-34051,NCIH2170,4.578303,LUSC,4.507806
661,PD173074,NCIH2170,3.546300,LUSC,2.888292
662,PFI-1,NCIH2170,4.086212,LUSC,5.193018
663,PFI3,NCIH2170,5.301957,LUSC,5.099137
664,PLX-4720,NCIH2170,4.442809,LUSC,3.941708
665,PRIMA-1MET,NCIH2170,5.213646,LUSC,5.751309
666,PRT062607,NCIH2170,2.770544,LUSC,2.542602
667,Paclitaxel,NCIH2170,-3.888216,LUSC,-4.424539
668,Palbociclib,NCIH2170,2.854524,LUSC,3.144239
669,Pevonedistat,NCIH2170,0.540307,LUSC,-1.597406
670,Picolinici-acid,NCIH2170,5.221256,LUSC,5.200169
671,Pictilisib,NCIH2170,0.390672,LUSC,-0.228175
672,RO-3306,NCIH2170,3.039160,LUSC,2.263182
673,RVX-208,NCIH2170,4.847385,LUSC,4.357286
674,Refametinib,NCIH2170,2.051843,LUSC,3.428922
675,Ribociclib,NCIH2170,3.132248,LUSC,3.971137
676,Rucaparib,NCIH2170,3.877879,LUSC,2.670250
677,Ruxolitinib,NCIH2170,4.830188,LUSC,4.703466
678,SB216763,NCIH2170,5.186221,LUSC,5.475426
679,SB590885,NCIH2170,4.215509,LUSC,3.415145
680,SGC0946,NCIH2170,2.130018,LUSC,1.734392
681,SN-38,NCIH2170,-3.198722,LUSC,-5.059042
682,Sabutoclax,NCIH2170,0.362184,LUSC,0.900077
683,Savolitinib,NCIH2170,2.316133,LUSC,2.012438
684,Selumetinib,NCIH2170,2.997562,LUSC,5.656592
685,Sepantronium bromide,NCIH2170,-2.575042,LUSC,-3.663828
686,Serdemetan,NCIH2170,3.519706,LUSC,3.413761
687,Sorafenib,NCIH2170,2.551965,LUSC,3.051977
688,Staurosporine,NCIH2170,-3.004616,LUSC,-4.138804
689,Talazoparib,NCIH2170,3.581334,LUSC,-0.669159
690,Tamoxifen,NCIH2170,3.769303,LUSC,4.365352
691,Tanespimycin,NCIH2170,-1.112669,LUSC,-2.950654
692,Taselisib,NCIH2170,0.288902,LUSC,0.609259
693,Telomerase Inhibitor IX,NCIH2170,1.085302,LUSC,0.444472
694,Temozolomide,NCIH2170,6.603435,LUSC,4.829815
695,Trametinib,NCIH2170,-1.718105,LUSC,3.924432
696,Ulixertinib,NCIH2170,1.510420,LUSC,3.801924
697,Uprosertib,NCIH2170,2.291532,LUSC,2.026297
698,VE-822,NCIH2170,2.648623,LUSC,0.692166
699,Veliparib,NCIH2170,5.104039,LUSC,5.400731
700,Venetoclax,NCIH2170,3.135687,LUSC,3.435150
701,Vismodegib,NCIH2170,4.968596,LUSC,5.529170
702,Vorinostat,NCIH2170,1.503217,LUSC,0.946208
703,WEHI-539,NCIH2170,4.736404,LUSC,0.796005
704,WIKI4,NCIH2170,4.038231,LUSC,4.716590
705,WZ4003,NCIH2170,3.893013,LUSC,3.975304
706,Wnt-C59,NCIH2170,4.199944,LUSC,5.227703
707,XAV939,NCIH2170,4.162808,LUSC,3.717925
708,YK-4-279,NCIH2170,1.688608,LUSC,0.524238
709,ZM447439,NCIH2170,2.493104,LUSC,0.924494
710,5-Fluorouracil,NCIH146,4.486487,SCLC,3.657896
711,ABT737,NCIH146,0.860783,SCLC,-2.237680
712,AGI-5198,NCIH146,4.421701,SCLC,3.624073
713,AGI-6780,NCIH146,4.489536,SCLC,3.974842
714,AGK2,NCIH146,3.299008,SCLC,3.014805
715,AZ960,NCIH146,0.863212,SCLC,2.230332
716,AZD3759,NCIH146,2.677835,SCLC,3.341725
717,AZD4547,NCIH146,3.120528,SCLC,3.663788
718,AZD5363,NCIH146,3.506167,SCLC,4.644727
719,AZD5582,NCIH146,2.487355,SCLC,2.012681
720,AZD6738,NCIH146,2.044087,SCLC,2.421189
721,AZD7762,NCIH146,0.737007,SCLC,0.550611
722,AZD8186,NCIH146,3.624047,SCLC,5.082524
723,Afatinib,NCIH146,1.664077,SCLC,1.078987
724,Afuresertib,NCIH146,3.228387,SCLC,3.442519
725,Alpelisib,NCIH146,3.501890,SCLC,3.622992
726,Avagacestat,NCIH146,4.834453,SCLC,3.572423
727,Axitinib,NCIH146,2.325808,SCLC,2.424052
728,BMS-345541,NCIH146,2.656025,SCLC,2.032840
729,BMS-536924,NCIH146,2.525285,SCLC,3.871981
730,BMS-754807,NCIH146,1.761607,SCLC,3.873944
731,Bortezomib,NCIH146,-5.312144,SCLC,-4.924829
732,Bosutinib,NCIH146,3.147962,SCLC,3.075422
733,Buparlisib,NCIH146,1.414870,SCLC,1.764563
734,CCT007093,NCIH146,4.999837,SCLC,4.947767
735,CZC24832,NCIH146,5.277308,SCLC,5.846322
736,Camptothecin,NCIH146,-3.325945,SCLC,-2.960427
737,Cediranib,NCIH146,2.179598,SCLC,1.825081
738,Crizotinib,NCIH146,2.681533,SCLC,3.107330
739,Cyclophosphamide,NCIH146,5.390098,SCLC,5.331158
740,Dactinomycin,NCIH146,-3.623767,SCLC,-4.176434
741,Dactolisib,NCIH146,-1.210854,SCLC,-2.148024
742,Dasatinib,NCIH146,2.882808,SCLC,3.237857
743,Dinaciclib,NCIH146,-2.671085,SCLC,-3.762970
744,Docetaxel,NCIH146,-3.840769,SCLC,-2.909871
745,Doramapimod,NCIH146,5.078083,SCLC,2.533555
746,EHT-1864,NCIH146,3.518944,SCLC,2.872611
747,EPZ004777,NCIH146,5.174673,SCLC,3.938753
748,EPZ5676,NCIH146,5.670189,SCLC,4.947133
749,Entinostat,NCIH146,0.789331,SCLC,-1.810497
750,Entospletinib,NCIH146,4.053681,SCLC,4.134874
751,Epirubicin,NCIH146,-0.059834,SCLC,-0.147009
752,Erlotinib,NCIH146,3.758097,SCLC,3.323680
753,Fulvestrant,NCIH146,3.395684,SCLC,2.554232
754,GDC0810,NCIH146,4.903144,SCLC,5.514699
755,GSK1904529A,NCIH146,4.527468,SCLC,2.849510
756,GSK2578215A,NCIH146,4.976129,SCLC,5.608460
757,GSK2606414,NCIH146,3.935765,SCLC,3.525753
758,GSK343,NCIH146,3.071759,SCLC,3.226880
759,GW441756,NCIH146,3.371924,SCLC,4.267804
760,Gefitinib,NCIH146,3.513101,SCLC,3.800289
761,Gemcitabine,NCIH146,-0.498601,SCLC,-2.358643
762,I-BET-762,NCIH146,3.151597,SCLC,2.517626
763,I-BRD9,NCIH146,4.454453,SCLC,3.658144
764,IWP-2,NCIH146,2.598500,SCLC,3.598757
765,Ibrutinib,NCIH146,4.633093,SCLC,4.064785
766,Ipatasertib,NCIH146,3.841408,SCLC,4.652238
767,Irinotecan,NCIH146,1.823938,SCLC,0.893964
768,JNK Inhibitor VIII,NCIH146,5.127850,SCLC,4.194727
769,JQ1,NCIH146,1.699986,SCLC,0.279394
770,KRAS (G12C) Inhibitor-12,NCIH146,4.508848,SCLC,4.500784
771,KU-55933,NCIH146,5.091634,SCLC,5.876820
772,LCL161,NCIH146,4.704200,SCLC,5.310848
773,LGK974,NCIH146,4.544142,SCLC,4.833762
774,LY2109761,NCIH146,5.185400,SCLC,4.909134
775,Lapatinib,NCIH146,3.670450,SCLC,2.548869
776,Leflunomide,NCIH146,4.941987,SCLC,5.265076
777,Lenalidomide,NCIH146,5.231288,SCLC,5.076853
778,Lestaurtinib,NCIH146,0.817756,SCLC,-0.025453
779,Linsitinib,NCIH146,3.915212,SCLC,4.177161
780,Luminespib,NCIH146,-1.720902,SCLC,-2.499019
781,MG-132,NCIH146,-1.242304,SCLC,-1.259203
782,MIRA-1,NCIH146,4.733400,SCLC,5.769150
783,MK-1775,NCIH146,0.465926,SCLC,0.211023
784,MK-2206,NCIH146,3.254543,SCLC,2.745366
785,ML323,NCIH146,4.866178,SCLC,4.213697
786,MN-64,NCIH146,4.717089,SCLC,5.211346
787,Mirin,NCIH146,4.401388,SCLC,3.664219
788,Motesanib,NCIH146,5.721800,SCLC,5.717909
789,NU7441,NCIH146,3.236471,SCLC,2.649539
790,NVP-ADW742,NCIH146,2.126654,SCLC,2.314921
791,Navitoclax,NCIH146,1.215291,SCLC,-2.783891
792,Nilotinib,NCIH146,3.762640,SCLC,2.614132
793,Niraparib,NCIH146,3.504692,SCLC,3.532639
794,Nutlin-3a (-),NCIH146,5.292308,SCLC,4.408538
795,OF-1,NCIH146,4.223232,SCLC,4.031124
796,OSI-027,NCIH146,2.719342,SCLC,2.036428
797,OTX015,NCIH146,1.734145,SCLC,0.944283
798,Olaparib,NCIH146,3.891030,SCLC,3.061680
799,Osimertinib,NCIH146,1.614983,SCLC,1.603608
800,Oxaliplatin,NCIH146,3.634294,SCLC,2.400650
801,P22077,NCIH146,4.389809,SCLC,3.427862
802,PCI-34051,NCIH146,4.018765,SCLC,2.898774
803,PD173074,NCIH146,3.805214,SCLC,3.098564
804,PFI-1,NCIH146,3.775791,SCLC,4.122652
805,PFI3,NCIH146,5.378052,SCLC,5.527107
806,PLX-4720,NCIH146,4.473942,SCLC,3.483261
807,PRIMA-1MET,NCIH146,3.185525,SCLC,3.981674
808,PRT062607,NCIH146,2.950619,SCLC,1.885956
809,Paclitaxel,NCIH146,-2.833579,SCLC,-2.191330
810,Palbociclib,NCIH146,3.502988,SCLC,3.272229
811,Pevonedistat,NCIH146,1.471890,SCLC,-0.833203
812,Picolinici-acid,NCIH146,5.240119,SCLC,4.160279
813,Pictilisib,NCIH146,2.226060,SCLC,2.345776
814,RO-3306,NCIH146,2.615755,SCLC,1.836807
815,RVX-208,NCIH146,4.537498,SCLC,5.690839
816,Refametinib,NCIH146,4.363325,SCLC,4.537933
817,Ribociclib,NCIH146,3.649199,SCLC,3.987825
818,Rucaparib,NCIH146,3.695348,SCLC,3.102860
819,Ruxolitinib,NCIH146,4.987730,SCLC,4.510341
820,SB216763,NCIH146,5.229163,SCLC,5.880987
821,SB590885,NCIH146,4.416879,SCLC,3.347828
822,SGC0946,NCIH146,2.300582,SCLC,2.014679
823,SN-38,NCIH146,-4.337453,SCLC,-2.756189
824,Sabutoclax,NCIH146,-0.029576,SCLC,0.432447
825,Savolitinib,NCIH146,2.305203,SCLC,2.864778
826,Selumetinib,NCIH146,4.860683,SCLC,4.687036
827,Sepantronium bromide,NCIH146,-4.427815,SCLC,-5.646632
828,Serdemetan,NCIH146,3.836015,SCLC,3.280936
829,Sorafenib,NCIH146,2.663722,SCLC,1.236680
830,Staurosporine,NCIH146,-2.790763,SCLC,-1.677532
831,Talazoparib,NCIH146,2.223719,SCLC,1.219778
832,Tamoxifen,NCIH146,4.086915,SCLC,4.364471
833,Tanespimycin,NCIH146,2.076035,SCLC,0.256920
834,Taselisib,NCIH146,2.763434,SCLC,3.432687
835,Telomerase Inhibitor IX,NCIH146,0.513447,SCLC,0.396130
836,Temozolomide,NCIH146,6.480314,SCLC,5.159104
837,Trametinib,NCIH146,2.456615,SCLC,2.302198
838,Ulixertinib,NCIH146,3.807289,SCLC,2.877064
839,Uprosertib,NCIH146,3.457149,SCLC,3.521902
840,VE-822,NCIH146,3.049490,SCLC,4.425436
841,Veliparib,NCIH146,5.168542,SCLC,5.392121
842,Venetoclax,NCIH146,2.782817,SCLC,-0.345648
843,Vismodegib,NCIH146,4.980124,SCLC,5.278959
844,Vorinostat,NCIH146,1.275632,SCLC,-0.000713
845,WEHI-539,NCIH146,3.106889,SCLC,-1.080451
846,WIKI4,NCIH146,3.657947,SCLC,3.251520
847,WZ4003,NCIH146,4.718355,SCLC,5.703216
848,Wnt-C59,NCIH146,4.477257,SCLC,4.749937
849,XAV939,NCIH146,3.954600,SCLC,4.010385
850,YK-4-279,NCIH146,2.167016,SCLC,2.558391
851,ZM447439,NCIH146,1.569339,SCLC,2.582555
852,5-Fluorouracil,NCIH1299,4.586978,LCLC,3.664405
853,ABT737,NCIH1299,2.953014,LCLC,5.057074
854,AGI-5198,NCIH1299,4.809783,LCLC,6.079127
855,AGI-6780,NCIH1299,4.624281,LCLC,3.916117
856,AGK2,NCIH1299,3.504475,LCLC,4.706475
857,AZ960,NCIH1299,2.524706,LCLC,1.407660
858,AZD3759,NCIH1299,3.116530,LCLC,3.715330
859,AZD4547,NCIH1299,3.301559,LCLC,4.525209
860,AZD5363,NCIH1299,4.111836,LCLC,4.785730
861,AZD5582,NCIH1299,1.848058,LCLC,0.904442
862,AZD6738,NCIH1299,2.691684,LCLC,3.545464
863,AZD7762,NCIH1299,0.656084,LCLC,0.370718
864,AZD8186,NCIH1299,4.120697,LCLC,3.883849
865,Afatinib,NCIH1299,2.323223,LCLC,2.018097
866,Afuresertib,NCIH1299,3.922935,LCLC,4.188932
867,Alpelisib,NCIH1299,4.472919,LCLC,3.376081
868,Avagacestat,NCIH1299,5.323776,LCLC,4.806916
869,Axitinib,NCIH1299,3.842684,LCLC,2.304867
870,BMS-345541,NCIH1299,3.604845,LCLC,2.372824
871,BMS-536924,NCIH1299,2.548357,LCLC,2.195746
872,BMS-754807,NCIH1299,2.818619,LCLC,2.675781
873,Bortezomib,NCIH1299,-5.097132,LCLC,-4.446316
874,Bosutinib,NCIH1299,3.292506,LCLC,3.646027
875,Buparlisib,NCIH1299,1.651498,LCLC,1.267783
876,CCT007093,NCIH1299,5.197984,LCLC,5.730331
877,CZC24832,NCIH1299,5.501995,LCLC,5.311388
878,Camptothecin,NCIH1299,-2.465704,LCLC,-1.935191
879,Cediranib,NCIH1299,2.889744,LCLC,4.480668
880,Crizotinib,NCIH1299,3.311165,LCLC,2.410131
881,Cyclophosphamide,NCIH1299,5.586258,LCLC,6.130030
882,Dactinomycin,NCIH1299,-3.684953,LCLC,-3.403993
883,Dactolisib,NCIH1299,-1.296458,LCLC,-1.738660
884,Dasatinib,NCIH1299,2.007236,LCLC,-0.376475
885,Dinaciclib,NCIH1299,-2.761800,LCLC,-2.920625
886,Docetaxel,NCIH1299,-4.560567,LCLC,-3.059773
887,Doramapimod,NCIH1299,5.696796,LCLC,6.129233
888,EHT-1864,NCIH1299,3.768639,LCLC,4.453499
889,EPZ004777,NCIH1299,5.861737,LCLC,5.444387
890,EPZ5676,NCIH1299,6.221127,LCLC,5.486898
891,Entinostat,NCIH1299,2.582189,LCLC,4.471658
892,Entospletinib,NCIH1299,4.177385,LCLC,3.659256
893,Epirubicin,NCIH1299,-0.993101,LCLC,-0.582449
894,Erlotinib,NCIH1299,3.641493,LCLC,4.720582
895,Fulvestrant,NCIH1299,3.993167,LCLC,3.999446
896,GDC0810,NCIH1299,5.304786,LCLC,5.951837
897,GSK1904529A,NCIH1299,4.476856,LCLC,4.520284
898,GSK2578215A,NCIH1299,5.393716,LCLC,6.133415
899,GSK2606414,NCIH1299,4.092966,LCLC,4.552003
900,GSK343,NCIH1299,3.988784,LCLC,3.873278
901,GW441756,NCIH1299,3.411927,LCLC,4.409559
902,Gefitinib,NCIH1299,3.871896,LCLC,3.457808
903,Gemcitabine,NCIH1299,-0.238742,LCLC,-0.045722
904,I-BET-762,NCIH1299,3.385452,LCLC,2.139464
905,I-BRD9,NCIH1299,5.084458,LCLC,3.938031
906,IWP-2,NCIH1299,3.109147,LCLC,2.632805
907,Ibrutinib,NCIH1299,5.455883,LCLC,6.135040
908,Ipatasertib,NCIH1299,4.762977,LCLC,5.138786
909,Irinotecan,NCIH1299,2.296380,LCLC,3.029664
