"",drug,cell_line,prediction,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
249,Ribociclib,LUAD.PC14,4.415998,LUAD,4.220373,Ribociclib,3.658547,1.223182,0.619246
250,Rucaparib,LUAD.PC14,4.649011,LUAD,4.241976,Rucaparib,3.987035,1.062433,0.623076
251,Ruxolitinib,LUAD.PC14,5.325128,LUAD,3.816596,Ruxolitinib,4.797735,1.162398,0.453711
252,SB216763,LUAD.PC14,5.383728,LUAD,6.354427,SB216763,5.180650,1.038908,0.195473
253,SB590885,LUAD.PC14,4.812645,LUAD,6.795044,SB590885,4.342276,1.355433,0.347025
254,SGC0946,LUAD.PC14,2.222808,LUAD,3.162286,SGC0946,2.104319,0.798566,0.148377
255,SN-38,LUAD.PC14,-0.252739,LUAD,-2.859507,SN-38,-2.169489,3.597159,0.532851
256,Sabutoclax,LUAD.PC14,0.871193,LUAD,-0.551162,Sabutoclax,-0.348779,1.269565,0.960937
257,Savolitinib,LUAD.PC14,2.849757,LUAD,3.935786,Savolitinib,2.740489,1.190454,0.091787
258,Selumetinib,LUAD.PC14,4.804475,LUAD,3.661364,Selumetinib,3.574889,1.855068,0.662825
259,Sepantronium bromide,LUAD.PC14,-4.253401,LUAD,-4.080156,Sepantronium bromide,-4.169654,1.627967,-0.051443
260,Serdemetan,LUAD.PC14,4.265546,LUAD,2.737100,Serdemetan,3.750761,1.276441,0.403297
261,Sorafenib,LUAD.PC14,3.086861,LUAD,2.915158,Sorafenib,2.545221,1.215386,0.445653
262,Staurosporine,LUAD.PC14,-2.636015,LUAD,-4.374277,Staurosporine,-2.794054,1.384635,0.114138
263,Talazoparib,LUAD.PC14,4.611552,LUAD,3.008351,Talazoparib,2.767285,2.214847,0.832684
264,Tamoxifen,LUAD.PC14,4.080289,LUAD,4.925683,Tamoxifen,3.976104,1.224334,0.085095
265,Tanespimycin,LUAD.PC14,0.356168,LUAD,-2.585902,Tanespimycin,-0.081091,1.587668,0.275410
266,Taselisib,LUAD.PC14,1.494662,LUAD,1.910559,Taselisib,1.767096,1.694162,-0.160808
267,Telomerase Inhibitor IX,LUAD.PC14,1.902768,LUAD,1.384488,Telomerase Inhibitor IX,0.654709,1.233162,1.012080
268,Temozolomide,LUAD.PC14,7.309202,LUAD,6.866748,Temozolomide,6.264369,1.303074,0.801822
269,Trametinib,LUAD.PC14,0.830870,LUAD,-0.296010,Trametinib,0.217486,2.257873,0.271665
270,Ulixertinib,LUAD.PC14,3.097648,LUAD,2.609317,Ulixertinib,2.547238,1.503594,0.366063
271,Uprosertib,LUAD.PC14,3.775377,LUAD,2.151562,Uprosertib,2.863995,1.707317,0.533809
272,VE-822,LUAD.PC14,3.559473,LUAD,1.234501,VE-822,3.131455,1.791876,0.238866
273,Veliparib,LUAD.PC14,5.673150,LUAD,7.083729,Veliparib,5.263978,0.912873,0.448224
274,Venetoclax,LUAD.PC14,3.105272,LUAD,2.101849,Venetoclax,2.374326,2.075205,0.352228
275,Vismodegib,LUAD.PC14,5.484967,LUAD,5.228461,Vismodegib,4.949888,0.982005,0.544884
276,Vorinostat,LUAD.PC14,2.259030,LUAD,1.429570,Vorinostat,1.487515,1.090544,0.707459
277,WEHI-539,LUAD.PC14,4.074130,LUAD,4.853437,WEHI-539,3.678485,1.717039,0.230423
278,WIKI4,LUAD.PC14,4.012195,LUAD,3.392275,WIKI4,3.734385,0.961632,0.288894
279,WZ4003,LUAD.PC14,4.586646,LUAD,3.786859,WZ4003,4.157618,1.375173,0.311981
280,Wnt-C59,LUAD.PC14,4.422963,LUAD,4.343303,Wnt-C59,4.338048,1.095405,0.077519
281,XAV939,LUAD.PC14,4.792455,LUAD,4.803742,XAV939,4.288410,0.991368,0.508434
282,YK-4-279,LUAD.PC14,2.862487,LUAD,1.433698,YK-4-279,2.247231,1.651518,0.372540
283,ZM447439,LUAD.PC14,3.060148,LUAD,1.838791,ZM447439,2.576872,1.706010,0.283279
284,5-Fluorouracil,LUSC.RERFLCSQ1,4.857307,LUSC,3.526070,5-Fluorouracil,4.392229,1.719760,0.270432
285,ABT737,LUSC.RERFLCSQ1,2.684094,LUSC,2.578252,ABT737,1.875342,2.053694,0.393804
286,AGI-5198,LUSC.RERFLCSQ1,4.826415,LUSC,5.229365,AGI-5198,4.704103,0.907583,0.134767
287,AGI-6780,LUSC.RERFLCSQ1,4.462158,LUSC,4.054786,AGI-6780,4.344912,1.086023,0.107959
288,AGK2,LUSC.RERFLCSQ1,3.176969,LUSC,3.154074,AGK2,3.264510,0.926755,-0.094460
289,AZ960,LUSC.RERFLCSQ1,1.054470,LUSC,3.777140,AZ960,1.895669,1.724101,-0.487906
290,AZD3759,LUSC.RERFLCSQ1,2.638169,LUSC,0.682549,AZD3759,2.512182,1.084536,0.116167
291,AZD4547,LUSC.RERFLCSQ1,2.874094,LUSC,2.543670,AZD4547,3.088286,1.600252,-0.133849
292,AZD5363,LUSC.RERFLCSQ1,1.700078,LUSC,1.051042,AZD5363,2.847820,1.441898,-0.795994
293,AZD5582,LUSC.RERFLCSQ1,1.680095,LUSC,4.830349,AZD5582,2.157595,2.342092,-0.203878
294,AZD6738,LUSC.RERFLCSQ1,1.950278,LUSC,1.387042,AZD6738,2.057259,1.461663,-0.073191
295,AZD7762,LUSC.RERFLCSQ1,-0.407907,LUSC,0.099105,AZD7762,0.164435,1.542725,-0.370994
296,AZD8186,LUSC.RERFLCSQ1,2.265860,LUSC,3.674451,AZD8186,3.134757,1.404232,-0.618770
297,Afatinib,LUSC.RERFLCSQ1,1.475280,LUSC,-0.950875,Afatinib,1.594663,1.481016,-0.080609
298,Afuresertib,LUSC.RERFLCSQ1,1.170905,LUSC,0.247026,Afuresertib,2.402550,1.471751,-0.836857
299,Alpelisib,LUSC.RERFLCSQ1,2.304440,LUSC,1.567497,Alpelisib,3.451086,1.407226,-0.814827
300,Avagacestat,LUSC.RERFLCSQ1,4.816413,LUSC,5.147388,Avagacestat,4.759122,1.072116,0.053437
301,Axitinib,LUSC.RERFLCSQ1,2.658857,LUSC,3.429410,Axitinib,2.903591,1.677112,-0.145926
302,BMS-345541,LUSC.RERFLCSQ1,2.569526,LUSC,3.699625,BMS-345541,3.277956,1.320431,-0.536514
303,BMS-536924,LUSC.RERFLCSQ1,1.334821,LUSC,2.683944,BMS-536924,2.108959,1.381132,-0.560510
304,BMS-754807,LUSC.RERFLCSQ1,1.596600,LUSC,1.748843,BMS-754807,2.163231,1.997750,-0.283635
305,Bortezomib,LUSC.RERFLCSQ1,-5.545597,LUSC,-4.565559,Bortezomib,-4.739097,1.068388,-0.754876
306,Bosutinib,LUSC.RERFLCSQ1,2.316781,LUSC,1.716678,Bosutinib,2.618644,1.532012,-0.197037
307,Buparlisib,LUSC.RERFLCSQ1,0.614574,LUSC,0.858709,Buparlisib,1.132283,0.942456,-0.549319
308,CCT007093,LUSC.RERFLCSQ1,4.857994,LUSC,5.255356,CCT007093,5.191327,0.862412,-0.386512
309,CZC24832,LUSC.RERFLCSQ1,4.860259,LUSC,5.515069,CZC24832,5.137594,0.949818,-0.291988
310,Camptothecin,LUSC.RERFLCSQ1,-1.185596,LUSC,-0.994550,Camptothecin,-2.257481,1.838996,0.582864
311,Cediranib,LUSC.RERFLCSQ1,1.573967,LUSC,1.821701,Cediranib,2.271131,1.192376,-0.584685
312,Crizotinib,LUSC.RERFLCSQ1,2.213271,LUSC,2.517135,Crizotinib,2.560661,1.510603,-0.229968
313,Cyclophosphamide,LUSC.RERFLCSQ1,5.115000,LUSC,5.878808,Cyclophosphamide,5.259220,0.888712,-0.162280
314,Dactinomycin,LUSC.RERFLCSQ1,-3.819932,LUSC,-3.283235,Dactinomycin,-3.772788,1.882940,-0.025037
315,Dactolisib,LUSC.RERFLCSQ1,-2.873784,LUSC,-2.353061,Dactolisib,-1.510724,1.429786,-0.953331
316,Dasatinib,LUSC.RERFLCSQ1,-1.987609,LUSC,1.628523,Dasatinib,1.287237,2.324073,-1.409098
317,Dinaciclib,LUSC.RERFLCSQ1,-3.368574,LUSC,-2.038384,Dinaciclib,-2.654463,1.473357,-0.484683
318,Docetaxel,LUSC.RERFLCSQ1,-4.851407,LUSC,-4.798918,Docetaxel,-3.417161,2.548602,-0.562758
319,Doramapimod,LUSC.RERFLCSQ1,4.912442,LUSC,5.877983,Doramapimod,4.939070,1.188278,-0.022409
320,EHT-1864,LUSC.RERFLCSQ1,3.808006,LUSC,5.914628,EHT-1864,3.678237,0.983429,0.131956
321,EPZ004777,LUSC.RERFLCSQ1,5.211786,LUSC,5.875940,EPZ004777,5.153416,0.977035,0.059742
322,EPZ5676,LUSC.RERFLCSQ1,5.333741,LUSC,6.246232,EPZ5676,5.542946,1.028703,-0.203368
323,Entinostat,LUSC.RERFLCSQ1,2.382380,LUSC,2.649934,Entinostat,2.030317,1.637052,0.215059
324,Entospletinib,LUSC.RERFLCSQ1,3.152581,LUSC,3.983810,Entospletinib,3.672838,1.222475,-0.425577
325,Epirubicin,LUSC.RERFLCSQ1,-0.626035,LUSC,-0.180511,Epirubicin,-0.852455,1.690941,0.133902
326,Erlotinib,LUSC.RERFLCSQ1,3.283041,LUSC,0.556387,Erlotinib,2.979885,1.448855,0.209238
327,Fulvestrant,LUSC.RERFLCSQ1,3.542340,LUSC,4.204414,Fulvestrant,3.730929,1.263247,-0.149289
328,GDC0810,LUSC.RERFLCSQ1,4.967330,LUSC,5.932816,GDC0810,5.087362,0.945530,-0.126947
329,GSK1904529A,LUSC.RERFLCSQ1,4.095244,LUSC,5.122826,GSK1904529A,4.348623,1.104047,-0.229500
330,GSK2578215A,LUSC.RERFLCSQ1,4.805118,LUSC,5.866378,GSK2578215A,4.933854,0.966128,-0.133249
331,GSK2606414,LUSC.RERFLCSQ1,3.622817,LUSC,3.233232,GSK2606414,3.785602,1.215971,-0.133872
332,GSK343,LUSC.RERFLCSQ1,3.393343,LUSC,3.820276,GSK343,3.602119,1.367117,-0.152713
333,GW441756,LUSC.RERFLCSQ1,3.134912,LUSC,4.012145,GW441756,3.441226,0.928540,-0.329888
334,Gefitinib,LUSC.RERFLCSQ1,3.715508,LUSC,0.354595,Gefitinib,3.147493,1.212598,0.468428
335,Gemcitabine,LUSC.RERFLCSQ1,1.220028,LUSC,-1.270373,Gemcitabine,-0.766782,3.010521,0.659956
336,I-BET-762,LUSC.RERFLCSQ1,2.760225,LUSC,5.696926,I-BET-762,3.178213,1.581827,-0.264244
337,I-BRD9,LUSC.RERFLCSQ1,4.304925,LUSC,4.125684,I-BRD9,4.358221,1.274025,-0.041833
338,IWP-2,LUSC.RERFLCSQ1,2.784642,LUSC,3.578852,IWP-2,2.870543,0.896950,-0.095770
339,Ibrutinib,LUSC.RERFLCSQ1,4.400517,LUSC,2.761284,Ibrutinib,4.055961,1.812726,0.190076
340,Ipatasertib,LUSC.RERFLCSQ1,2.989543,LUSC,1.191172,Ipatasertib,3.403906,1.455375,-0.284712
341,Irinotecan,LUSC.RERFLCSQ1,3.216620,LUSC,3.420275,Irinotecan,2.490490,1.934295,0.375398
342,JNK Inhibitor VIII,LUSC.RERFLCSQ1,4.921141,LUSC,5.587307,JNK Inhibitor VIII,5.096918,0.961142,-0.182883
343,JQ1,LUSC.RERFLCSQ1,1.539105,LUSC,1.472571,JQ1,2.025591,1.952515,-0.249159
344,KRAS (G12C) Inhibitor-12,LUSC.RERFLCSQ1,4.629019,LUSC,4.632554,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.117300
345,KU-55933,LUSC.RERFLCSQ1,4.702145,LUSC,5.791557,KU-55933,5.041030,1.126742,-0.300765
346,LCL161,LUSC.RERFLCSQ1,4.697269,LUSC,3.748518,LCL161,4.766877,1.238491,-0.056204
347,LGK974,LUSC.RERFLCSQ1,4.511789,LUSC,5.081440,LGK974,4.238238,1.107629,0.246970
348,LY2109761,LUSC.RERFLCSQ1,4.716929,LUSC,5.837341,LY2109761,5.006740,1.042965,-0.277872
349,Lapatinib,LUSC.RERFLCSQ1,2.698871,LUSC,0.922540,Lapatinib,3.219614,1.583425,-0.328871
350,Leflunomide,LUSC.RERFLCSQ1,5.019767,LUSC,5.847153,Leflunomide,5.037278,0.913415,-0.019171
351,Lenalidomide,LUSC.RERFLCSQ1,5.236298,LUSC,5.882990,Lenalidomide,5.236581,1.071350,-0.000264
352,Lestaurtinib,LUSC.RERFLCSQ1,0.035945,LUSC,1.233787,Lestaurtinib,-0.014942,1.617099,0.031468
353,Linsitinib,LUSC.RERFLCSQ1,4.186407,LUSC,4.712139,Linsitinib,3.964537,1.322202,0.167803
354,Luminespib,LUSC.RERFLCSQ1,-2.969835,LUSC,0.734075,Luminespib,-2.123910,1.817546,-0.465422
355,MG-132,LUSC.RERFLCSQ1,-1.665197,LUSC,-1.250346,MG-132,-1.284300,0.722510,-0.527186
356,MIRA-1,LUSC.RERFLCSQ1,5.343939,LUSC,5.970787,MIRA-1,5.237632,1.234442,0.086117
357,MK-1775,LUSC.RERFLCSQ1,-0.032260,LUSC,-0.023904,MK-1775,0.636509,1.419839,-0.471017
358,MK-2206,LUSC.RERFLCSQ1,2.246070,LUSC,1.444058,MK-2206,2.725214,1.487720,-0.322066
359,ML323,LUSC.RERFLCSQ1,4.570127,LUSC,5.675728,ML323,4.536112,1.055599,0.032223
360,MN-64,LUSC.RERFLCSQ1,4.235564,LUSC,4.936967,MN-64,4.673443,1.036058,-0.422639
361,Mirin,LUSC.RERFLCSQ1,4.716145,LUSC,4.907940,Mirin,4.782781,1.183568,-0.056301
362,Motesanib,LUSC.RERFLCSQ1,5.398672,LUSC,5.254758,Motesanib,5.481288,1.133491,-0.072886
363,NU7441,LUSC.RERFLCSQ1,2.206861,LUSC,1.932448,NU7441,3.132711,1.343787,-0.688986
364,NVP-ADW742,LUSC.RERFLCSQ1,2.028041,LUSC,2.063317,NVP-ADW742,2.882258,1.472598,-0.580075
365,Navitoclax,LUSC.RERFLCSQ1,2.528009,LUSC,3.025047,Navitoclax,1.776309,2.029373,0.370410
366,Nilotinib,LUSC.RERFLCSQ1,3.090999,LUSC,4.537594,Nilotinib,3.364192,1.706385,-0.160100
367,Niraparib,LUSC.RERFLCSQ1,4.610546,LUSC,4.881429,Niraparib,4.113814,1.516015,0.327656
368,Nutlin-3a (-),LUSC.RERFLCSQ1,4.807661,LUSC,4.731550,Nutlin-3a (-),4.421065,1.791250,0.215825
369,OF-1,LUSC.RERFLCSQ1,4.566142,LUSC,4.297170,OF-1,4.121389,1.170053,0.380114
370,OSI-027,LUSC.RERFLCSQ1,2.068642,LUSC,3.742476,OSI-027,2.584887,1.493868,-0.345576
371,OTX015,LUSC.RERFLCSQ1,1.806108,LUSC,3.386668,OTX015,2.300635,1.867904,-0.264750
372,Olaparib,LUSC.RERFLCSQ1,4.606164,LUSC,4.994994,Olaparib,4.229661,1.301754,0.289227
373,Osimertinib,LUSC.RERFLCSQ1,1.884604,LUSC,-0.187819,Osimertinib,1.653115,1.279752,0.180886
374,Oxaliplatin,LUSC.RERFLCSQ1,4.722940,LUSC,4.712497,Oxaliplatin,4.289635,1.783409,0.242964
375,P22077,LUSC.RERFLCSQ1,4.638803,LUSC,5.907444,P22077,4.407320,1.512212,0.153076
376,PCI-34051,LUSC.RERFLCSQ1,4.439216,LUSC,5.312894,PCI-34051,4.396021,1.286151,0.033585
377,PD173074,LUSC.RERFLCSQ1,3.192805,LUSC,2.478187,PD173074,3.763295,1.405445,-0.405914
378,PFI-1,LUSC.RERFLCSQ1,4.128468,LUSC,4.695250,PFI-1,4.054494,1.126123,0.065689
379,PFI3,LUSC.RERFLCSQ1,5.208830,LUSC,5.095948,PFI3,5.397184,0.841197,-0.223912
380,PLX-4720,LUSC.RERFLCSQ1,4.227364,LUSC,5.086996,PLX-4720,4.213301,1.475022,0.009534
381,PRIMA-1MET,LUSC.RERFLCSQ1,3.665770,LUSC,6.074301,PRIMA-1MET,4.419290,1.802017,-0.418154
382,PRT062607,LUSC.RERFLCSQ1,2.445241,LUSC,4.564106,PRT062607,3.172207,1.396623,-0.520517
383,Paclitaxel,LUSC.RERFLCSQ1,-3.680733,LUSC,-3.293134,Paclitaxel,-2.855697,2.016710,-0.409100
384,Palbociclib,LUSC.RERFLCSQ1,3.660671,LUSC,2.131303,Palbociclib,3.471142,1.587659,0.119376
385,Pevonedistat,LUSC.RERFLCSQ1,0.935154,LUSC,-0.682818,Pevonedistat,0.871473,2.147707,0.029651
386,Picolinici-acid,LUSC.RERFLCSQ1,5.135909,LUSC,4.781771,Picolinici-acid,5.268822,0.806529,-0.164796
387,Pictilisib,LUSC.RERFLCSQ1,0.217470,LUSC,0.416347,Pictilisib,1.220241,1.263352,-0.793738
388,RO-3306,LUSC.RERFLCSQ1,3.131492,LUSC,2.871785,RO-3306,3.507804,1.618155,-0.232556
389,RVX-208,LUSC.RERFLCSQ1,4.675989,LUSC,5.676096,RVX-208,4.738824,1.076382,-0.058376
390,Refametinib,LUSC.RERFLCSQ1,2.549062,LUSC,1.411019,Refametinib,2.272295,1.917609,0.144329
391,Ribociclib,LUSC.RERFLCSQ1,3.435569,LUSC,2.816077,Ribociclib,3.658547,1.223182,-0.182293
392,Rucaparib,LUSC.RERFLCSQ1,4.176669,LUSC,5.242131,Rucaparib,3.987035,1.062433,0.178490
393,Ruxolitinib,LUSC.RERFLCSQ1,4.712678,LUSC,5.344052,Ruxolitinib,4.797735,1.162398,-0.073174
394,SB216763,LUSC.RERFLCSQ1,4.919888,LUSC,5.734580,SB216763,5.180650,1.038908,-0.250996
395,SB590885,LUSC.RERFLCSQ1,4.454077,LUSC,5.243960,SB590885,4.342276,1.355433,0.082484
396,SGC0946,LUSC.RERFLCSQ1,2.217988,LUSC,2.645602,SGC0946,2.104319,0.798566,0.142341
397,SN-38,LUSC.RERFLCSQ1,-1.349728,LUSC,3.526117,SN-38,-2.169489,3.597159,0.227891
398,Sabutoclax,LUSC.RERFLCSQ1,-0.127294,LUSC,0.753574,Sabutoclax,-0.348779,1.269565,0.174457
399,Savolitinib,LUSC.RERFLCSQ1,2.375322,LUSC,3.069280,Savolitinib,2.740489,1.190454,-0.306746
400,Selumetinib,LUSC.RERFLCSQ1,4.311419,LUSC,3.005874,Selumetinib,3.574889,1.855068,0.397037
401,Sepantronium bromide,LUSC.RERFLCSQ1,-4.131554,LUSC,-1.605330,Sepantronium bromide,-4.169654,1.627967,0.023403
402,Serdemetan,LUSC.RERFLCSQ1,3.658311,LUSC,3.167339,Serdemetan,3.750761,1.276441,-0.072428
403,Sorafenib,LUSC.RERFLCSQ1,2.856143,LUSC,2.651752,Sorafenib,2.545221,1.215386,0.255822
404,Staurosporine,LUSC.RERFLCSQ1,-4.404488,LUSC,-2.081987,Staurosporine,-2.794054,1.384635,-1.163075
405,Talazoparib,LUSC.RERFLCSQ1,3.701550,LUSC,3.295370,Talazoparib,2.767285,2.214847,0.421819
406,Tamoxifen,LUSC.RERFLCSQ1,3.340740,LUSC,3.832875,Tamoxifen,3.976104,1.224334,-0.518947
407,Tanespimycin,LUSC.RERFLCSQ1,-1.201544,LUSC,-1.807295,Tanespimycin,-0.081091,1.587668,-0.705722
408,Taselisib,LUSC.RERFLCSQ1,1.078303,LUSC,-1.254731,Taselisib,1.767096,1.694162,-0.406569
409,Telomerase Inhibitor IX,LUSC.RERFLCSQ1,0.983066,LUSC,2.289439,Telomerase Inhibitor IX,0.654709,1.233162,0.266272
410,Temozolomide,LUSC.RERFLCSQ1,6.435134,LUSC,6.555498,Temozolomide,6.264369,1.303074,0.131048
411,Trametinib,LUSC.RERFLCSQ1,0.761420,LUSC,-2.382050,Trametinib,0.217486,2.257873,0.240905
412,Ulixertinib,LUSC.RERFLCSQ1,2.716741,LUSC,1.469542,Ulixertinib,2.547238,1.503594,0.112732
413,Uprosertib,LUSC.RERFLCSQ1,1.760392,LUSC,0.306266,Uprosertib,2.863995,1.707317,-0.646396
414,VE-822,LUSC.RERFLCSQ1,3.258137,LUSC,1.968383,VE-822,3.131455,1.791876,0.070698
415,Veliparib,LUSC.RERFLCSQ1,5.026252,LUSC,5.843134,Veliparib,5.263978,0.912873,-0.260415
416,Venetoclax,LUSC.RERFLCSQ1,2.794315,LUSC,4.278530,Venetoclax,2.374326,2.075205,0.202384
417,Vismodegib,LUSC.RERFLCSQ1,4.848387,LUSC,5.673349,Vismodegib,4.949888,0.982005,-0.103361
418,Vorinostat,LUSC.RERFLCSQ1,1.636021,LUSC,2.167727,Vorinostat,1.487515,1.090544,0.136176
419,WEHI-539,LUSC.RERFLCSQ1,4.056453,LUSC,6.007125,WEHI-539,3.678485,1.717039,0.220128
420,WIKI4,LUSC.RERFLCSQ1,3.564968,LUSC,4.432891,WIKI4,3.734385,0.961632,-0.176177
421,WZ4003,LUSC.RERFLCSQ1,3.901976,LUSC,3.178065,WZ4003,4.157618,1.375173,-0.185898
422,Wnt-C59,LUSC.RERFLCSQ1,4.131206,LUSC,4.864511,Wnt-C59,4.338048,1.095405,-0.188827
423,XAV939,LUSC.RERFLCSQ1,4.395066,LUSC,5.287106,XAV939,4.288410,0.991368,0.107585
424,YK-4-279,LUSC.RERFLCSQ1,1.817331,LUSC,3.224404,YK-4-279,2.247231,1.651518,-0.260306
425,ZM447439,LUSC.RERFLCSQ1,2.273260,LUSC,2.553715,ZM447439,2.576872,1.706010,-0.177966
426,5-Fluorouracil,LUAD.NCIH2228,4.467947,LUAD,4.904895,5-Fluorouracil,4.392229,1.719760,0.044028
427,ABT737,LUAD.NCIH2228,2.997342,LUAD,4.416044,ABT737,1.875342,2.053694,0.546333
428,AGI-5198,LUAD.NCIH2228,4.933392,LUAD,5.462832,AGI-5198,4.704103,0.907583,0.252637
429,AGI-6780,LUAD.NCIH2228,4.826574,LUAD,4.892088,AGI-6780,4.344912,1.086023,0.443510
430,AGK2,LUAD.NCIH2228,3.495374,LUAD,3.043743,AGK2,3.264510,0.926755,0.249110
431,AZ960,LUAD.NCIH2228,2.415889,LUAD,0.947764,AZ960,1.895669,1.724101,0.301734
432,AZD3759,LUAD.NCIH2228,2.249098,LUAD,4.105970,AZD3759,2.512182,1.084536,-0.242577
433,AZD4547,LUAD.NCIH2228,3.979157,LUAD,4.635637,AZD4547,3.088286,1.600252,0.556707
434,AZD5363,LUAD.NCIH2228,3.056600,LUAD,3.564246,AZD5363,2.847820,1.441898,0.144795
435,AZD5582,LUAD.NCIH2228,3.195711,LUAD,3.292899,AZD5582,2.157595,2.342092,0.443243
436,AZD6738,LUAD.NCIH2228,2.295603,LUAD,3.493801,AZD6738,2.057259,1.461663,0.163064
437,AZD7762,LUAD.NCIH2228,0.459294,LUAD,0.326371,AZD7762,0.164435,1.542725,0.191129
438,AZD8186,LUAD.NCIH2228,2.872191,LUAD,3.067852,AZD8186,3.134757,1.404232,-0.186982
439,Afatinib,LUAD.NCIH2228,0.878386,LUAD,2.361375,Afatinib,1.594663,1.481016,-0.483639
440,Afuresertib,LUAD.NCIH2228,2.468674,LUAD,2.300677,Afuresertib,2.402550,1.471751,0.044929
441,Alpelisib,LUAD.NCIH2228,3.380883,LUAD,2.672479,Alpelisib,3.451086,1.407226,-0.049888
442,Avagacestat,LUAD.NCIH2228,5.277632,LUAD,5.196229,Avagacestat,4.759122,1.072116,0.483632
443,Axitinib,LUAD.NCIH2228,4.044765,LUAD,3.908777,Axitinib,2.903591,1.677112,0.680440
444,BMS-345541,LUAD.NCIH2228,3.588760,LUAD,3.281385,BMS-345541,3.277956,1.320431,0.235381
445,BMS-536924,LUAD.NCIH2228,2.043284,LUAD,0.126029,BMS-536924,2.108959,1.381132,-0.047552
446,BMS-754807,LUAD.NCIH2228,2.309340,LUAD,0.775757,BMS-754807,2.163231,1.997750,0.073137
447,Bortezomib,LUAD.NCIH2228,-4.534986,LUAD,-4.087580,Bortezomib,-4.739097,1.068388,0.191046
448,Bosutinib,LUAD.NCIH2228,3.229998,LUAD,3.344930,Bosutinib,2.618644,1.532012,0.399053
449,Buparlisib,LUAD.NCIH2228,1.023616,LUAD,1.230570,Buparlisib,1.132283,0.942456,-0.115302
450,CCT007093,LUAD.NCIH2228,5.498996,LUAD,5.465178,CCT007093,5.191327,0.862412,0.356754
451,CZC24832,LUAD.NCIH2228,5.429813,LUAD,6.807508,CZC24832,5.137594,0.949818,0.307658
452,Camptothecin,LUAD.NCIH2228,-2.354717,LUAD,-2.711762,Camptothecin,-2.257481,1.838996,-0.052875
453,Cediranib,LUAD.NCIH2228,2.407251,LUAD,3.688734,Cediranib,2.271131,1.192376,0.114159
454,Crizotinib,LUAD.NCIH2228,3.437839,LUAD,1.171639,Crizotinib,2.560661,1.510603,0.580681
455,Cyclophosphamide,LUAD.NCIH2228,5.895885,LUAD,6.757413,Cyclophosphamide,5.259220,0.888712,0.716391
456,Dactinomycin,LUAD.NCIH2228,-3.400547,LUAD,-2.354451,Dactinomycin,-3.772788,1.882940,0.197691
457,Dactolisib,LUAD.NCIH2228,-1.785635,LUAD,-1.792299,Dactolisib,-1.510724,1.429786,-0.192274
458,Dasatinib,LUAD.NCIH2228,1.052834,LUAD,1.621318,Dasatinib,1.287237,2.324073,-0.100859
459,Dinaciclib,LUAD.NCIH2228,-2.454620,LUAD,-1.086308,Dinaciclib,-2.654463,1.473357,0.135638
460,Docetaxel,LUAD.NCIH2228,-3.116068,LUAD,-2.456433,Docetaxel,-3.417161,2.548602,0.118140
461,Doramapimod,LUAD.NCIH2228,6.241465,LUAD,5.044137,Doramapimod,4.939070,1.188278,1.096036
462,EHT-1864,LUAD.NCIH2228,4.329855,LUAD,4.915289,EHT-1864,3.678237,0.983429,0.662598
463,EPZ004777,LUAD.NCIH2228,6.090219,LUAD,6.539126,EPZ004777,5.153416,0.977035,0.958822
464,EPZ5676,LUAD.NCIH2228,6.250471,LUAD,5.639817,EPZ5676,5.542946,1.028703,0.687784
465,Entinostat,LUAD.NCIH2228,2.856794,LUAD,2.615521,Entinostat,2.030317,1.637052,0.504857
466,Entospletinib,LUAD.NCIH2228,3.724612,LUAD,3.981642,Entospletinib,3.672838,1.222475,0.042352
467,Epirubicin,LUAD.NCIH2228,-0.295046,LUAD,0.051804,Epirubicin,-0.852455,1.690941,0.329644
468,Erlotinib,LUAD.NCIH2228,3.343516,LUAD,3.922373,Erlotinib,2.979885,1.448855,0.250978
469,Fulvestrant,LUAD.NCIH2228,4.382209,LUAD,5.237126,Fulvestrant,3.730929,1.263247,0.515560
470,GDC0810,LUAD.NCIH2228,5.605080,LUAD,6.455080,GDC0810,5.087362,0.945530,0.547543
471,GSK1904529A,LUAD.NCIH2228,5.052296,LUAD,4.833312,GSK1904529A,4.348623,1.104047,0.637358
472,GSK2578215A,LUAD.NCIH2228,5.516467,LUAD,5.367241,GSK2578215A,4.933854,0.966128,0.603039
473,GSK2606414,LUAD.NCIH2228,4.069577,LUAD,3.808508,GSK2606414,3.785602,1.215971,0.233538
474,GSK343,LUAD.NCIH2228,3.962639,LUAD,5.586038,GSK343,3.602119,1.367117,0.263708
475,GW441756,LUAD.NCIH2228,3.584925,LUAD,3.250814,GW441756,3.441226,0.928540,0.154758
476,Gefitinib,LUAD.NCIH2228,3.486215,LUAD,4.025381,Gefitinib,3.147493,1.212598,0.279336
477,Gemcitabine,LUAD.NCIH2228,-1.084672,LUAD,-1.374019,Gemcitabine,-0.766782,3.010521,-0.105593
478,I-BET-762,LUAD.NCIH2228,3.693230,LUAD,4.417057,I-BET-762,3.178213,1.581827,0.325584
479,I-BRD9,LUAD.NCIH2228,4.813206,LUAD,5.847830,I-BRD9,4.358221,1.274025,0.357124
480,IWP-2,LUAD.NCIH2228,3.290418,LUAD,2.450147,IWP-2,2.870543,0.896950,0.468114
