,drug,cell_line,OncotreeCode,IC50,prediction
2132,Pyridostatin,DEL,ALCLALKP,2.060464024,1.76271
2133,SN-38,DEL,ALCLALKP,-6.42216758,-6.667427
2134,Staurosporine,DEL,ALCLALKP,-4.402977325,-3.978856
2135,UNC0638,DEL,ALCLALKP,0.867148739,1.918456
2136,Veliparib,DEL,ALCLALKP,4.361030185,3.488974
2137,alpha-lipoic acid,DEL,ALCLALKP,6.559636267,6.723608
2138,5-Fluorouracil,DETROIT562,OPHSC,3.629013124,3.396602
2139,5-azacytidine,DETROIT562,OPHSC,1.916041282,2.616921
2140,AZD8186,DETROIT562,OPHSC,2.250571958,2.440223
2141,BIBR-1532,DETROIT562,OPHSC,5.249392184,4.444652
2142,Dactolisib,DETROIT562,OPHSC,-2.908679941,-2.548403
2143,Epirubicin,DETROIT562,OPHSC,-0.817203209,-1.139976
2144,IWP-2,DETROIT562,OPHSC,2.37271612,2.439013
2145,KRAS (G12C) Inhibitor-12,DETROIT562,OPHSC,3.43454563,3.468256
2146,KU-55933,DETROIT562,OPHSC,4.351077354,4.575068
2147,Motesanib,DETROIT562,OPHSC,5.360771554,4.750008
2148,Nutlin-3a (-),DETROIT562,OPHSC,5.092770403,4.503902
2149,PRT062607,DETROIT562,OPHSC,2.138700037,2.594913
2150,RO-3306,DETROIT562,OPHSC,1.266541434,2.004048
2151,Refametinib,DETROIT562,OPHSC,1.06146241,1.247163
2152,Rucaparib,DETROIT562,OPHSC,3.178538015,3.720833
2153,SCH772984,DETROIT562,OPHSC,1.21858726,1.767087
2154,Sabutoclax,DETROIT562,OPHSC,0.040386529,-0.684035
2155,Talazoparib,DETROIT562,OPHSC,3.060850525,3.339249
2156,UMI-77,DETROIT562,OPHSC,2.376881165,2.453536
2157,AZ960,DKMG,GB,1.180029416,1.95395
2158,AZD2014,DKMG,GB,2.349521309,2.020047
2159,Afatinib,DKMG,GB,1.814272789,2.45153
2160,Crizotinib,DKMG,GB,1.770250032,2.612566
2161,Dihydrorotenone,DKMG,GB,3.747244899,2.096143
2162,Entinostat,DKMG,GB,1.895496846,2.788729
2163,Erlotinib,DKMG,GB,3.03272762,3.378152
2164,Gallibiscoquinazole,DKMG,GB,3.572313246,3.396238
2165,MIRA-1,DKMG,GB,6.44184441,6.329866
2166,MK-1775,DKMG,GB,2.723784497,2.137851
2167,Niraparib,DKMG,GB,5.997148838,5.218249
2168,PFI-1,DKMG,GB,3.964853599,4.063526
2169,RO-3306,DKMG,GB,5.400964361,5.51779
2170,Savolitinib,DKMG,GB,0.561407972,2.502717
2171,Ulixertinib,DKMG,GB,2.557751633,2.704325
2172,Uprosertib,DKMG,GB,2.554952131,2.955678
2173,Vismodegib,DKMG,GB,6.330922853,5.718822
2174,Wee1 Inhibitor,DKMG,GB,4.025845894,3.635046
2175,YK-4-279,DKMG,GB,3.423648157,4.283275
2176,AZD5363,DMS114,SCLC,3.023290222,2.921308
2177,BMS-345541,DMS114,SCLC,3.347803711,4.122814
2178,Bortezomib,DMS114,SCLC,-4.721333798,-4.58407
2179,Cytarabine,DMS114,SCLC,2.964847142,2.470666
2180,Dactolisib,DMS114,SCLC,-1.509437943,-1.534249
2181,EPZ5676,DMS114,SCLC,5.966753464,5.481918
2182,Epirubicin,DMS114,SCLC,-0.861415784,-0.636641
2183,GSK2578215A,DMS114,SCLC,4.334756296,4.484345
2184,Gefitinib,DMS114,SCLC,3.770468681,3.489355
2185,ICL-SIRT078,DMS114,SCLC,3.44693097,5.003027
2186,Irinotecan,DMS114,SCLC,4.089601694,2.904461
2187,Mitoxantrone,DMS114,SCLC,3.339716172,1.949596
2188,Obatoclax Mesylate,DMS114,SCLC,-0.134387669,0.177214
2189,Osimertinib,DMS114,SCLC,1.806354099,1.98773
2190,Pevonedistat,DMS114,SCLC,-0.192709444,1.356492
2191,RO-3306,DMS114,SCLC,5.788622136,3.694989
2192,Tanespimycin,DMS114,SCLC,2.00750425,0.923912
2193,UMI-77,DMS114,SCLC,1.279018413,2.191425
2194,Vinblastine,DMS114,SCLC,-4.256052678,-4.084787
2195,5-Fluorouracil,DMS273,SCLC,4.725809777,3.373333
2196,AZD5991,DMS273,SCLC,-0.442005199,-0.363754
2197,AZD7762,DMS273,SCLC,0.133392708,0.091498
2198,BI-2536,DMS273,SCLC,-2.892345258,-2.647155
2199,Bleomycin,DMS273,SCLC,2.287298208,2.761594
2200,Bleomycin (50 uM),DMS273,SCLC,3.240877669,2.689248
2201,Cisplatin,DMS273,SCLC,1.701682591,2.173841
2202,Cytarabine,DMS273,SCLC,0.889472844,0.378723
2203,EPZ004777,DMS273,SCLC,4.61269845,4.489985
2204,GSK-LSD1,DMS273,SCLC,2.754029415,2.41872
2205,IWP-2,DMS273,SCLC,3.128828912,2.498181
2206,Motesanib,DMS273,SCLC,4.420468422,4.964065
2207,Mycophenolic acid,DMS273,SCLC,0.776231182,0.726917
2208,PRIMA-1MET,DMS273,SCLC,3.636243928,2.461614
2209,Podophyllotoxin bromide,DMS273,SCLC,-1.768148036,-1.60665
2210,Savolitinib,DMS273,SCLC,1.206932069,1.999975
2211,Schweinfurthin A,DMS273,SCLC,-0.407841462,-1.018895
2212,Temsirolimus,DMS273,SCLC,0.884329888,1.064775
2213,UNC0638,DMS273,SCLC,3.427442841,3.799369
2214,AGI-6780,DMS53,SCLC,3.208271651,4.188076
2215,AZD8186,DMS53,SCLC,5.062268317,4.61026
2216,Acetalax,DMS53,SCLC,6.832091504,4.95367
2217,Afatinib,DMS53,SCLC,2.598832317,2.926258
2218,CPI-637,DMS53,SCLC,5.78057967,4.908648
2219,Cisplatin,DMS53,SCLC,3.342053805,3.101187
2220,Dacarbazine,DMS53,SCLC,5.579505532,5.560671
2221,Dinaciclib,DMS53,SCLC,-1.814257132,-0.081237
2222,GDC0810,DMS53,SCLC,5.425589994,4.703009
2223,GSK1904529A,DMS53,SCLC,3.965638527,4.800041
2224,GSK2110183B,DMS53,SCLC,4.654422137,4.07964
2225,GSK2801,DMS53,SCLC,5.298584667,5.04067
2226,JNK Inhibitor VIII,DMS53,SCLC,5.414794377,4.994411
2227,KU-55933,DMS53,SCLC,5.767639976,5.629339
2228,MIRA-1,DMS53,SCLC,6.032797771,5.632883
2229,Mycophenolic acid,DMS53,SCLC,1.440646858,2.349728
2230,PD0325901,DMS53,SCLC,2.522813011,2.779405
2231,WEHI-539,DMS53,SCLC,4.524439265,3.751755
2232,XAV939,DMS53,SCLC,4.684558558,4.4853
2233,AMG-319,DMS79,SCLC,1.711656369,5.210437
2234,AZD3759,DMS79,SCLC,3.052643955,2.73626
2235,Afatinib,DMS79,SCLC,3.096126418,2.491081
2236,GSK-LSD1,DMS79,SCLC,2.865343842,2.33979
2237,GSK269962A,DMS79,SCLC,3.108853469,2.907337
2238,Lestaurtinib,DMS79,SCLC,0.356751067,0.727673
2239,MIRA-1,DMS79,SCLC,5.35657549,5.147413
2240,MK-2206,DMS79,SCLC,2.158459251,2.945247
2241,MK-8776,DMS79,SCLC,3.896022805,3.249885
2242,Navitoclax,DMS79,SCLC,-1.289498311,-1.389196
2243,Niraparib,DMS79,SCLC,1.382972676,2.26892
2244,Osimertinib,DMS79,SCLC,3.028322324,2.127649
2245,PCI-34051,DMS79,SCLC,4.762150681,4.500813
2246,PD173074,DMS79,SCLC,5.259270985,4.694227
2247,PRT062607,DMS79,SCLC,3.177251379,2.857464
2248,Picolinici-acid,DMS79,SCLC,5.248856626,5.365059
2249,SGC0946,DMS79,SCLC,2.293370469,2.123601
2250,SN-38,DMS79,SCLC,-4.96026698,-5.714113
2251,Zoledronate,DMS79,SCLC,3.680345016,3.67032
2252,A-366,DND41,TLL,3.715922754,3.908556
2253,AT13148,DND41,TLL,4.056027594,3.248369
2254,AZD5363,DND41,TLL,3.624325221,2.881553
2255,AZD8055,DND41,TLL,0.723683085,0.632542
2256,BI-2536,DND41,TLL,-3.7015772,-3.084755
2257,Bleomycin (50 uM),DND41,TLL,0.603637287,1.236882
2258,Bortezomib,DND41,TLL,-5.789439648,-5.316903
2259,Dactinomycin,DND41,TLL,-4.712410231,-4.472054
2260,Epirubicin,DND41,TLL,-2.037758368,-2.049479
2261,Erlotinib,DND41,TLL,2.496892651,1.875463
2262,GSK1904529A,DND41,TLL,3.309891019,3.104851
2263,GSK591,DND41,TLL,4.287945357,3.939243
2264,ICL-SIRT078,DND41,TLL,2.721450946,2.863596
2265,N-acetyl cysteine,DND41,TLL,9.689179225,9.263742
2266,NVP-ADW742,DND41,TLL,1.859503351,1.936825
2267,Refametinib,DND41,TLL,2.851810126,2.86335
2268,Schweinfurthin A,DND41,TLL,-3.289697814,-1.41453
2269,Sinularin,DND41,TLL,2.986482199,2.727286
2270,VX-11e,DND41,TLL,2.40825263,2.671318
2271,AZD2014,DOHH2,DLBCLNOS,-0.03236482,0.857286
2272,AZD5582,DOHH2,DLBCLNOS,1.195574637,-1.422036
2273,AZD5991,DOHH2,DLBCLNOS,-3.008036833,-3.079731
2274,Camptothecin,DOHH2,DLBCLNOS,-5.62642324,-5.012431
2275,Cediranib,DOHH2,DLBCLNOS,1.83092509,1.403254
2276,Dihydrorotenone,DOHH2,DLBCLNOS,-1.181230457,0.611846
2277,EPZ004777,DOHH2,DLBCLNOS,3.443858578,3.365366
2278,GSK-LSD1,DOHH2,DLBCLNOS,0.736181418,1.369214
2279,LMP744,DOHH2,DLBCLNOS,-4.470217979,-4.198642
2280,Methotrexate,DOHH2,DLBCLNOS,1.044026631,1.386721
2281,Nelarabine,DOHH2,DLBCLNOS,3.744499809,4.348825
2282,Olaparib,DOHH2,DLBCLNOS,0.248688186,1.739979
2283,PD173074,DOHH2,DLBCLNOS,2.811557364,2.703083
2284,PLX-4720,DOHH2,DLBCLNOS,2.359802881,2.632643
2285,RVX-208,DOHH2,DLBCLNOS,3.026179066,2.878054
2286,Rapamycin,DOHH2,DLBCLNOS,-7.109471032,-6.158384
2287,Ribociclib,DOHH2,DLBCLNOS,1.270289573,0.927973
2288,Tanespimycin,DOHH2,DLBCLNOS,-0.406636615,-0.347262
2289,Wnt-C59,DOHH2,DLBCLNOS,2.160933357,2.625175
2290,AMG-319,DOTC24510,MCCE,5.218313608,5.173433
2291,AZD1332,DOTC24510,MCCE,3.968023723,2.279479
2292,AZD3759,DOTC24510,MCCE,1.978353972,1.780559
2293,Acetalax,DOTC24510,MCCE,0.553755547,1.866129
2294,Alpelisib,DOTC24510,MCCE,4.110528984,3.286407
2295,BMS-536924,DOTC24510,MCCE,3.45666821,2.35525
2296,Bromosporine,DOTC24510,MCCE,0.797669992,1.388679
2297,Cediranib,DOTC24510,MCCE,1.975689548,2.617217
2298,Dabrafenib,DOTC24510,MCCE,5.619250237,4.929511
2299,Gallibiscoquinazole,DOTC24510,MCCE,2.484886891,2.937329
2300,I-BRD9,DOTC24510,MCCE,5.038976717,4.410772
2301,LJI308,DOTC24510,MCCE,5.475616937,5.108011
2302,MN-64,DOTC24510,MCCE,2.824712007,4.544262
2303,Methotrexate,DOTC24510,MCCE,-0.222612018,2.240894
2304,Oxaliplatin,DOTC24510,MCCE,5.649864444,4.544529
2305,Picolinici-acid,DOTC24510,MCCE,3.927053548,5.233538
2306,SGC-CBP30,DOTC24510,MCCE,4.834803873,3.923629
2307,Staurosporine,DOTC24510,MCCE,-2.356632474,-2.526621
2308,Vorinostat,DOTC24510,MCCE,2.63814148,1.883021
2309,AGI-6780,DU4475,BRCA,2.162925858,3.140572
2310,AZD5153,DU4475,BRCA,0.814002284,-0.012672
2311,AZD6738,DU4475,BRCA,0.639321919,0.511242
2312,AZD7762,DU4475,BRCA,-0.894692989,-1.509979
2313,Buparlisib,DU4475,BRCA,0.570110105,0.757375
2314,Dasatinib,DU4475,BRCA,1.195437573,1.89823
2315,Dihydrorotenone,DU4475,BRCA,2.124208129,0.990918
2316,EPZ004777,DU4475,BRCA,4.097969752,4.042913
2317,GSK591,DU4475,BRCA,3.533817226,3.524096
2318,I-BET-762,DU4475,BRCA,2.955434979,1.796385
2319,ICL-SIRT078,DU4475,BRCA,1.184399888,2.153099
2320,L-Oxonoreleagnine,DU4475,BRCA,3.22181225,3.242549
2321,Motesanib,DU4475,BRCA,4.404975436,4.702367
2322,Nutlin-3a (-),DU4475,BRCA,0.706924454,1.254753
2323,PFI3,DU4475,BRCA,4.426793222,4.530563
2324,Rucaparib,DU4475,BRCA,1.425232406,2.349011
2325,SB216763,DU4475,BRCA,4.384235089,4.182096
2326,Teniposide,DU4475,BRCA,-3.316262513,-2.263563
2327,Vinblastine,DU4475,BRCA,-3.728666538,-5.09208
2328,WIKI4,DU4475,BRCA,2.625793165,3.14429
2329,AZD5991,EBC1,LUSC,5.638528857,5.100975
2330,AZD8186,EBC1,LUSC,1.980459065,2.790648
2331,Acetalax,EBC1,LUSC,6.749718018,5.404769
2332,Axitinib,EBC1,LUSC,3.862429687,2.904509
2333,BMS-754807,EBC1,LUSC,0.787424277,0.556034
2334,Bleomycin,EBC1,LUSC,4.419778865,4.313267
2335,Bromosporine,EBC1,LUSC,1.676376558,2.078185
2336,EPZ5676,EBC1,LUSC,5.855557159,5.653157
2337,GSK2606414,EBC1,LUSC,3.804394376,3.820947
2338,GSK343,EBC1,LUSC,2.793783002,3.145407
2339,GSK591,EBC1,LUSC,5.167728551,4.495905
2340,Nilotinib,EBC1,LUSC,4.682589604,3.800299
2341,Obatoclax Mesylate,EBC1,LUSC,0.399262091,0.232511
2342,Paclitaxel,EBC1,LUSC,-3.19194874,-1.47538
2343,Refametinib,EBC1,LUSC,-1.054459849,-0.123213
2344,Remodelin,EBC1,LUSC,4.593386641,4.439548
2345,Staurosporine,EBC1,LUSC,-1.980764794,-2.9667
2346,UNC0379,EBC1,LUSC,4.323784346,3.786379
2347,WZ4003,EBC1,LUSC,2.944942187,3.735115
2348,AZD1208,ECC10,STSC,3.559659822,4.907756
2349,Axitinib,ECC10,STSC,1.649550876,1.195554
2350,Bosutinib,ECC10,STSC,3.239118679,2.627081
2351,CZC24832,ECC10,STSC,4.779334649,4.609794
2352,Doramapimod,ECC10,STSC,4.967063225,4.873367
2353,Entinostat,ECC10,STSC,-0.405266779,1.513573
2354,Ibrutinib,ECC10,STSC,5.044651084,3.868473
2355,JQ1,ECC10,STSC,2.469526896,0.946013
2356,LGK974,ECC10,STSC,4.534077998,3.254915
2357,Osimertinib,ECC10,STSC,1.208050794,1.563956
2358,PCI-34051,ECC10,STSC,3.667962076,3.489196
2359,POMHEX,ECC10,STSC,-0.321795106,0.275462
2360,Palbociclib,ECC10,STSC,3.505968986,3.539071
2361,RVX-208,ECC10,STSC,4.847243176,4.404684
2362,Serdemetan,ECC10,STSC,3.291998766,3.228216
2363,Topotecan,ECC10,STSC,-0.522818245,0.390716
2364,Vorinostat,ECC10,STSC,0.095823849,1.069526
2365,XAV939,ECC10,STSC,4.617859256,4.302376
2366,ZM447439,ECC10,STSC,0.132120032,0.970608
2367,AZD8186,ECC12,STSC,4.870217118,3.75498
2368,Afuresertib,ECC12,STSC,2.49886958,2.334413
2369,BMS-536924,ECC12,STSC,3.024326323,3.066121
2370,CCT-018159,ECC12,STSC,2.749192263,3.754865
2371,EPZ5676,ECC12,STSC,5.110627015,4.795721
2372,Erlotinib,ECC12,STSC,5.208220448,4.122099
2373,GNE-317,ECC12,STSC,2.427678385,1.850046
2374,GSK591,ECC12,STSC,3.838799749,4.212701
2375,Linsitinib,ECC12,STSC,3.16365951,3.898054
2376,NU7441,ECC12,STSC,3.786604543,3.498416
2377,SB216763,ECC12,STSC,5.170876019,5.27069
2378,SB590885,ECC12,STSC,4.524407661,4.4338
2379,SL0101,ECC12,STSC,3.872793951,4.938915
2380,Telomerase Inhibitor IX,ECC12,STSC,1.585631495,0.259841
2381,WEHI-539,ECC12,STSC,4.138078735,3.811452
2382,WIKI4,ECC12,STSC,3.835883584,3.897129
2383,Wee1 Inhibitor,ECC12,STSC,0.726403939,1.00029
2384,AMG-319,ECGI10,ESCC,5.263193577,4.995381
2385,AZD4547,ECGI10,ESCC,2.090634904,2.977884
2386,Alpelisib,ECGI10,ESCC,2.754141916,1.515953
2387,Bleomycin,ECGI10,ESCC,0.447114112,0.590491
2388,Bosutinib,ECGI10,ESCC,1.730769819,1.275881
2389,EPZ004777,ECGI10,ESCC,4.933284146,4.832444
2390,Elephantin,ECGI10,ESCC,3.557036821,4.138264
2391,Entinostat,ECGI10,ESCC,1.553177952,1.932343
2392,Entospletinib,ECGI10,ESCC,2.505735578,2.751514
2393,Erlotinib,ECGI10,ESCC,-0.294373391,0.170796
2394,Foretinib,ECGI10,ESCC,1.221817982,0.759999
2395,GW441756,ECGI10,ESCC,3.305854333,3.111708
2396,Ipatasertib,ECGI10,ESCC,2.022023464,2.593799
2397,Navitoclax,ECGI10,ESCC,4.330939857,2.230989
2398,Obatoclax Mesylate,ECGI10,ESCC,0.030678233,0.06159
2399,Olaparib,ECGI10,ESCC,4.019666241,4.269186
2400,Palbociclib,ECGI10,ESCC,4.671123776,3.250036
2401,Rapamycin,ECGI10,ESCC,-3.067214338,-2.829899
2402,Trametinib,ECGI10,ESCC,-0.625704847,-0.456761
2403,AZ6102,EFM19,IDC,2.622192323,2.545442
2404,AZD1332,EFM19,IDC,4.297896301,3.962068
2405,AZD7762,EFM19,IDC,1.492007119,1.514976
2406,AZD8186,EFM19,IDC,1.698745883,1.944811
2407,Alpelisib,EFM19,IDC,1.18966365,1.872649
2408,Bleomycin (50 uM),EFM19,IDC,5.740905878,3.655804
2409,Epirubicin,EFM19,IDC,0.057605066,-0.29917
2410,GSK2578215A,EFM19,IDC,4.57629194,4.817088
2411,GSK2801,EFM19,IDC,5.745591173,5.176972
2412,GSK343,EFM19,IDC,4.522537151,4.076299
2413,KU-55933,EFM19,IDC,4.888627755,5.343577
2414,LJI308,EFM19,IDC,6.03463212,5.383348
2415,Lapatinib,EFM19,IDC,4.10130951,3.368127
2416,Lestaurtinib,EFM19,IDC,0.223332565,1.713297
2417,Luminespib,EFM19,IDC,-0.89909515,-2.931731
2418,Niraparib,EFM19,IDC,5.348556835,5.033719
2419,PD0325901,EFM19,IDC,3.661423709,4.076388
2420,PFI3,EFM19,IDC,5.71869682,5.411573
2421,Temozolomide,EFM19,IDC,7.289399068,7.113088
2422,WIKI4,EFM19,IDC,5.011398683,3.830867
2423,A-366,EFM192A,BRCA,4.982932919,5.027267
2424,BIBR-1532,EFM192A,BRCA,4.742387533,5.172059
2425,Dihydrorotenone,EFM192A,BRCA,1.380985561,0.8339
2426,EHT-1864,EFM192A,BRCA,3.9519406,3.665357
2427,Elephantin,EFM192A,BRCA,3.558485693,4.101297
2428,Entospletinib,EFM192A,BRCA,5.917293765,4.266272
2429,GSK591,EFM192A,BRCA,5.44209628,4.876115
2430,Gefitinib,EFM192A,BRCA,3.943952729,3.225551
2431,I-BRD9,EFM192A,BRCA,5.400265602,4.807266
2432,JQ1,EFM192A,BRCA,3.546758734,2.786717
2433,KU-55933,EFM192A,BRCA,5.768096829,5.245277
2434,LGK974,EFM192A,BRCA,3.403553303,3.974696
2435,ML323,EFM192A,BRCA,4.530898142,4.583511
2436,Mycophenolic acid,EFM192A,BRCA,4.223472061,3.90943
2437,Nelarabine,EFM192A,BRCA,6.298321312,6.038341
2438,Niraparib,EFM192A,BRCA,5.356037502,4.993796
2439,Nutlin-3a (-),EFM192A,BRCA,5.611971346,5.649728
2440,SB216763,EFM192A,BRCA,6.251491092,5.726521
2441,UNC0638,EFM192A,BRCA,4.216399644,4.843358
2442,Vismodegib,EFM192A,BRCA,5.920515114,5.836574
2443,A-366,EFO21,SOC,5.880778424,6.578146
2444,AGK2,EFO21,SOC,3.461400379,5.07001
2445,AZD1332,EFO21,SOC,4.493120692,4.550451
2446,AZD3759,EFO21,SOC,3.121849898,3.419517
2447,AZD5153,EFO21,SOC,1.376307493,2.689041
2448,AZD5438,EFO21,SOC,5.418991593,5.082129
2449,BMS-345541,EFO21,SOC,6.02669576,5.91854
2450,Bosutinib,EFO21,SOC,4.382313141,4.110547
2451,Dasatinib,EFO21,SOC,1.692617539,0.384905
2452,Entinostat,EFO21,SOC,6.837281506,4.845693
2453,Entospletinib,EFO21,SOC,4.663608949,5.130316
2454,GSK-LSD1,EFO21,SOC,4.583541735,3.328432
2455,Irinotecan,EFO21,SOC,5.425637417,6.445862
2456,Luminespib,EFO21,SOC,0.898181546,1.69802
2457,MN-64,EFO21,SOC,5.883422991,6.879649
2458,Mycophenolic acid,EFO21,SOC,3.454430261,4.027701
2459,SB216763,EFO21,SOC,7.485730234,6.246125
2460,VE821,EFO21,SOC,7.086103535,7.232121
2461,Zoledronate,EFO21,SOC,6.25001581,5.597235
2462,AZ6102,EFO27,MOV,3.074471289,2.962043
2463,AZD1332,EFO27,MOV,2.148256688,4.921866
2464,AZD5582,EFO27,MOV,2.764198105,1.820569
2465,Bortezomib,EFO27,MOV,-2.590804868,-4.40059
2466,Foretinib,EFO27,MOV,2.12377027,2.284133
2467,GSK1904529A,EFO27,MOV,5.879180603,5.376166
2468,Gefitinib,EFO27,MOV,2.811676843,1.178159
2469,Gemcitabine,EFO27,MOV,2.551563784,1.496551
2470,LCL161,EFO27,MOV,5.705253156,5.138091
2471,LJI308,EFO27,MOV,5.850986193,5.68071
2472,LMP744,EFO27,MOV,0.086285946,0.620828
2473,Lestaurtinib,EFO27,MOV,2.914527739,2.255891
2474,MG-132,EFO27,MOV,-0.054891789,-1.11035
2475,MK-8776,EFO27,MOV,5.356845127,4.056993
2476,NU7441,EFO27,MOV,2.439937918,4.573865
2477,P22077,EFO27,MOV,5.973796444,6.432027
2478,PF-4708671,EFO27,MOV,4.482260071,4.559268
2479,Refametinib,EFO27,MOV,2.904413517,2.816107
2480,Schweinfurthin A,EFO27,MOV,1.740892521,4.216057
2481,5-azacytidine,EJM,PCM,2.735854064,2.496096
2482,AZD2014,EJM,PCM,1.702005417,2.451088
2483,AZD8055,EJM,PCM,-0.351156823,0.938447
2484,Alisertib,EJM,PCM,4.169106482,2.938723
2485,Bleomycin,EJM,PCM,3.073894009,3.949885
2486,Dacarbazine,EJM,PCM,5.542814449,4.785746
2487,Epirubicin,EJM,PCM,-0.416863021,-0.915076
2488,Gemcitabine,EJM,PCM,-3.145846517,-0.113845
2489,I-BET-762,EJM,PCM,2.831096417,3.510012
2490,I-BRD9,EJM,PCM,4.206939743,4.142094
2491,Lenalidomide,EJM,PCM,3.924168976,4.493691
2492,MK-1775,EJM,PCM,-1.178764395,0.025733
2493,NVP-ADW742,EJM,PCM,1.63775567,2.071147
2494,PD173074,EJM,PCM,4.212051839,3.830384
2495,POMHEX,EJM,PCM,1.095276234,1.012276
2496,Pictilisib,EJM,PCM,1.179614569,1.833678
2497,Ruxolitinib,EJM,PCM,3.900994755,4.812954
2498,SGC0946,EJM,PCM,1.660528736,1.702145
2499,Sinularin,EJM,PCM,3.715568891,3.419809
2500,AZD8186,EKVX,LUAD,2.956266105,2.923303
2501,Alisertib,EKVX,LUAD,4.336867101,3.502092
2502,CCT007093,EKVX,LUAD,6.993551307,6.068563
2503,CHIR-99021,EKVX,LUAD,7.168499772,7.124132
2504,Cediranib,EKVX,LUAD,3.11787652,3.278622
2505,Dihydrorotenone,EKVX,LUAD,-0.062082744,-0.632323
2506,EHT-1864,EKVX,LUAD,3.357760162,4.227375
2507,Epirubicin,EKVX,LUAD,0.874931464,1.860788
2508,Erlotinib,EKVX,LUAD,1.720419445,2.329803
2509,GSK2578215A,EKVX,LUAD,5.567203641,5.755845
2510,GSK343,EKVX,LUAD,4.892913188,4.81091
2511,Ipatasertib,EKVX,LUAD,5.221461131,4.673846
2512,LY2109761,EKVX,LUAD,6.42868811,5.840177
2513,Luminespib,EKVX,LUAD,0.133691738,-1.045921
2514,MG-132,EKVX,LUAD,-1.167538511,-0.314269
2515,NU7441,EKVX,LUAD,3.568632284,4.751224
2516,SB216763,EKVX,LUAD,6.104460134,6.372993
2517,Talazoparib,EKVX,LUAD,4.419596884,5.407044
2518,Ulixertinib,EKVX,LUAD,3.81252979,2.835947
2519,alpha-lipoic acid,EKVX,LUAD,9.612992981,9.205038
2520,AGI-5198,EM2,CMLBCRABL1,4.785038336,4.071114
2521,AZD7762,EM2,CMLBCRABL1,-1.068201107,-1.026661
2522,AZD8055,EM2,CMLBCRABL1,0.418488149,-0.263676
2523,Acetalax,EM2,CMLBCRABL1,5.390188444,5.338047
2524,Alpelisib,EM2,CMLBCRABL1,3.427657727,3.871958
2525,Buparlisib,EM2,CMLBCRABL1,1.226572154,0.760738
2526,Dactolisib,EM2,CMLBCRABL1,-0.402283525,-2.021888
2527,Foretinib,EM2,CMLBCRABL1,-1.529557872,-1.199277
2528,LY2109761,EM2,CMLBCRABL1,4.658368414,4.338014
2529,MG-132,EM2,CMLBCRABL1,-2.312495188,-1.460882
2530,ML323,EM2,CMLBCRABL1,4.050907247,3.780486
2531,Nelarabine,EM2,CMLBCRABL1,4.997512269,4.697686
2532,Nilotinib,EM2,CMLBCRABL1,-3.567750091,-5.55455
2533,Niraparib,EM2,CMLBCRABL1,2.345977528,3.689818
2534,OTX015,EM2,CMLBCRABL1,-0.46557129,-0.423482
2535,Picolinici-acid,EM2,CMLBCRABL1,4.517747274,4.205167
2536,Sorafenib,EM2,CMLBCRABL1,0.900276694,1.603924
2537,UNC0638,EM2,CMLBCRABL1,3.243385989,2.65481
2538,Vinorelbine,EM2,CMLBCRABL1,-3.969645517,-4.848412
2539,AMG-319,EN,UCEC,5.217378113,5.539737
2540,AZD5582,EN,UCEC,2.103626462,2.191792
2541,AZD6738,EN,UCEC,2.341769263,2.830384
2542,BIBR-1532,EN,UCEC,5.640789303,5.091896
2543,Bortezomib,EN,UCEC,-4.497694549,-4.941563
2544,Dabrafenib,EN,UCEC,6.232089623,5.55343
2545,GSK2110183B,EN,UCEC,1.21961086,2.093347
2546,OSI-027,EN,UCEC,1.964311664,2.755004
2547,Obatoclax Mesylate,EN,UCEC,1.436022921,1.283629
2548,P22077,EN,UCEC,5.366366759,4.707982
2549,Picolinici-acid,EN,UCEC,3.842473233,5.676928
2550,RO-3306,EN,UCEC,4.370102273,4.809455
2551,Rapamycin,EN,UCEC,-1.51134392,-0.867631
2552,Schweinfurthin A,EN,UCEC,2.205724511,3.153205
2553,Selumetinib,EN,UCEC,5.647308297,5.305758
2554,Sinularin,EN,UCEC,3.776162214,3.894706
2555,Temozolomide,EN,UCEC,6.946944544,6.95692
2556,UMI-77,EN,UCEC,5.761688573,2.469469
2557,Vincristine,EN,UCEC,1.613839522,1.465368
2558,AGI-6780,EPLC272H,LUSC,4.334320027,4.288379
2559,AZ960,EPLC272H,LUSC,1.110772147,1.826735
2560,Axitinib,EPLC272H,LUSC,3.033660437,3.130791
2561,CZC24832,EPLC272H,LUSC,4.678639711,4.912919
2562,GSK591,EPLC272H,LUSC,5.821429475,3.978161
2563,Gemcitabine,EPLC272H,LUSC,-0.71663662,0.975944
2564,I-BET-762,EPLC272H,LUSC,1.889966436,2.040699
2565,LCL161,EPLC272H,LUSC,2.771039989,3.587044
2566,ML323,EPLC272H,LUSC,4.404061578,4.614862
2567,NU7441,EPLC272H,LUSC,1.638979295,2.089041
2568,Obatoclax Mesylate,EPLC272H,LUSC,-0.075737564,-0.132838
2569,Osimertinib,EPLC272H,LUSC,0.748523825,0.101089
2570,Pyridostatin,EPLC272H,LUSC,2.462150208,2.99629
2571,Ribociclib,EPLC272H,LUSC,4.392669289,3.936251
2572,SN-38,EPLC272H,LUSC,2.355480352,-1.401968
2573,Temozolomide,EPLC272H,LUSC,6.900474283,6.577621
2574,Wee1 Inhibitor,EPLC272H,LUSC,1.148855898,1.510345
2575,Zoledronate,EPLC272H,LUSC,3.742003103,3.666821
