"",drug,cell_line,OncotreeCode,IC50,prediction,IC50_Z,prediction_Z
3895,Tozasertib,HS939T,MEL,2.267228,3.341893,0.162117,0.613193
3896,AZD6482,HS940T,NaN,4.257191,2.905180,0.625320,-0.352426
3897,BX795,HS940T,NaN,1.529276,1.859906,-0.912821,-0.652082
3898,Bortezomib,HS940T,NaN,-6.123332,-5.032952,-1.295629,-0.275045
3899,Daporinad,HS940T,NaN,2.317910,-2.039034,2.015331,0.462281
3900,Entinostat,HS940T,NaN,1.624276,2.119757,-0.248032,0.054635
3901,IOX2,HS940T,NaN,2.063452,2.889281,-0.322061,0.628564
3902,LY2109761,HS940T,NaN,4.368736,5.414113,-0.611722,0.390591
3903,Lapatinib,HS940T,NaN,4.257424,3.360087,0.655421,0.088715
3904,Lenalidomide,HS940T,NaN,6.014501,5.491587,0.726112,0.238023
3905,MK-2206,HS940T,NaN,5.203974,3.909320,1.666147,0.795920
3906,Pevonedistat,HS940T,NaN,1.203499,1.040266,0.154596,0.078592
3907,RO-3306,HS940T,NaN,3.370295,3.136576,-0.084979,-0.229414
3908,Rucaparib,HS940T,NaN,3.145403,4.303172,-0.792174,0.297559
3909,SB505124,HS940T,NaN,2.242139,4.813356,-0.932004,0.759053
3910,SCH772984,HS940T,NaN,3.077315,2.650425,0.316161,0.083544
3911,Taselisib,HS940T,NaN,2.443397,1.841180,0.399195,0.043729
3912,5-azacytidine,HSC2,OCSC,1.961469,2.486292,-0.738238,-0.360889
3913,AZD3759,HSC2,OCSC,1.435133,0.704191,-0.993096,-1.667064
3914,AZD5991,HSC2,OCSC,-0.032323,4.407897,-1.349365,0.233970
3915,Dactinomycin,HSC2,OCSC,-4.598021,-5.073611,-0.438268,-0.690847
3916,Dihydrorotenone,HSC2,OCSC,1.839679,0.011402,0.668339,-0.490430
3917,GSK2578215A,HSC2,OCSC,4.474409,4.558699,-0.475553,-0.388308
3918,LCL161,HSC2,OCSC,3.905546,4.499758,-0.695468,-0.215681
3919,Nutlin-3a (-),HSC2,OCSC,5.127038,4.813123,0.394123,0.218874
3920,OTX015,HSC2,OCSC,0.481380,0.903935,-0.973955,-0.747737
3921,POMHEX,HSC2,OCSC,0.163521,1.345411,-0.902767,0.021798
3922,SCH772984,HSC2,OCSC,3.156014,2.079153,0.359045,-0.227749
3923,Savolitinib,HSC2,OCSC,2.923993,2.496889,0.154146,-0.204628
3924,Schweinfurthin A,HSC2,OCSC,2.936093,-0.229184,0.785230,-0.567101
3925,Sorafenib,HSC2,OCSC,2.265815,2.564471,-0.229891,0.015839
3926,TW 37,HSC2,OCSC,1.238535,0.610852,-0.039769,-0.482642
3927,Taselisib,HSC2,OCSC,-2.333296,-0.783940,-2.420307,-1.505780
3928,Vinblastine,HSC2,OCSC,-5.246331,-5.243713,-0.804820,-0.803617
3929,WIKI4,HSC2,OCSC,4.795207,3.719882,1.103148,-0.015082
3930,YK-4-279,HSC2,OCSC,0.525507,0.969857,-1.042510,-0.773454
3931,AMG-319,HSC3,OCSC,4.770588,4.813595,-0.024022,0.012459
3932,Avagacestat,HSC3,OCSC,4.542900,4.198614,-0.201678,-0.522805
3933,Bromosporine,HSC3,OCSC,3.677051,2.423553,1.012191,0.013490
3934,Dasatinib,HSC3,OCSC,-0.757893,-1.585665,-0.879977,-1.236150
3935,I-BRD9,HSC3,OCSC,3.896832,4.025421,-0.362151,-0.261219
3936,Irinotecan,HSC3,OCSC,1.303746,1.426203,-0.613528,-0.550220
3937,JQ1,HSC3,OCSC,0.868988,1.847265,-0.592366,-0.091331
3938,MN-64,HSC3,OCSC,5.115851,4.533827,0.427011,-0.134757
3939,NVP-ADW742,HSC3,OCSC,1.783154,2.068528,-0.746371,-0.552581
3940,PCI-34051,HSC3,OCSC,5.218773,4.858809,0.639701,0.359824
3941,Paclitaxel,HSC3,OCSC,-4.808082,-5.214165,-0.968104,-1.169463
3942,Picolinici-acid,HSC3,OCSC,5.288505,5.093980,0.024404,-0.216783
3943,RO-3306,HSC3,OCSC,3.020129,2.539493,-0.301377,-0.598404
3944,Ruxolitinib,HSC3,OCSC,4.483844,4.476757,-0.270038,-0.276134
3945,Sinularin,HSC3,OCSC,2.649179,3.389472,-1.017379,-0.266128
3946,Ulixertinib,HSC3,OCSC,2.477990,2.172905,-0.046055,-0.248959
3947,Vincristine,HSC3,OCSC,-2.392623,-3.418808,-0.296268,-0.688025
3948,Vinorelbine,HSC3,OCSC,-4.602458,-3.692636,-0.759515,-0.328024
3949,WZ4003,HSC3,OCSC,2.921720,3.596141,-0.898722,-0.408296
3950,AZD4547,HSC4,OCSC,3.789659,2.149454,0.438289,-0.586678
3951,Alpelisib,HSC4,OCSC,5.018503,3.659726,1.113835,0.148263
3952,Bosutinib,HSC4,OCSC,0.657706,1.927671,-1.279975,-0.451023
3953,Dihydrorotenone,HSC4,OCSC,-4.524713,-1.528154,-3.365435,-1.466206
3954,Docetaxel,HSC4,OCSC,0.321441,-1.641776,1.466923,0.696611
3955,GSK1904529A,HSC4,OCSC,4.512497,4.543405,0.148431,0.176425
3956,GSK2801,HSC4,OCSC,5.122131,4.905124,0.150599,-0.092845
3957,Gemcitabine,HSC4,OCSC,-3.318106,-2.972571,-0.847469,-0.732693
3958,KU-55933,HSC4,OCSC,5.312457,5.058151,0.240895,0.015195
3959,MIRA-1,HSC4,OCSC,6.002860,5.912478,0.619898,0.546681
3960,MK-2206,HSC4,OCSC,3.789832,3.827625,0.715604,0.741007
3961,Nilotinib,HSC4,OCSC,4.008171,4.494471,0.377394,0.662382
3962,OTX015,HSC4,OCSC,5.137887,4.031523,1.518950,0.926647
3963,PRT062607,HSC4,OCSC,5.418374,5.089506,1.608284,1.372811
3964,Podophyllotoxin bromide,HSC4,OCSC,1.612469,1.391962,1.327770,1.185657
3965,Remodelin,HSC4,OCSC,2.766912,4.224225,-1.770542,-0.511869
3966,Telomerase Inhibitor IX,HSC4,OCSC,0.363631,0.571470,-0.236042,-0.067500
3967,Vincristine,HSC4,OCSC,3.340008,1.233541,1.892227,1.088060
3968,Zoledronate,HSC4,OCSC,4.030362,3.641438,0.169693,-0.251275
3969,AT13148,HT,DLBCLNOS,2.579785,2.217328,-0.594128,-0.818727
3970,BX795,HT,DLBCLNOS,3.236267,2.898070,0.433337,0.166629
3971,Bosutinib,HT,DLBCLNOS,3.659990,3.482533,0.679724,0.563892
3972,Cyclophosphamide,HT,DLBCLNOS,5.791386,4.925241,0.598806,-0.375801
3973,Dasatinib,HT,DLBCLNOS,-3.338605,-1.133513,-1.990403,-1.041598
3974,Dinaciclib,HT,DLBCLNOS,-3.997829,-3.583622,-0.911772,-0.630641
3975,GSK269962A,HT,DLBCLNOS,2.729624,2.491591,0.165744,0.002973
3976,Ipatasertib,HT,DLBCLNOS,2.310901,1.416318,-0.751013,-1.365688
3977,Lapatinib,HT,DLBCLNOS,2.402464,2.196159,-0.516065,-0.646355
3978,NU7441,HT,DLBCLNOS,2.012758,1.410705,-0.833430,-1.281458
3979,Osimertinib,HT,DLBCLNOS,-2.119553,0.717289,-2.947968,-0.731256
3980,PRIMA-1MET,HT,DLBCLNOS,3.004840,2.340403,-0.784926,-1.153644
3981,Paclitaxel,HT,DLBCLNOS,-6.109752,-4.843718,-1.613546,-0.985774
3982,SGC0946,HT,DLBCLNOS,2.436389,1.915848,0.415833,-0.236012
3983,Talazoparib,HT,DLBCLNOS,-0.180218,1.821722,-1.330793,-0.426920
3984,VE-822,HT,DLBCLNOS,0.415095,1.447148,-1.515931,-0.939969
3985,ABT737,HT1080,FIBS,2.704845,2.056108,0.403908,0.088020
3986,AZD3759,HT1080,FIBS,4.003006,3.064519,1.374619,0.509284
3987,Carmustine,HT1080,FIBS,6.814392,6.197068,0.632662,-0.000335
3988,Dasatinib,HT1080,FIBS,2.547337,2.828611,0.542195,0.663221
3989,GSK591,HT1080,FIBS,5.589491,4.910138,1.003180,0.442146
3990,KRAS (G12C) Inhibitor-12,HT1080,FIBS,5.749695,5.542276,0.847715,0.712527
3991,KU-55933,HT1080,FIBS,3.912981,5.514500,-1.001160,0.420212
3992,Leflunomide,HT1080,FIBS,5.422817,5.243874,0.422085,0.226180
3993,Lenalidomide,HT1080,FIBS,6.082372,5.509084,0.789463,0.254355
3994,Linsitinib,HT1080,FIBS,4.855945,4.824446,0.674184,0.650361
3995,MIM1,HT1080,FIBS,3.965113,3.552522,0.012133,-0.331417
3996,MIRA-1,HT1080,FIBS,5.949308,5.904774,0.576516,0.540440
3997,ML323,HT1080,FIBS,5.415695,4.173720,0.833255,-0.343305
3998,Nelarabine,HT1080,FIBS,6.536789,6.158186,0.482739,0.133353
3999,PCI-34051,HT1080,FIBS,5.264266,5.304798,0.675073,0.706587
4000,Talazoparib,HT1080,FIBS,3.452870,4.298415,0.309541,0.691303
4001,Tamoxifen,HT1080,FIBS,3.770786,3.811853,-0.167698,-0.134155
4002,VE-822,HT1080,FIBS,4.461688,4.083807,0.742369,0.531483
4003,Veliparib,HT1080,FIBS,6.097489,5.286283,0.913063,0.024434
4004,AZD5438,HT115,COAD,1.492670,2.250538,-0.578235,-0.079000
4005,Cediranib,HT115,COAD,1.227007,1.612838,-0.875667,-0.552085
4006,Dasatinib,HT115,COAD,2.272442,2.979707,0.423913,0.728234
4007,Dihydrorotenone,HT115,COAD,0.559741,-0.005744,-0.142890,-0.501297
4008,Gemcitabine,HT115,COAD,0.102268,0.611347,0.288671,0.457771
4009,I-BET-762,HT115,COAD,3.961787,2.919382,0.495360,-0.163628
4010,Luminespib,HT115,COAD,-1.699579,-1.669637,0.233464,0.249938
4011,MIRA-1,HT115,COAD,5.347853,5.285884,0.089288,0.039088
4012,Motesanib,HT115,COAD,5.000372,5.414618,-0.424279,-0.058818
4013,Olaparib,HT115,COAD,5.121552,4.570345,0.685145,0.261712
4014,PFI3,HT115,COAD,4.960773,5.268660,-0.518798,-0.152787
4015,Palbociclib,HT115,COAD,2.462319,3.445787,-0.635416,-0.015970
4016,Refametinib,HT115,COAD,1.045210,1.795968,-0.639904,-0.248396
4017,SGC0946,HT115,COAD,2.430547,2.433861,0.408517,0.412667
4018,Sepantronium bromide,HT115,COAD,0.115182,-1.256125,2.632016,1.789673
4019,Temozolomide,HT115,COAD,6.477078,6.425564,0.163236,0.123704
4020,WIKI4,HT115,COAD,5.426279,3.430396,1.759399,-0.316118
4021,Wnt-C59,HT115,COAD,3.785228,4.198747,-0.504672,-0.127168
4022,YK-4-279,HT115,COAD,1.612440,1.472188,-0.384368,-0.469291
4023,AZ960,HT1197,BLCA,3.184396,4.460398,0.747478,1.487575
4024,AZD4547,HT1197,BLCA,4.344459,3.113317,0.784985,0.015642
4025,Buparlisib,HT1197,BLCA,0.478925,1.095450,-0.693250,-0.039082
4026,CCT007093,HT1197,BLCA,5.801241,5.765555,0.707219,0.665840
4027,Carmustine,HT1197,BLCA,6.725653,6.425796,0.541670,0.234200
4028,EPZ004777,HT1197,BLCA,6.161845,5.326892,1.032132,0.177554
4029,Fludarabine,HT1197,BLCA,6.610317,6.212893,0.946561,0.741969
4030,Fulvestrant,HT1197,BLCA,4.726962,4.308065,0.788471,0.456867
4031,GSK1904529A,HT1197,BLCA,3.670452,4.663792,-0.614259,0.285467
4032,Leflunomide,HT1197,BLCA,5.924465,5.368966,0.971286,0.363130
4033,Luminespib,HT1197,BLCA,0.244603,-0.544387,1.303138,0.869042
4034,MIM1,HT1197,BLCA,4.356389,4.557395,0.337934,0.505304
4035,MK-1775,HT1197,BLCA,2.637988,2.145489,1.409652,1.062782
4036,OTX015,HT1197,BLCA,-0.044014,1.526567,-1.255230,-0.414405
4037,SB216763,HT1197,BLCA,4.950250,5.720189,-0.221771,0.519333
4038,Sabutoclax,HT1197,BLCA,-0.065747,0.007264,0.222936,0.280445
4039,Talazoparib,HT1197,BLCA,4.099974,4.378874,0.601707,0.727630
4040,Wee1 Inhibitor,HT1197,BLCA,3.145339,3.468647,0.747480,0.957710
4041,AMG-319,HT1376,BLCA,5.664631,5.146074,0.734353,0.294485
4042,AZD3759,HT1376,BLCA,2.017337,2.416249,-0.456273,-0.088455
4043,Buparlisib,HT1376,BLCA,3.692292,2.681705,2.716316,1.644026
4044,Cediranib,HT1376,BLCA,3.234245,3.684531,0.807727,1.185364
4045,Doramapimod,HT1376,BLCA,6.458641,5.383669,1.278801,0.374154
4046,Epirubicin,HT1376,BLCA,1.758333,0.968148,1.543986,1.076680
4047,LJI308,HT1376,BLCA,5.235282,5.641309,0.238571,0.615189
4048,Lestaurtinib,HT1376,BLCA,2.271572,1.675187,1.413960,1.045161
4049,Luminespib,HT1376,BLCA,-1.122162,1.125732,0.551154,1.787928
4050,MG-132,HT1376,BLCA,-0.394128,-0.986859,1.232054,0.411677
4051,Motesanib,HT1376,BLCA,6.525877,5.856817,0.921568,0.331303
4052,Obatoclax Mesylate,HT1376,BLCA,2.145057,1.776471,1.457645,1.128056
4053,Ruxolitinib,HT1376,BLCA,5.457075,5.351673,0.567224,0.476548
4054,Savolitinib,HT1376,BLCA,4.179228,2.808798,1.208563,0.057381
4055,WEHI-539,HT1376,BLCA,4.927652,4.616090,0.727512,0.546059
4056,ABT737,HT144,MEL,2.949303,2.652249,0.522941,0.378297
4057,AZD1208,HT144,MEL,4.843140,5.010634,-0.387483,-0.223141
4058,AZD5153,HT144,MEL,2.550336,1.363351,0.529596,-0.071399
4059,BMS-345541,HT144,MEL,1.588890,3.537337,-1.279178,0.196437
4060,BMS-754807,HT144,MEL,2.329318,3.565648,0.083137,0.701998
4061,Bortezomib,HT144,MEL,-5.302676,-5.158512,-0.527504,-0.392568
4062,Bromosporine,HT144,MEL,2.246419,2.178946,-0.127638,-0.181396
4063,CCT007093,HT144,MEL,4.043332,5.010088,-1.331144,-0.210154
4064,Crizotinib,HT144,MEL,1.868039,1.990577,-0.458507,-0.377388
4065,Docetaxel,HT144,MEL,-3.163831,-4.326147,0.099400,-0.356661
4066,EHT-1864,HT144,MEL,4.628383,4.274133,0.966156,0.605937
4067,LCL161,HT144,MEL,4.447136,5.048484,-0.258170,0.227379
4068,MK-2206,HT144,MEL,2.892958,2.677857,0.112752,-0.031832
4069,Mycophenolic acid,HT144,MEL,1.659950,1.589312,-0.088427,-0.134429
4070,Ribociclib,HT144,MEL,4.069435,3.617175,0.335917,-0.033823
4071,Romidepsin,HT144,MEL,-5.408115,-5.813728,-0.167152,-0.571249
4072,SB590885,HT144,MEL,0.790631,1.176118,-2.620303,-2.335902
4073,Vismodegib,HT144,MEL,5.494202,4.944541,0.554288,-0.005445
4074,Wnt-C59,HT144,MEL,2.601685,3.896420,-1.585133,-0.403164
4075,AGK2,HT29,COAD,3.628346,3.177864,0.392592,-0.093494
4076,Alpelisib,HT29,COAD,2.282329,2.053695,-0.830540,-0.993011
4077,CZC24832,HT29,COAD,6.787364,5.473005,1.736933,0.353132
4078,Dactolisib,HT29,COAD,-1.420369,-1.688325,0.063195,-0.124215
4079,Daporinad,HT29,COAD,-5.410787,-4.919704,-0.739594,-0.564545
4080,Dinaciclib,HT29,COAD,-3.313356,-2.985508,-0.447205,-0.224688
4081,Fulvestrant,HT29,COAD,3.713233,3.855804,-0.014009,0.098852
4082,GSK2830371,HT29,COAD,7.473063,6.013074,1.743401,0.502051
4083,IWP-2,HT29,COAD,3.265193,2.937627,0.439991,0.074791
4084,Lapatinib,HT29,COAD,2.204018,3.199092,-0.641392,-0.012961
4085,Lestaurtinib,HT29,COAD,-0.239512,-0.641933,-0.138872,-0.387726
4086,NU7441,HT29,COAD,1.673143,3.268338,-1.086160,0.100929
4087,OF-1,HT29,COAD,4.818226,4.931616,0.595561,0.692470
4088,Obatoclax Mesylate,HT29,COAD,-1.829079,0.095120,-2.096023,-0.375406
4089,PD0325901,HT29,COAD,-2.435552,-2.615621,-1.762120,-1.846054
4090,PFI-1,HT29,COAD,3.335507,3.147822,-0.638462,-0.805127
4091,PRIMA-1MET,HT29,COAD,5.530066,6.410563,0.616407,1.105025
4092,Podophyllotoxin bromide,HT29,COAD,-1.082801,-1.271737,-0.409288,-0.531054
4093,RVX-208,HT29,COAD,4.938647,4.412308,0.185643,-0.303346
4094,SN-38,HT29,COAD,-2.787608,-3.408100,-0.171835,-0.344330
4095,UNC0638,HT29,COAD,2.054185,3.417536,-1.459283,-0.503542
4096,AZD3759,HT3,CEAD,1.974491,2.459700,-0.495780,-0.048391
4097,AZD5582,HT3,CEAD,2.517121,2.425440,0.153506,0.114361
4098,CZC24832,HT3,CEAD,5.337516,5.194798,0.210485,0.060226
4099,Doramapimod,HT3,CEAD,4.144377,5.082115,-0.668777,0.120380
4100,GNE-317,HT3,CEAD,2.100569,2.550192,1.089594,1.434909
4101,GSK-LSD1,HT3,CEAD,1.157181,2.553424,-1.690457,-0.105649
4102,GSK343,HT3,CEAD,4.151912,3.677977,0.402155,0.055488
4103,JQ1,HT3,CEAD,2.178691,3.088702,0.078412,0.544483
4104,MIM1,HT3,CEAD,2.484258,3.953664,-1.220922,0.002600
4105,MK-2206,HT3,CEAD,5.285110,4.071682,1.720684,0.905055
4106,ML323,HT3,CEAD,3.835765,3.781282,-0.663459,-0.715073
4107,Niraparib,HT3,CEAD,4.423336,4.812725,0.204168,0.461019
4108,Podophyllotoxin bromide,HT3,CEAD,3.225170,2.299333,2.367130,1.770443
4109,Schweinfurthin A,HT3,CEAD,3.054603,3.256563,0.835863,0.922148
4110,Tamoxifen,HT3,CEAD,3.729629,4.045158,-0.201313,0.056401
4111,Topotecan,HT3,CEAD,-1.324592,-1.466066,-0.745867,-0.818695
4112,Veliparib,HT3,CEAD,5.497701,5.245914,0.256031,-0.019788
4113,XAV939,HT3,CEAD,3.470597,4.514782,-0.824933,0.228343
4114,YK-4-279,HT3,CEAD,2.250526,4.328819,0.001995,1.260409
4115,Alpelisib,HT55,COAD,2.187598,2.314135,-0.897857,-0.807938
4116,BMS-536924,HT55,COAD,0.401878,0.315576,-1.236001,-1.298488
4117,CCT007093,HT55,COAD,5.569772,4.962598,0.438822,-0.265220
4118,Cediranib,HT55,COAD,1.841046,1.345595,-0.360696,-0.776212
4119,Elephantin,HT55,COAD,2.275818,3.063304,-0.903409,-0.361490
4120,GSK2606414,HT55,COAD,2.487223,3.476048,-1.067771,-0.254574
4121,Leflunomide,HT55,COAD,5.126083,5.318302,0.097223,0.307663
4122,MN-64,HT55,COAD,5.422440,5.453178,0.722930,0.752598
4123,Methotrexate,HT55,COAD,0.520566,1.238067,0.067573,0.355546
4124,Podophyllotoxin bromide,HT55,COAD,-0.604702,-0.067832,-0.101161,0.244843
4125,SB216763,HT55,COAD,4.600365,4.954037,-0.558553,-0.218126
4126,Sinularin,HT55,COAD,3.225729,3.486464,-0.432295,-0.167701
4127,Telomerase Inhibitor IX,HT55,COAD,1.152839,1.126068,0.403945,0.382236
4128,Temozolomide,HT55,COAD,7.768955,7.288285,1.154643,0.785770
4129,VE821,HT55,COAD,4.187496,3.464116,0.156969,-0.299781
4130,Vincristine,HT55,COAD,-2.675605,-2.023936,-0.404299,-0.155518
4131,Vinorelbine,HT55,COAD,-4.360517,-3.533741,-0.644773,-0.252666
4132,WZ4003,HT55,COAD,2.910485,3.266153,-0.906891,-0.648257
4133,Wnt-C59,HT55,COAD,3.655023,4.185124,-0.623536,-0.139605
4134,AT13148,HTCC3,THAP,5.035810,4.784338,0.927763,0.771937
4135,AZD4547,HTCC3,THAP,2.378670,4.020012,-0.443440,0.582237
4136,Bosutinib,HTCC3,THAP,2.394274,3.352808,-0.146455,0.479216
4137,Buparlisib,HTCC3,THAP,0.967132,1.080858,-0.175235,-0.054565
4138,Dasatinib,HTCC3,THAP,-0.728718,0.642315,-0.867423,-0.277496
4139,Dinaciclib,HTCC3,THAP,-3.449617,-2.081362,-0.539689,0.388976
4140,GSK2110183B,HTCC3,THAP,4.649329,4.384795,0.865931,0.696071
4141,GSK2830371,HTCC3,THAP,5.881688,5.729355,0.390340,0.260820
4142,Gemcitabine,HTCC3,THAP,0.822365,2.641662,0.527864,1.132177
4143,JQ1,HTCC3,THAP,0.090570,0.575065,-0.991040,-0.742901
4144,MK-2206,HTCC3,THAP,3.946535,3.681015,0.820935,0.642460
4145,MK-8776,HTCC3,THAP,3.085891,3.802169,0.024053,0.456468
4146,PLX-4720,HTCC3,THAP,1.425585,4.584215,-1.889949,0.251463
4147,Paclitaxel,HTCC3,THAP,-3.366446,-3.114723,-0.253258,-0.128440
4148,Podophyllotoxin bromide,HTCC3,THAP,-1.514200,-1.033281,-0.687318,-0.377373
4149,Refametinib,HTCC3,THAP,0.294034,0.250583,-1.031629,-1.054288
4150,Sinularin,HTCC3,THAP,3.607201,3.636487,-0.045177,-0.015457
4151,Vinorelbine,HTCC3,THAP,-4.269567,-2.605182,-0.601639,0.187712
4152,alpha-lipoic acid,HTCC3,THAP,8.453354,8.009115,0.819839,0.362127
4153,AGI-6780,HUCCT1,IHCH,5.078410,4.997690,0.675398,0.601072
4154,Avagacestat,HUCCT1,IHCH,5.394461,4.957181,0.592603,0.184737
4155,CCT007093,HUCCT1,IHCH,5.709390,5.627648,0.600714,0.505931
4156,Dacarbazine,HUCCT1,IHCH,6.045596,6.234468,0.471137,0.670971
4157,Entospletinib,HUCCT1,IHCH,4.328761,4.250932,0.536553,0.472888
4158,Fulvestrant,HUCCT1,IHCH,4.713913,4.049453,0.778141,0.252147
4159,GSK1904529A,HUCCT1,IHCH,5.144428,4.810943,0.720808,0.418750
4160,JQ1,HUCCT1,IHCH,6.112780,4.602702,2.093295,1.319893
4161,Lapatinib,HUCCT1,IHCH,3.025701,3.186585,-0.122464,-0.020859
4162,MK-1775,HUCCT1,IHCH,-0.652384,0.385379,-0.907774,-0.176872
4163,Mycophenolic acid,HUCCT1,IHCH,3.157092,3.116700,0.886577,0.860272
4164,Nilotinib,HUCCT1,IHCH,2.460393,3.451703,-0.529657,0.051284
4165,Olaparib,HUCCT1,IHCH,4.742653,5.092899,0.394077,0.663135
4166,POMHEX,HUCCT1,IHCH,2.304819,3.420517,0.772320,1.645105
4167,Refametinib,HUCCT1,IHCH,-0.741744,0.387494,-1.571769,-0.982891
4168,SB590885,HUCCT1,IHCH,5.666343,4.913573,0.976859,0.421487
4169,SN-38,HUCCT1,IHCH,3.705220,-1.675938,1.633153,0.137206
4170,Sinularin,HUCCT1,IHCH,5.143939,4.113112,1.514306,0.468222
4171,UNC0379,HUCCT1,IHCH,3.769009,3.760360,0.185242,0.179276
4172,AGK2,HUH1,HCC,3.184108,3.392394,-0.086757,0.137991
4173,Alpelisib,HUH1,HCC,3.472693,3.198962,0.015355,-0.179164
4174,BMS-536924,HUH1,HCC,1.335502,1.272607,-0.560017,-0.605555
4175,Cediranib,HUH1,HCC,3.416329,2.579801,0.960434,0.258870
4176,Crizotinib,HUH1,HCC,2.523445,2.080165,-0.024636,-0.318082
4177,Dactolisib,HUH1,HCC,0.695008,-1.293077,1.542700,0.152223
4178,EPZ5676,HUH1,HCC,5.932336,6.035406,0.378525,0.478719
4179,MN-64,HUH1,HCC,4.226775,4.406873,-0.431122,-0.257293
4180,Nelarabine,HUH1,HCC,6.824714,6.234885,0.748444,0.204133
4181,Nilotinib,HUH1,HCC,4.318839,4.397005,0.559456,0.605264
4182,OSI-027,HUH1,HCC,4.268180,1.784255,1.126802,-0.535946
4183,PFI3,HUH1,HCC,5.479296,5.815875,0.097613,0.497732
4184,Pyridostatin,HUH1,HCC,5.442132,3.479883,1.439864,-0.069933
4185,Rapamycin,HUH1,HCC,-1.290787,-1.506301,0.360098,0.232083
4186,Temozolomide,HUH1,HCC,7.893332,7.024877,1.250092,0.583626
4187,Temsirolimus,HUH1,HCC,2.011563,1.281033,0.573742,0.142740
4188,UNC0638,HUH1,HCC,4.565010,4.623414,0.300865,0.341807
4189,Uprosertib,HUH1,HCC,3.200469,3.354496,0.197078,0.287293
4190,Vincristine,HUH1,HCC,-0.653623,-0.438853,0.367614,0.449605
4191,AZ6102,HUH7,HCC,2.289661,3.555920,-0.336705,0.785016
4192,AZD5363,HUH7,HCC,4.522861,3.706095,1.161692,0.595240
4193,Afuresertib,HUH7,HCC,3.535858,3.381745,0.770041,0.665327
4194,Axitinib,HUH7,HCC,2.323626,2.271997,-0.345811,-0.376596
4195,BMS-536924,HUH7,HCC,2.447819,2.556133,0.245349,0.323774
4196,BMS-754807,HUH7,HCC,4.304888,2.658017,1.072035,0.247672
4197,Dacarbazine,HUH7,HCC,5.247528,5.892612,-0.373249,0.309274
4198,GDC0810,HUH7,HCC,6.155073,5.033099,1.129220,-0.057389
4199,ICL-SIRT078,HUH7,HCC,4.697940,5.282118,0.291329,0.712492
4200,MN-64,HUH7,HCC,5.508617,5.194868,0.806107,0.503278
4201,Nilotinib,HUH7,HCC,4.995491,4.720350,0.955997,0.794755
4202,Niraparib,HUH7,HCC,5.774167,5.215836,1.095209,0.726920
4203,OSI-027,HUH7,HCC,2.991880,2.387759,0.272442,-0.131958
4204,POMHEX,HUH7,HCC,4.112147,1.442730,2.186151,0.097929
4205,Pictilisib,HUH7,HCC,2.162043,2.480412,0.745479,0.997482
4206,Serdemetan,HUH7,HCC,4.329112,4.248123,0.453097,0.389647
4207,Taselisib,HUH7,HCC,2.810040,3.169728,0.615611,0.827921
4208,Vincristine,HUH7,HCC,3.429341,1.854880,1.926331,1.325263
4209,Vorinostat,HUH7,HCC,2.479657,2.954522,0.909768,1.345207
4210,AGI-5198,HUO9,OS,4.469808,4.269914,-0.258152,-0.478401
4211,AZD5438,HUO9,OS,0.636388,0.981047,-1.142298,-0.915259
4212,AZD5582,HUO9,OS,1.065086,1.585828,-0.466467,-0.244127
4213,AZD7762,HUO9,OS,-0.856232,-1.140308,-0.661600,-0.845739
4214,Cyclophosphamide,HUO9,OS,4.457789,4.731318,-0.901790,-0.594008
4215,Dacarbazine,HUO9,OS,5.190372,4.872971,-0.433723,-0.769545
4216,GSK2110183B,HUO9,OS,2.336020,1.964984,-0.619477,-0.857725
4217,Gemcitabine,HUO9,OS,-4.543517,-0.923316,-1.254512,-0.051996
4218,Ipatasertib,HUO9,OS,1.666560,2.152336,-1.193745,-0.859964
4219,Leflunomide,HUO9,OS,5.265247,4.508761,0.249579,-0.578617
4220,Lenalidomide,HUO9,OS,5.139397,4.364186,-0.090712,-0.814295
4221,MK-2206,HUO9,OS,0.780023,1.424507,-1.307498,-0.874296
4222,N-acetyl cysteine,HUO9,OS,9.416186,10.032722,-0.662988,0.043349
4223,Olaparib,HUO9,OS,3.263544,3.144417,-0.742165,-0.833678
4224,Osimertinib,HUO9,OS,1.412243,1.670396,-0.188218,0.013503
4225,RVX-208,HUO9,OS,4.013178,4.144794,-0.674153,-0.551877
4226,Temozolomide,HUO9,OS,6.565160,6.005226,0.230832,-0.198871
4227,Temsirolimus,HUO9,OS,0.271356,-0.463048,-0.452954,-0.886241
4228,UNC0638,HUO9,OS,3.318724,3.595475,-0.572811,-0.378802
4229,ABT737,HUPT3,PAAD,3.741789,4.483916,0.908824,1.270186
4230,AZD5582,HUPT3,PAAD,4.985114,3.909308,1.207262,0.747927
4231,AZD8055,HUPT3,PAAD,1.938377,1.768681,1.438545,1.314825
4232,Carmustine,HUPT3,PAAD,7.924077,7.139019,1.770522,0.965532
4233,Dinaciclib,HUPT3,PAAD,-0.565391,-0.382929,1.417900,1.541740
4234,Erlotinib,HUPT3,PAAD,5.206202,3.910841,1.536604,0.642546
4235,Fulvestrant,HUPT3,PAAD,4.985843,4.827527,0.993404,0.868079
4236,GW441756,HUPT3,PAAD,2.751036,3.813340,-0.743307,0.400752
4237,JQ1,HUPT3,PAAD,2.358840,3.158443,0.170677,0.580201
4238,Mycophenolic acid,HUPT3,PAAD,3.804768,3.160378,1.308372,0.888717
