drug,cell_line,IC50,OncotreeCode
P22077,PANC0203,6.249959,PAAD
PCI-34051,PANC0203,4.472119,PAAD
PD0325901,PANC0203,-0.743206,PAAD
PD173074,PANC0203,4.236135,PAAD
PFI-1,PANC0203,3.755374,PAAD
PFI3,PANC0203,6.106476,PAAD
PLX-4720,PANC0203,5.171055,PAAD
POMHEX,PANC0203,1.82676,PAAD
PRIMA-1MET,PANC0203,4.79948,PAAD
PRT062607,PANC0203,2.833822,PAAD
Paclitaxel,PANC0203,-3.285726,PAAD
Palbociclib,PANC0203,4.42156,PAAD
Pevonedistat,PANC0203,0.781922,PAAD
Picolinici-acid,PANC0203,6.857147,PAAD
Pictilisib,PANC0203,0.713402,PAAD
Podophyllotoxin bromide,PANC0203,-0.195811,PAAD
Pyridostatin,PANC0203,3.944387,PAAD
RO-3306,PANC0203,6.845943,PAAD
RVX-208,PANC0203,4.238255,PAAD
Rapamycin,PANC0203,-0.342676,PAAD
Refametinib,PANC0203,-0.579318,PAAD
Ribociclib,PANC0203,4.350045,PAAD
Romidepsin,PANC0203,-4.727389,PAAD
Rucaparib,PANC0203,4.358417,PAAD
Ruxolitinib,PANC0203,7.56386,PAAD
SB216763,PANC0203,5.96122,PAAD
SB590885,PANC0203,5.995705,PAAD
SCH772984,PANC0203,0.457699,PAAD
SGC-CBP30,PANC0203,4.564117,PAAD
SGC0946,PANC0203,2.554456,PAAD
SN-38,PANC0203,-2.764697,PAAD
Sabutoclax,PANC0203,-0.003772,PAAD
Sapitinib,PANC0203,2.623174,PAAD
Savolitinib,PANC0203,4.606166,PAAD
Schweinfurthin A,PANC0203,3.732603,PAAD
Selumetinib,PANC0203,1.478244,PAAD
Sepantronium bromide,PANC0203,-2.880517,PAAD
Serdemetan,PANC0203,3.734795,PAAD
Sinularin,PANC0203,4.326722,PAAD
Sorafenib,PANC0203,3.688642,PAAD
Staurosporine,PANC0203,-0.937258,PAAD
TW 37,PANC0203,2.93954,PAAD
Talazoparib,PANC0203,4.660826,PAAD
Tamoxifen,PANC0203,3.709027,PAAD
Tanespimycin,PANC0203,-0.921974,PAAD
Taselisib,PANC0203,2.061339,PAAD
Telomerase Inhibitor IX,PANC0203,0.761959,PAAD
Temozolomide,PANC0203,8.686819,PAAD
Temsirolimus,PANC0203,2.497946,PAAD
Teniposide,PANC0203,0.744524,PAAD
Topotecan,PANC0203,-0.257918,PAAD
Trametinib,PANC0203,-2.02258,PAAD
UMI-77,PANC0203,2.082996,PAAD
UNC0379,PANC0203,4.309484,PAAD
UNC0638,PANC0203,5.931734,PAAD
Ulixertinib,PANC0203,1.408946,PAAD
Uprosertib,PANC0203,5.651933,PAAD
VE-822,PANC0203,6.228886,PAAD
VE821,PANC0203,4.794483,PAAD
VX-11e,PANC0203,2.148144,PAAD
Veliparib,PANC0203,6.730549,PAAD
Venetoclax,PANC0203,1.877141,PAAD
Vinblastine,PANC0203,-1.071763,PAAD
Vincristine,PANC0203,-0.225447,PAAD
Vinorelbine,PANC0203,-0.465275,PAAD
Vismodegib,PANC0203,6.242817,PAAD
Vorinostat,PANC0203,1.795819,PAAD
WEHI-539,PANC0203,0.527275,PAAD
WIKI4,PANC0203,4.05927,PAAD
WZ4003,PANC0203,4.064979,PAAD
Wee1 Inhibitor,PANC0203,2.853183,PAAD
Wnt-C59,PANC0203,5.696039,PAAD
XAV939,PANC0203,4.340473,PAAD
YK-4-279,PANC0203,3.646127,PAAD
ZM447439,PANC0203,3.938423,PAAD
Zoledronate,PANC0203,4.576563,PAAD
alpha-lipoic acid,PANC0203,8.0601,PAAD
glutathione,PANC0203,10.470752,PAAD
5-Fluorouracil,MV411,-0.613172,AML
5-azacytidine,MV411,0.961569,AML
A-366,MV411,1.381438,AML
ABT737,MV411,-4.753462,AML
AGI-5198,MV411,3.252282,AML
AGK2,MV411,1.213798,AML
AMG-319,MV411,1.239464,AML
AZ960,MV411,-1.076789,AML
AZD1208,MV411,2.090552,AML
AZD1332,MV411,-2.667339,AML
AZD2014,MV411,-0.953495,AML
AZD3759,MV411,1.483909,AML
AZD4547,MV411,-0.152522,AML
AZD5153,MV411,-3.681168,AML
AZD5363,MV411,1.453811,AML
AZD5438,MV411,-0.660715,AML
AZD5991,MV411,-5.428016,AML
AZD6738,MV411,-0.426774,AML
AZD7762,MV411,-5.854765,AML
AZD8055,MV411,-2.706919,AML
AZD8186,MV411,3.637153,AML
Afatinib,MV411,-0.26203,AML
Afuresertib,MV411,2.527832,AML
Alisertib,MV411,-3.227606,AML
Alpelisib,MV411,1.932766,AML
Avagacestat,MV411,3.542062,AML
Axitinib,MV411,0.211714,AML
BI-2536,MV411,-3.899818,AML
BIBR-1532,MV411,-0.506942,AML
BMS-345541,MV411,1.310595,AML
BMS-536924,MV411,-1.733383,AML
BMS-754807,MV411,-0.450121,AML
Bleomycin (50 uM),MV411,0.991045,AML
Bortezomib,MV411,-5.691173,AML
Bosutinib,MV411,-0.038334,AML
Buparlisib,MV411,0.548782,AML
CCT007093,MV411,3.900539,AML
CPI-637,MV411,0.418992,AML
Camptothecin,MV411,-4.984316,AML
Cediranib,MV411,1.528297,AML
Cisplatin,MV411,-0.288054,AML
Crizotinib,MV411,0.077576,AML
Cyclophosphamide,MV411,4.104868,AML
Cytarabine,MV411,-0.539693,AML
Dabrafenib,MV411,1.576281,AML
Dactinomycin,MV411,-8.396555,AML
Dactolisib,MV411,-3.50919,AML
Dasatinib,MV411,0.644067,AML
Docetaxel,MV411,-6.160133,AML
Doramapimod,MV411,4.091185,AML
EHT-1864,MV411,2.111921,AML
EPZ004777,MV411,2.459826,AML
EPZ5676,MV411,1.683056,AML
Epirubicin,MV411,-3.897285,AML
Erlotinib,MV411,0.587017,AML
Foretinib,MV411,-5.761141,AML
Fulvestrant,MV411,1.27449,AML
GDC0810,MV411,4.094855,AML
GNE-317,MV411,-0.842879,AML
GSK1904529A,MV411,3.471718,AML
GSK2578215A,MV411,2.602924,AML
GSK2830371,MV411,1.738999,AML
GSK343,MV411,1.86142,AML
GW441756,MV411,-0.708543,AML
Gefitinib,MV411,2.194663,AML
Gemcitabine,MV411,-5.420045,AML
I-BRD9,MV411,1.386929,AML
ICL-SIRT078,MV411,2.776821,AML
IWP-2,MV411,1.015494,AML
Ipatasertib,MV411,3.134528,AML
Irinotecan,MV411,-1.124927,AML
JNK Inhibitor VIII,MV411,2.854016,AML
JQ1,MV411,-2.982115,AML
KU-55933,MV411,3.314239,AML
LCL161,MV411,2.82064,AML
LGK974,MV411,0.811379,AML
Lapatinib,MV411,2.172743,AML
Leflunomide,MV411,3.534299,AML
Lenalidomide,MV411,3.039381,AML
Lestaurtinib,MV411,-5.672207,AML
Linsitinib,MV411,2.561353,AML
Luminespib,MV411,-5.52383,AML
MG-132,MV411,-2.165429,AML
MIM1,MV411,3.035315,AML
MIRA-1,MV411,3.092538,AML
MK-1775,MV411,-0.818286,AML
MK-2206,MV411,1.54299,AML
MK-8776,MV411,-0.5292,AML
Methotrexate,MV411,-3.445516,AML
Mirin,MV411,1.751295,AML
Motesanib,MV411,2.366674,AML
N-acetyl cysteine,MV411,8.991696,AML
NU7441,MV411,0.895756,AML
NVP-ADW742,MV411,0.152536,AML
Navitoclax,MV411,-3.046419,AML
Nilotinib,MV411,2.520084,AML
Niraparib,MV411,0.614825,AML
Nutlin-3a (-),MV411,-0.362143,AML
OSI-027,MV411,1.722388,AML
Obatoclax Mesylate,MV411,-0.475187,AML
Olaparib,MV411,1.574789,AML
Osimertinib,MV411,-0.196125,AML
Oxaliplatin,MV411,-0.342078,AML
P22077,MV411,1.488696,AML
PD0325901,MV411,-2.14514,AML
PD173074,MV411,1.503822,AML
PFI-1,MV411,1.300918,AML
PLX-4720,MV411,1.866441,AML
POMHEX,MV411,-0.274703,AML
PRIMA-1MET,MV411,1.19676,AML
Paclitaxel,MV411,-5.857558,AML
Palbociclib,MV411,-0.818744,AML
Pevonedistat,MV411,-3.0587,AML
Pictilisib,MV411,-0.35032,AML
Pyridostatin,MV411,1.527874,AML
RO-3306,MV411,0.415341,AML
Refametinib,MV411,-0.629349,AML
Ribociclib,MV411,0.219243,AML
Rucaparib,MV411,1.807675,AML
Ruxolitinib,MV411,1.600197,AML
SB216763,MV411,2.829663,AML
SB590885,MV411,3.411755,AML
SCH772984,MV411,-0.570477,AML
SGC0946,MV411,0.848985,AML
SN-38,MV411,-6.122006,AML
Sapitinib,MV411,1.998081,AML
Savolitinib,MV411,1.054336,AML
Selumetinib,MV411,1.158292,AML
Sepantronium bromide,MV411,-2.815856,AML
Serdemetan,MV411,0.498034,AML
Sorafenib,MV411,-5.539409,AML
Staurosporine,MV411,-5.969409,AML
TW 37,MV411,1.199446,AML
Talazoparib,MV411,-0.929059,AML
Tamoxifen,MV411,1.149791,AML
Tanespimycin,MV411,-3.139213,AML
Taselisib,MV411,0.752071,AML
Telomerase Inhibitor IX,MV411,-1.942163,AML
Temozolomide,MV411,5.457636,AML
Temsirolimus,MV411,-1.011751,AML
Trametinib,MV411,-3.901705,AML
UMI-77,MV411,1.551705,AML
UNC0379,MV411,0.163463,AML
UNC0638,MV411,2.556632,AML
Ulixertinib,MV411,-0.099686,AML
Uprosertib,MV411,1.667077,AML
Veliparib,MV411,3.087999,AML
Venetoclax,MV411,-6.299153,AML
Vinblastine,MV411,-6.543576,AML
Vismodegib,MV411,3.653918,AML
Vorinostat,MV411,-0.385749,AML
WEHI-539,MV411,3.652331,AML
WIKI4,MV411,2.831415,AML
Wee1 Inhibitor,MV411,-0.000036,AML
XAV939,MV411,2.664892,AML
YK-4-279,MV411,0.155535,AML
ZM447439,MV411,-0.367629,AML
alpha-lipoic acid,MV411,6.423771,AML
glutathione,MV411,8.100899,AML
5-Fluorouracil,TOV112D,5.230926,EOV
5-azacytidine,TOV112D,2.254992,EOV
A-366,TOV112D,5.157483,EOV
ABT737,TOV112D,3.423121,EOV
AGI-5198,TOV112D,4.535794,EOV
AGI-6780,TOV112D,3.573748,EOV
AGK2,TOV112D,2.922909,EOV
AMG-319,TOV112D,5.033933,EOV
AT13148,TOV112D,3.897262,EOV
AZ6102,TOV112D,2.449958,EOV
AZ960,TOV112D,1.68769,EOV
AZD1208,TOV112D,4.77498,EOV
AZD1332,TOV112D,3.49934,EOV
AZD2014,TOV112D,0.642287,EOV
AZD3759,TOV112D,2.020939,EOV
AZD4547,TOV112D,1.605152,EOV
AZD5153,TOV112D,1.698487,EOV
AZD5363,TOV112D,3.255164,EOV
AZD5438,TOV112D,1.473525,EOV
AZD5582,TOV112D,2.340463,EOV
AZD5991,TOV112D,2.28557,EOV
AZD6738,TOV112D,1.462553,EOV
AZD7762,TOV112D,0.059195,EOV
AZD8055,TOV112D,-0.740275,EOV
AZD8186,TOV112D,4.779933,EOV
Acetalax,TOV112D,2.423161,EOV
Afatinib,TOV112D,2.178496,EOV
Afuresertib,TOV112D,3.905373,EOV
Alisertib,TOV112D,-0.417758,EOV
Alpelisib,TOV112D,4.307663,EOV
Avagacestat,TOV112D,4.4528,EOV
Axitinib,TOV112D,2.613738,EOV
BI-2536,TOV112D,-3.401983,EOV
BIBR-1532,TOV112D,4.8821,EOV
BMS-345541,TOV112D,2.960378,EOV
BMS-536924,TOV112D,3.103591,EOV
BMS-754807,TOV112D,1.926248,EOV
Bleomycin,TOV112D,2.484841,EOV
Bleomycin (50 uM),TOV112D,0.093729,EOV
Bortezomib,TOV112D,-3.82378,EOV
Bosutinib,TOV112D,2.086834,EOV
Bromosporine,TOV112D,1.288752,EOV
Buparlisib,TOV112D,0.284397,EOV
CCT007093,TOV112D,4.495663,EOV
CPI-637,TOV112D,3.565424,EOV
CZC24832,TOV112D,5.155117,EOV
Camptothecin,TOV112D,-3.859615,EOV
Carmustine,TOV112D,4.367953,EOV
Cediranib,TOV112D,1.727426,EOV
Cisplatin,TOV112D,1.915603,EOV
Crizotinib,TOV112D,3.349724,EOV
Cyclophosphamide,TOV112D,5.278224,EOV
Cytarabine,TOV112D,-0.668768,EOV
Dabrafenib,TOV112D,4.791145,EOV
Dacarbazine,TOV112D,4.786448,EOV
Dactinomycin,TOV112D,-4.28003,EOV
Dactolisib,TOV112D,-2.116178,EOV
Dasatinib,TOV112D,3.439566,EOV
Dihydrorotenone,TOV112D,-0.573834,EOV
Dinaciclib,TOV112D,-4.104587,EOV
Docetaxel,TOV112D,-4.831333,EOV
Doramapimod,TOV112D,5.278014,EOV
EHT-1864,TOV112D,2.663179,EOV
EPZ004777,TOV112D,5.04896,EOV
EPZ5676,TOV112D,5.309355,EOV
Elephantin,TOV112D,5.511438,EOV
Entinostat,TOV112D,3.401098,EOV
Entospletinib,TOV112D,2.375876,EOV
Epirubicin,TOV112D,-2.528657,EOV
Erlotinib,TOV112D,2.503972,EOV
Fludarabine,TOV112D,3.573131,EOV
Foretinib,TOV112D,1.211093,EOV
Fulvestrant,TOV112D,3.036715,EOV
GDC0810,TOV112D,4.021824,EOV
GNE-317,TOV112D,0.47814,EOV
GSK-LSD1,TOV112D,1.971286,EOV
GSK1904529A,TOV112D,3.147009,EOV
GSK2110183B,TOV112D,4.066615,EOV
GSK2578215A,TOV112D,5.097442,EOV
GSK2606414,TOV112D,2.812025,EOV
GSK2801,TOV112D,5.128562,EOV
GSK2830371,TOV112D,5.20207,EOV
GSK343,TOV112D,3.844358,EOV
GSK591,TOV112D,4.52534,EOV
GW441756,TOV112D,2.196035,EOV
Gallibiscoquinazole,TOV112D,1.725722,EOV
Gefitinib,TOV112D,2.673573,EOV
Gemcitabine,TOV112D,-4.187837,EOV
I-BET-762,TOV112D,2.943428,EOV
I-BRD9,TOV112D,4.185638,EOV
ICL-SIRT078,TOV112D,5.273618,EOV
IWP-2,TOV112D,2.875648,EOV
Ibrutinib,TOV112D,3.70085,EOV
Ipatasertib,TOV112D,5.280211,EOV
Irinotecan,TOV112D,1.233628,EOV
JNK Inhibitor VIII,TOV112D,4.633535,EOV
JQ1,TOV112D,2.2413,EOV
KRAS (G12C) Inhibitor-12,TOV112D,3.026139,EOV
KU-55933,TOV112D,3.975405,EOV
L-Oxonoreleagnine,TOV112D,3.778132,EOV
LCL161,TOV112D,4.951748,EOV
LGK974,TOV112D,3.966555,EOV
LJI308,TOV112D,5.171375,EOV
LMP744,TOV112D,-2.630895,EOV
LY2109761,TOV112D,4.926165,EOV
Lapatinib,TOV112D,3.131745,EOV
Leflunomide,TOV112D,4.869536,EOV
Lenalidomide,TOV112D,5.095688,EOV
Lestaurtinib,TOV112D,-0.700099,EOV
Linsitinib,TOV112D,4.231304,EOV
Luminespib,TOV112D,-1.91667,EOV
MG-132,TOV112D,-0.86787,EOV
MIM1,TOV112D,2.828002,EOV
MIRA-1,TOV112D,5.495121,EOV
MK-1775,TOV112D,0.833243,EOV
MK-2206,TOV112D,4.566988,EOV
MK-8776,TOV112D,3.760391,EOV
ML323,TOV112D,3.779706,EOV
MN-64,TOV112D,5.235484,EOV
Methotrexate,TOV112D,-1.624314,EOV
Mirin,TOV112D,4.169019,EOV
Mitoxantrone,TOV112D,-2.104118,EOV
Motesanib,TOV112D,5.279807,EOV
Mycophenolic acid,TOV112D,0.494016,EOV
N-acetyl cysteine,TOV112D,9.689629,EOV
NU7441,TOV112D,2.468606,EOV
NVP-ADW742,TOV112D,3.325312,EOV
Navitoclax,TOV112D,2.86222,EOV
Nelarabine,TOV112D,5.868874,EOV
Nilotinib,TOV112D,3.902589,EOV
Niraparib,TOV112D,3.216732,EOV
Nutlin-3a (-),TOV112D,4.878522,EOV
OF-1,TOV112D,3.043769,EOV
OSI-027,TOV112D,0.442061,EOV
OTX015,TOV112D,2.194011,EOV
Obatoclax Mesylate,TOV112D,-0.33401,EOV
Olaparib,TOV112D,4.006488,EOV
Osimertinib,TOV112D,1.065902,EOV
Oxaliplatin,TOV112D,4.356909,EOV
P22077,TOV112D,4.560657,EOV
PCI-34051,TOV112D,3.466095,EOV
PD0325901,TOV112D,2.052037,EOV
PD173074,TOV112D,3.819956,EOV
PFI-1,TOV112D,4.649757,EOV
PFI3,TOV112D,5.221934,EOV
PLX-4720,TOV112D,4.127791,EOV
POMHEX,TOV112D,1.26011,EOV
PRIMA-1MET,TOV112D,4.206623,EOV
PRT062607,TOV112D,3.167768,EOV
Paclitaxel,TOV112D,-4.51625,EOV
Palbociclib,TOV112D,1.873758,EOV
Pevonedistat,TOV112D,-0.302564,EOV
Picolinici-acid,TOV112D,4.847444,EOV
Pictilisib,TOV112D,2.125593,EOV
Podophyllotoxin bromide,TOV112D,-2.1448,EOV
Pyridostatin,TOV112D,2.808941,EOV
RO-3306,TOV112D,2.801158,EOV
RVX-208,TOV112D,3.370957,EOV
Rapamycin,TOV112D,-3.406225,EOV
Refametinib,TOV112D,2.180271,EOV
Remodelin,TOV112D,3.973107,EOV
Ribociclib,TOV112D,3.039015,EOV
Romidepsin,TOV112D,-5.615711,EOV
Rucaparib,TOV112D,4.231796,EOV
Ruxolitinib,TOV112D,3.932861,EOV
SB216763,TOV112D,5.269814,EOV
SB590885,TOV112D,4.579813,EOV
SCH772984,TOV112D,2.270579,EOV
SGC-CBP30,TOV112D,3.510312,EOV
SGC0946,TOV112D,2.277472,EOV
SN-38,TOV112D,-5.501396,EOV
Sabutoclax,TOV112D,-1.139991,EOV
Sapitinib,TOV112D,4.369734,EOV
Savolitinib,TOV112D,2.778095,EOV
Schweinfurthin A,TOV112D,-1.595177,EOV
Selumetinib,TOV112D,4.988854,EOV
Sepantronium bromide,TOV112D,-5.43751,EOV
Serdemetan,TOV112D,2.55164,EOV
Sinularin,TOV112D,3.896294,EOV
Sorafenib,TOV112D,1.613196,EOV
Staurosporine,TOV112D,-2.119524,EOV
Talazoparib,TOV112D,0.318475,EOV
Tamoxifen,TOV112D,4.099844,EOV
Tanespimycin,TOV112D,-0.801457,EOV
Taselisib,TOV112D,3.447464,EOV
Telomerase Inhibitor IX,TOV112D,0.432498,EOV
Temozolomide,TOV112D,6.152809,EOV
Temsirolimus,TOV112D,-0.308423,EOV
Teniposide,TOV112D,-1.98575,EOV
Topotecan,TOV112D,-1.715038,EOV
Trametinib,TOV112D,0.141549,EOV
UMI-77,TOV112D,1.866957,EOV
UNC0379,TOV112D,4.878001,EOV
UNC0638,TOV112D,4.291576,EOV
Ulixertinib,TOV112D,2.181083,EOV
Uprosertib,TOV112D,4.501802,EOV
VE-822,TOV112D,2.983621,EOV
VE821,TOV112D,2.924184,EOV
VX-11e,TOV112D,2.633473,EOV
Veliparib,TOV112D,4.1193,EOV
Venetoclax,TOV112D,3.29646,EOV
Vinblastine,TOV112D,-5.676426,EOV
Vincristine,TOV112D,-4.381467,EOV
Vinorelbine,TOV112D,-4.394951,EOV
Vismodegib,TOV112D,4.585237,EOV
Vorinostat,TOV112D,1.521099,EOV
WEHI-539,TOV112D,4.700217,EOV
WIKI4,TOV112D,5.259919,EOV
WZ4003,TOV112D,3.738636,EOV
Wee1 Inhibitor,TOV112D,1.848174,EOV
Wnt-C59,TOV112D,3.424039,EOV
XAV939,TOV112D,4.483173,EOV
YK-4-279,TOV112D,0.981883,EOV
ZM447439,TOV112D,2.585533,EOV
Zoledronate,TOV112D,3.070888,EOV
alpha-lipoic acid,TOV112D,7.685677,EOV
glutathione,TOV112D,9.316569,EOV
5-Fluorouracil,NCIH929,2.370688,PCM
5-azacytidine,NCIH929,1.332698,PCM
A-366,NCIH929,3.5006,PCM
ABT737,NCIH929,3.051184,PCM
AGI-5198,NCIH929,4.002507,PCM
AGI-6780,NCIH929,3.441302,PCM
AGK2,NCIH929,2.513951,PCM
AMG-319,NCIH929,3.263812,PCM
AT13148,NCIH929,0.642829,PCM
AZ6102,NCIH929,2.086015,PCM
AZ960,NCIH929,1.387116,PCM
AZD1208,NCIH929,3.222626,PCM
AZD1332,NCIH929,2.516166,PCM
AZD2014,NCIH929,-1.645342,PCM
AZD3759,NCIH929,2.591672,PCM
AZD4547,NCIH929,1.633203,PCM
AZD5153,NCIH929,-3.61885,PCM
AZD5363,NCIH929,-1.284806,PCM
AZD5438,NCIH929,0.620848,PCM
AZD5582,NCIH929,-0.856316,PCM
AZD5991,NCIH929,-2.84641,PCM
AZD6738,NCIH929,2.445042,PCM
AZD7762,NCIH929,-0.457986,PCM
AZD8055,NCIH929,-4.165687,PCM
AZD8186,NCIH929,0.550946,PCM
Acetalax,NCIH929,5.248541,PCM
Afatinib,NCIH929,1.033985,PCM
Afuresertib,NCIH929,-2.575387,PCM
Alisertib,NCIH929,2.606442,PCM
Alpelisib,NCIH929,-1.016434,PCM
Avagacestat,NCIH929,4.527099,PCM
Axitinib,NCIH929,3.431119,PCM
BI-2536,NCIH929,-2.448483,PCM
BIBR-1532,NCIH929,4.8459,PCM
BMS-345541,NCIH929,1.642431,PCM
BMS-536924,NCIH929,-2.197765,PCM
BMS-754807,NCIH929,-4.67242,PCM
Bleomycin,NCIH929,2.122687,PCM
Bleomycin (50 uM),NCIH929,2.753616,PCM
Bortezomib,NCIH929,-5.774925,PCM
Bosutinib,NCIH929,1.05002,PCM
Bromosporine,NCIH929,-0.370657,PCM
Buparlisib,NCIH929,-0.963744,PCM
CCT007093,NCIH929,4.84521,PCM
CPI-637,NCIH929,-0.182867,PCM
CZC24832,NCIH929,4.841927,PCM
Camptothecin,NCIH929,-3.516091,PCM
Carmustine,NCIH929,4.882997,PCM
Cediranib,NCIH929,1.943834,PCM
Cisplatin,NCIH929,2.11716,PCM
Crizotinib,NCIH929,0.626305,PCM
Cyclophosphamide,NCIH929,4.715985,PCM
Cytarabine,NCIH929,-0.379174,PCM
Dabrafenib,NCIH929,2.698188,PCM
Dacarbazine,NCIH929,4.152314,PCM
Dactinomycin,NCIH929,-4.443292,PCM
Dactolisib,NCIH929,-4.422553,PCM
Daporinad,NCIH929,-4.933981,PCM
Dasatinib,NCIH929,0.652864,PCM
Dihydrorotenone,NCIH929,-0.383239,PCM
Dinaciclib,NCIH929,-4.215739,PCM
Docetaxel,NCIH929,-5.048914,PCM
Doramapimod,NCIH929,2.666353,PCM
EHT-1864,NCIH929,3.084044,PCM
EPZ004777,NCIH929,4.768069,PCM
EPZ5676,NCIH929,4.135358,PCM
Elephantin,NCIH929,1.296457,PCM
Entinostat,NCIH929,0.855691,PCM
Entospletinib,NCIH929,2.85177,PCM
Epirubicin,NCIH929,-2.462956,PCM
Erlotinib,NCIH929,3.127348,PCM
Fludarabine,NCIH929,3.662485,PCM
Foretinib,NCIH929,0.274883,PCM
Fulvestrant,NCIH929,2.91149,PCM
GDC0810,NCIH929,4.673582,PCM
GNE-317,NCIH929,-2.558853,PCM
GSK-LSD1,NCIH929,2.199991,PCM
GSK1904529A,NCIH929,4.331663,PCM
GSK2110183B,NCIH929,-1.699743,PCM
GSK2578215A,NCIH929,4.835144,PCM
GSK2801,NCIH929,3.552879,PCM
GSK2830371,NCIH929,4.673278,PCM
GSK343,NCIH929,3.488916,PCM
GSK591,NCIH929,4.489423,PCM
GW441756,NCIH929,3.072813,PCM
Gallibiscoquinazole,NCIH929,1.482312,PCM
Gefitinib,NCIH929,1.663209,PCM
Gemcitabine,NCIH929,-4.032126,PCM
I-BET-762,NCIH929,-0.001967,PCM
I-BRD9,NCIH929,1.433636,PCM
ICL-SIRT078,NCIH929,4.164546,PCM
IWP-2,NCIH929,2.527193,PCM
Ibrutinib,NCIH929,4.809702,PCM
Ipatasertib,NCIH929,-1.088066,PCM
Irinotecan,NCIH929,1.444812,PCM
JNK Inhibitor VIII,NCIH929,4.404628,PCM
JQ1,NCIH929,-2.355215,PCM
KRAS (G12C) Inhibitor-12,NCIH929,2.149276,PCM
KU-55933,NCIH929,2.993079,PCM
L-Oxonoreleagnine,NCIH929,2.908087,PCM
LCL161,NCIH929,4.815711,PCM
LGK974,NCIH929,2.878051,PCM
LJI308,NCIH929,3.741211,PCM
LMP744,NCIH929,-1.904122,PCM
LY2109761,NCIH929,4.633588,PCM
Lapatinib,NCIH929,3.346901,PCM
Leflunomide,NCIH929,4.06048,PCM
Lenalidomide,NCIH929,3.251968,PCM
Lestaurtinib,NCIH929,-2.004093,PCM
Linsitinib,NCIH929,-1.477084,PCM
Luminespib,NCIH929,-4.307044,PCM
MG-132,NCIH929,-2.928634,PCM
MIM1,NCIH929,2.906805,PCM
MIRA-1,NCIH929,2.403563,PCM
MK-1775,NCIH929,0.891672,PCM
MK-2206,NCIH929,-2.561175,PCM
MK-8776,NCIH929,3.41076,PCM
ML323,NCIH929,3.946805,PCM
MN-64,NCIH929,4.709451,PCM
Mirin,NCIH929,3.994537,PCM
Mitoxantrone,NCIH929,-1.18103,PCM
Motesanib,NCIH929,4.846059,PCM
Mycophenolic acid,NCIH929,0.850075,PCM
N-acetyl cysteine,NCIH929,10.402296,PCM
NU7441,NCIH929,0.678935,PCM
NVP-ADW742,NCIH929,-0.949365,PCM
Navitoclax,NCIH929,3.154587,PCM
Nelarabine,NCIH929,4.689156,PCM
Nilotinib,NCIH929,1.328792,PCM
Niraparib,NCIH929,2.561568,PCM
Nutlin-3a (-),NCIH929,0.89509,PCM
OF-1,NCIH929,3.327256,PCM
OTX015,NCIH929,-1.61842,PCM
Obatoclax Mesylate,NCIH929,0.298107,PCM
Olaparib,NCIH929,3.729511,PCM
Osimertinib,NCIH929,2.543474,PCM
Oxaliplatin,NCIH929,4.561591,PCM
P22077,NCIH929,3.663268,PCM
PCI-34051,NCIH929,4.118891,PCM
PD0325901,NCIH929,-1.190144,PCM
PD173074,NCIH929,3.421355,PCM
PFI-1,NCIH929,1.697028,PCM
PFI3,NCIH929,4.651645,PCM
PLX-4720,NCIH929,4.99298,PCM
POMHEX,NCIH929,0.639038,PCM
PRIMA-1MET,NCIH929,1.68817,PCM
PRT062607,NCIH929,1.840895,PCM
Paclitaxel,NCIH929,-4.669659,PCM
Palbociclib,NCIH929,2.068644,PCM
Pevonedistat,NCIH929,-0.13286,PCM
Picolinici-acid,NCIH929,4.185936,PCM
Pictilisib,NCIH929,-2.180606,PCM
Podophyllotoxin bromide,NCIH929,-1.571687,PCM
Pyridostatin,NCIH929,1.74128,PCM
RO-3306,NCIH929,2.447054,PCM
RVX-208,NCIH929,2.714067,PCM
Rapamycin,NCIH929,-5.2424,PCM
Refametinib,NCIH929,-1.199379,PCM
Ribociclib,NCIH929,3.370937,PCM
Romidepsin,NCIH929,-5.32878,PCM
Rucaparib,NCIH929,2.744357,PCM
Ruxolitinib,NCIH929,4.619988,PCM
SB216763,NCIH929,4.846059,PCM
SB590885,NCIH929,2.568022,PCM
SCH772984,NCIH929,0.915025,PCM
SGC-CBP30,NCIH929,2.904256,PCM
SGC0946,NCIH929,1.79944,PCM
SN-38,NCIH929,-4.925711,PCM
Sabutoclax,NCIH929,-2.112885,PCM
Sapitinib,NCIH929,4.947556,PCM
Savolitinib,NCIH929,1.540325,PCM
Schweinfurthin A,NCIH929,-2.571232,PCM
Selumetinib,NCIH929,1.365757,PCM
Sepantronium bromide,NCIH929,-5.841627,PCM
Serdemetan,NCIH929,3.142231,PCM
Sinularin,NCIH929,3.080462,PCM
Sorafenib,NCIH929,1.769591,PCM
Staurosporine,NCIH929,-5.187803,PCM
TW 37,NCIH929,0.255606,PCM
Talazoparib,NCIH929,2.171443,PCM
Tamoxifen,NCIH929,2.884772,PCM
Tanespimycin,NCIH929,-0.93666,PCM
Taselisib,NCIH929,-3.863989,PCM
Telomerase Inhibitor IX,NCIH929,-1.181962,PCM
Temozolomide,NCIH929,6.037617,PCM
Temsirolimus,NCIH929,-2.845679,PCM
Teniposide,NCIH929,-1.305686,PCM
Topotecan,NCIH929,-1.391527,PCM
Trametinib,NCIH929,-2.969017,PCM
UMI-77,NCIH929,2.868834,PCM
UNC0379,NCIH929,1.263785,PCM
UNC0638,NCIH929,2.387763,PCM
