drug,cell_line,IC50
N-acetyl cysteine,DOTC24510,10.093824
NVP-ADW742,DOTC24510,3.984072
Navitoclax,DOTC24510,2.122887
Nelarabine,DOTC24510,6.586908
Nilotinib,DOTC24510,4.72068
Niraparib,DOTC24510,3.587434
Nutlin-3a (-),DOTC24510,6.353137
OF-1,DOTC24510,4.075701
OSI-027,DOTC24510,3.946201
Obatoclax Mesylate,DOTC24510,-0.16282
Olaparib,DOTC24510,3.778981
Osimertinib,DOTC24510,0.917085
Oxaliplatin,DOTC24510,5.649864
P22077,DOTC24510,5.651968
PCI-34051,DOTC24510,4.290931
PD173074,DOTC24510,3.235094
PFI-1,DOTC24510,4.107482
PFI3,DOTC24510,5.589633
POMHEX,DOTC24510,1.179491
PRIMA-1MET,DOTC24510,2.829058
PRT062607,DOTC24510,2.5739
Paclitaxel,DOTC24510,-0.471092
Palbociclib,DOTC24510,5.009235
Pevonedistat,DOTC24510,3.224556
Pictilisib,DOTC24510,2.461361
Podophyllotoxin bromide,DOTC24510,-0.277189
Pyridostatin,DOTC24510,4.951957
RO-3306,DOTC24510,5.859883
RVX-208,DOTC24510,5.081289
Rapamycin,DOTC24510,-0.631026
Refametinib,DOTC24510,3.24497
Ribociclib,DOTC24510,4.535215
Romidepsin,DOTC24510,-5.915331
Rucaparib,DOTC24510,3.882443
Ruxolitinib,DOTC24510,3.822123
SB216763,DOTC24510,4.62902
SB590885,DOTC24510,3.020113
SCH772984,DOTC24510,2.760168
SGC-CBP30,DOTC24510,4.834804
SGC0946,DOTC24510,2.395535
SN-38,DOTC24510,-4.564917
Sabutoclax,DOTC24510,-0.300974
Savolitinib,DOTC24510,3.429947
Schweinfurthin A,DOTC24510,1.53816
Selumetinib,DOTC24510,3.908036
Sepantronium bromide,DOTC24510,-5.112718
Serdemetan,DOTC24510,5.220147
Sinularin,DOTC24510,2.946243
Sorafenib,DOTC24510,3.620523
Staurosporine,DOTC24510,-2.356632
TW 37,DOTC24510,2.424381
Talazoparib,DOTC24510,3.63096
Tamoxifen,DOTC24510,3.817365
Tanespimycin,DOTC24510,-0.428137
Taselisib,DOTC24510,1.466108
Telomerase Inhibitor IX,DOTC24510,0.668845
Temozolomide,DOTC24510,7.110568
Temsirolimus,DOTC24510,3.441561
Teniposide,DOTC24510,0.789127
Topotecan,DOTC24510,-1.557914
Trametinib,DOTC24510,1.184915
UMI-77,DOTC24510,1.58778
UNC0379,DOTC24510,4.566579
UNC0638,DOTC24510,5.135484
Ulixertinib,DOTC24510,2.424413
Uprosertib,DOTC24510,2.231498
VE-822,DOTC24510,2.896335
VE821,DOTC24510,4.245497
VX-11e,DOTC24510,3.017964
Veliparib,DOTC24510,5.335664
Venetoclax,DOTC24510,2.161577
Vinblastine,DOTC24510,-1.681388
Vincristine,DOTC24510,-2.32662
Vismodegib,DOTC24510,5.433442
Vorinostat,DOTC24510,2.638141
WEHI-539,DOTC24510,2.181778
WIKI4,DOTC24510,3.236678
WZ4003,DOTC24510,1.868937
Wee1 Inhibitor,DOTC24510,2.56613
Wnt-C59,DOTC24510,4.32106
YK-4-279,DOTC24510,3.12163
ZM447439,DOTC24510,2.929826
Zoledronate,DOTC24510,4.316037
alpha-lipoic acid,DOTC24510,8.364794
glutathione,DOTC24510,8.848316
5-Fluorouracil,DU4475,2.266473
5-azacytidine,DU4475,0.20694
ABT737,DU4475,-3.611975
AGI-5198,DU4475,3.742732
AGI-6780,DU4475,2.162926
AGK2,DU4475,3.11328
AMG-319,DU4475,3.413317
AT13148,DU4475,3.267923
AZ6102,DU4475,1.32107
AZ960,DU4475,0.163737
AZD1332,DU4475,1.923009
AZD2014,DU4475,1.673794
AZD3759,DU4475,2.168184
AZD4547,DU4475,0.433115
AZD5153,DU4475,0.814002
AZD5363,DU4475,3.145916
AZD5438,DU4475,0.004425
AZD5582,DU4475,2.600436
AZD5991,DU4475,2.612392
AZD6482,DU4475,3.983511
AZD7762,DU4475,-0.894693
AZD8055,DU4475,-0.676289
AZD8186,DU4475,3.577474
Acetalax,DU4475,5.501311
Afatinib,DU4475,1.660815
Afuresertib,DU4475,2.624173
Alisertib,DU4475,1.242049
Alpelisib,DU4475,3.845277
Avagacestat,DU4475,2.841189
Axitinib,DU4475,1.081764
BIBR-1532,DU4475,3.619711
BMS-345541,DU4475,2.352663
BMS-754807,DU4475,0.325683
Bleomycin,DU4475,1.126479
Bleomycin (50 uM),DU4475,0.531476
Bortezomib,DU4475,-6.086278
Bosutinib,DU4475,1.464443
Bromosporine,DU4475,0.97363
Buparlisib,DU4475,0.57011
CCT007093,DU4475,4.330054
CPI-637,DU4475,4.311787
Camptothecin,DU4475,-4.328214
Carmustine,DU4475,4.778166
Cediranib,DU4475,1.562467
Cisplatin,DU4475,1.541165
Crizotinib,DU4475,0.988963
Cyclophosphamide,DU4475,4.179315
Cytarabine,DU4475,-1.608919
Dabrafenib,DU4475,-5.139568
Dacarbazine,DU4475,5.001543
Dactinomycin,DU4475,-6.055042
Dactolisib,DU4475,-1.864883
Dasatinib,DU4475,1.195438
Dihydrorotenone,DU4475,2.124208
Dinaciclib,DU4475,-3.671014
Doramapimod,DU4475,4.802841
EHT-1864,DU4475,0.464247
EPZ004777,DU4475,4.09797
EPZ5676,DU4475,4.144614
Elephantin,DU4475,3.484623
Entinostat,DU4475,-1.101907
Entospletinib,DU4475,2.321662
Epirubicin,DU4475,-3.76188
Erlotinib,DU4475,1.890835
Fludarabine,DU4475,3.812567
Foretinib,DU4475,0.13803
Fulvestrant,DU4475,2.730073
GDC0810,DU4475,4.124564
GNE-317,DU4475,0.568777
GSK-LSD1,DU4475,2.124208
GSK2110183B,DU4475,2.502822
GSK2578215A,DU4475,4.182319
GSK2606414,DU4475,3.515997
GSK269962A,DU4475,2.281692
GSK2801,DU4475,4.370301
GSK2830371,DU4475,3.157718
GSK343,DU4475,1.68164
GW441756,DU4475,1.570403
Gallibiscoquinazole,DU4475,2.124202
Gefitinib,DU4475,1.980587
Gemcitabine,DU4475,-3.382788
I-BRD9,DU4475,3.57609
ICL-SIRT078,DU4475,1.1844
IWP-2,DU4475,2.018517
Ibrutinib,DU4475,3.951724
Ipatasertib,DU4475,3.202611
Irinotecan,DU4475,0.3914
JNK Inhibitor VIII,DU4475,4.320031
KRAS (G12C) Inhibitor-12,DU4475,2.279513
KU-55933,DU4475,3.339141
L-Oxonoreleagnine,DU4475,3.221812
LCL161,DU4475,4.055518
LGK974,DU4475,2.76675
LJI308,DU4475,3.016659
LMP744,DU4475,-3.441778
LY2109761,DU4475,3.015906
Lapatinib,DU4475,1.078824
Leflunomide,DU4475,4.396686
Lenalidomide,DU4475,3.227117
Lestaurtinib,DU4475,-2.398373
Linsitinib,DU4475,1.9582
Luminespib,DU4475,-4.308229
MG-132,DU4475,-2.948287
MIM1,DU4475,2.523564
MK-1775,DU4475,-0.077663
MK-8776,DU4475,2.616954
ML323,DU4475,3.527479
MN-64,DU4475,3.062113
Mirin,DU4475,3.896069
Mitoxantrone,DU4475,-3.846168
Motesanib,DU4475,4.404975
N-acetyl cysteine,DU4475,9.576988
NU7441,DU4475,2.190824
Navitoclax,DU4475,-1.125184
Nelarabine,DU4475,4.941765
Nilotinib,DU4475,0.348358
Niraparib,DU4475,1.646796
OF-1,DU4475,3.69537
OSI-027,DU4475,1.929593
OTX015,DU4475,2.119197
Obatoclax Mesylate,DU4475,-0.962611
Olaparib,DU4475,2.093593
Osimertinib,DU4475,0.552419
Oxaliplatin,DU4475,2.052722
P22077,DU4475,2.516456
PCI-34051,DU4475,4.071499
PD0325901,DU4475,-5.658343
PF-4708671,DU4475,2.805962
PFI-1,DU4475,4.356514
POMHEX,DU4475,0.100508
PRIMA-1MET,DU4475,5.525127
PRT062607,DU4475,1.551
Paclitaxel,DU4475,-3.051282
Palbociclib,DU4475,3.747994
Pevonedistat,DU4475,-3.955006
Picolinici-acid,DU4475,4.248618
Pictilisib,DU4475,2.137846
Podophyllotoxin bromide,DU4475,-1.413668
Pyridostatin,DU4475,2.452337
RO-3306,DU4475,0.849708
RVX-208,DU4475,3.789795
Rapamycin,DU4475,-2.081659
Refametinib,DU4475,-3.314128
Remodelin,DU4475,3.253485
Ribociclib,DU4475,3.257842
Romidepsin,DU4475,-6.562462
Rucaparib,DU4475,1.425232
Ruxolitinib,DU4475,3.223911
SB216763,DU4475,4.384235
SB590885,DU4475,-0.662144
SCH772984,DU4475,-4.031391
SGC-CBP30,DU4475,3.705601
SGC0946,DU4475,1.357432
SN-38,DU4475,-6.595832
Sapitinib,DU4475,3.486309
Savolitinib,DU4475,0.67861
Schweinfurthin A,DU4475,-2.58126
Selumetinib,DU4475,-2.432084
Sepantronium bromide,DU4475,-3.01909
Serdemetan,DU4475,1.769889
Sinularin,DU4475,3.214639
Sorafenib,DU4475,0.918608
Staurosporine,DU4475,-4.856491
Talazoparib,DU4475,-0.460938
Tamoxifen,DU4475,2.659481
Tanespimycin,DU4475,-2.414236
Taselisib,DU4475,3.466323
Telomerase Inhibitor IX,DU4475,-1.2097
Temozolomide,DU4475,5.658927
Temsirolimus,DU4475,0.962146
Teniposide,DU4475,-3.316263
Topotecan,DU4475,-2.458891
Tozasertib,DU4475,-0.047089
Trametinib,DU4475,-7.425647
UMI-77,DU4475,1.57821
UNC0379,DU4475,2.617325
UNC0638,DU4475,2.310427
Ulixertinib,DU4475,-1.395489
Uprosertib,DU4475,1.928462
VE-822,DU4475,2.125773
VE821,DU4475,1.884903
VX-11e,DU4475,-1.661187
Veliparib,DU4475,2.979518
Venetoclax,DU4475,0.163965
Vinblastine,DU4475,-3.728667
Vinorelbine,DU4475,-2.502947
Vismodegib,DU4475,3.216673
Vorinostat,DU4475,-0.044685
WIKI4,DU4475,2.625793
WZ4003,DU4475,1.580425
Wee1 Inhibitor,DU4475,0.423081
Wnt-C59,DU4475,3.051525
YK-4-279,DU4475,0.664876
ZM447439,DU4475,1.722333
Zoledronate,DU4475,2.793917
alpha-lipoic acid,DU4475,6.713831
glutathione,DU4475,8.585676
5-Fluorouracil,EBC1,6.503493
5-azacytidine,EBC1,2.707196
ABT737,EBC1,0.244046
AGI-5198,EBC1,4.47206
AGI-6780,EBC1,4.041726
AMG-319,EBC1,4.4593
AT13148,EBC1,5.546327
AZ6102,EBC1,2.840771
AZ960,EBC1,4.035714
AZD1332,EBC1,5.833387
AZD2014,EBC1,3.020165
AZD3759,EBC1,3.449083
AZD4547,EBC1,2.02295
AZD5153,EBC1,1.052098
AZD5363,EBC1,2.954729
AZD5438,EBC1,2.74543
AZD5582,EBC1,3.773476
AZD5991,EBC1,5.638529
AZD6738,EBC1,2.629374
AZD8055,EBC1,0.248482
AZD8186,EBC1,1.980459
Acetalax,EBC1,6.749718
Afatinib,EBC1,2.696678
Alisertib,EBC1,2.562176
Alpelisib,EBC1,4.737697
Avagacestat,EBC1,4.764888
Axitinib,EBC1,3.86243
BI-2536,EBC1,0.997104
BMS-345541,EBC1,3.557124
BMS-536924,EBC1,4.323848
Bleomycin,EBC1,4.419779
Bleomycin (50 uM),EBC1,5.660307
Bortezomib,EBC1,-5.781058
Bosutinib,EBC1,3.743739
Bromosporine,EBC1,1.676377
Buparlisib,EBC1,0.934116
CCT007093,EBC1,5.838973
CPI-637,EBC1,3.647799
CZC24832,EBC1,4.255299
Carmustine,EBC1,6.690888
Cediranib,EBC1,2.438924
Cisplatin,EBC1,5.561093
Crizotinib,EBC1,-2.857016
Cyclophosphamide,EBC1,5.066622
Cytarabine,EBC1,2.184831
Dabrafenib,EBC1,4.654318
Dacarbazine,EBC1,6.648279
Dactinomycin,EBC1,-3.788583
Dactolisib,EBC1,-2.456773
Dasatinib,EBC1,3.130379
Dihydrorotenone,EBC1,1.312111
Dinaciclib,EBC1,-1.822009
Docetaxel,EBC1,-2.118689
EHT-1864,EBC1,4.380595
EPZ004777,EBC1,5.46306
EPZ5676,EBC1,5.855557
Elephantin,EBC1,5.64581
Entinostat,EBC1,0.762875
Entospletinib,EBC1,3.325347
Epirubicin,EBC1,-1.173447
Erlotinib,EBC1,3.151403
Fludarabine,EBC1,5.902204
Foretinib,EBC1,-4.737467
Fulvestrant,EBC1,4.732974
GDC0810,EBC1,3.897726
GNE-317,EBC1,-0.268604
GSK-LSD1,EBC1,2.66191
GSK1904529A,EBC1,4.871303
GSK2578215A,EBC1,5.301585
GSK2606414,EBC1,3.804394
GSK2801,EBC1,5.506314
GSK2830371,EBC1,6.029217
GSK343,EBC1,2.793783
GSK591,EBC1,5.167729
GW441756,EBC1,3.745551
Gefitinib,EBC1,4.131149
Gemcitabine,EBC1,-1.9641
I-BET-762,EBC1,2.700203
I-BRD9,EBC1,3.549681
IWP-2,EBC1,3.544667
Ibrutinib,EBC1,4.435102
Ipatasertib,EBC1,3.002529
Irinotecan,EBC1,0.091124
JNK Inhibitor VIII,EBC1,5.434417
JQ1,EBC1,-0.404792
KRAS (G12C) Inhibitor-12,EBC1,5.634038
KU-55933,EBC1,4.449987
L-Oxonoreleagnine,EBC1,3.903312
LCL161,EBC1,4.738661
LGK974,EBC1,4.423766
LJI308,EBC1,5.714556
LMP744,EBC1,-1.905007
LY2109761,EBC1,4.90997
Lapatinib,EBC1,3.595189
Leflunomide,EBC1,4.614279
Lenalidomide,EBC1,5.825197
Lestaurtinib,EBC1,1.285461
Linsitinib,EBC1,4.841521
Luminespib,EBC1,-2.539124
MG-132,EBC1,-1.4802
MIM1,EBC1,3.162788
MK-1775,EBC1,2.159743
MK-8776,EBC1,4.319246
ML323,EBC1,5.084619
MN-64,EBC1,5.013363
Mirin,EBC1,4.127481
Mitoxantrone,EBC1,0.229431
Mycophenolic acid,EBC1,1.558726
N-acetyl cysteine,EBC1,9.669314
NVP-ADW742,EBC1,2.49281
Navitoclax,EBC1,-0.548349
Nelarabine,EBC1,6.263671
Nilotinib,EBC1,4.68259
Niraparib,EBC1,3.799203
Nutlin-3a (-),EBC1,5.288107
OF-1,EBC1,4.173691
OSI-027,EBC1,2.907303
OTX015,EBC1,1.419586
Obatoclax Mesylate,EBC1,0.399262
Olaparib,EBC1,4.301708
Osimertinib,EBC1,1.169379
Oxaliplatin,EBC1,5.576037
P22077,EBC1,2.924707
PCI-34051,EBC1,5.216553
PD173074,EBC1,4.684689
PFI-1,EBC1,2.377313
PLX-4720,EBC1,5.751599
POMHEX,EBC1,1.642973
PRIMA-1MET,EBC1,5.952796
PRT062607,EBC1,3.994042
Paclitaxel,EBC1,-3.191949
Palbociclib,EBC1,3.139387
Pevonedistat,EBC1,-1.440002
Picolinici-acid,EBC1,5.29603
Pictilisib,EBC1,0.974886
Podophyllotoxin bromide,EBC1,-0.334886
Pyridostatin,EBC1,3.188067
RO-3306,EBC1,5.25018
RVX-208,EBC1,4.551423
Rapamycin,EBC1,-1.744365
Refametinib,EBC1,-1.05446
Remodelin,EBC1,4.593387
Ribociclib,EBC1,4.015141
Romidepsin,EBC1,-6.037732
Rucaparib,EBC1,3.900787
Ruxolitinib,EBC1,5.507524
SB216763,EBC1,3.601396
SB590885,EBC1,3.297882
SCH772984,EBC1,0.220913
SGC-CBP30,EBC1,3.821249
SGC0946,EBC1,1.555819
SN-38,EBC1,-6.060292
Sapitinib,EBC1,4.728702
Savolitinib,EBC1,-5.46285
Schweinfurthin A,EBC1,2.477401
Sepantronium bromide,EBC1,-4.150106
Serdemetan,EBC1,4.38128
Sinularin,EBC1,2.929681
Sorafenib,EBC1,2.441386
Staurosporine,EBC1,-1.980765
Talazoparib,EBC1,2.709009
Tamoxifen,EBC1,3.54098
Tanespimycin,EBC1,-0.492977
Taselisib,EBC1,2.130206
Telomerase Inhibitor IX,EBC1,0.399981
Temozolomide,EBC1,7.422992
Temsirolimus,EBC1,1.33094
Teniposide,EBC1,1.213036
Topotecan,EBC1,-1.627223
Trametinib,EBC1,-3.942544
UMI-77,EBC1,1.648667
UNC0379,EBC1,4.323784
UNC0638,EBC1,4.856986
Ulixertinib,EBC1,1.057779
Uprosertib,EBC1,3.061995
VE-822,EBC1,4.226182
VE821,EBC1,5.74211
VX-11e,EBC1,1.028978
Veliparib,EBC1,5.548681
Venetoclax,EBC1,1.942294
Vinblastine,EBC1,-2.720089
Vincristine,EBC1,0.014252
Vinorelbine,EBC1,-2.481604
Vismodegib,EBC1,5.28471
Vorinostat,EBC1,1.084052
WEHI-539,EBC1,0.072992
WIKI4,EBC1,3.41309
WZ4003,EBC1,2.944942
Wee1 Inhibitor,EBC1,2.544327
Wnt-C59,EBC1,4.889639
YK-4-279,EBC1,2.100904
ZM447439,EBC1,4.585626
Zoledronate,EBC1,2.724386
alpha-lipoic acid,EBC1,7.707604
glutathione,EBC1,8.926562
5-Fluorouracil,ECC10,4.774924
5-azacytidine,ECC10,3.098002
ABT737,ECC10,-1.301388
AGI-5198,ECC10,3.086405
AGI-6780,ECC10,3.338724
AMG-319,ECC10,3.43918
AT13148,ECC10,5.044651
AZ6102,ECC10,2.091693
AZ960,ECC10,-0.005456
AZD1332,ECC10,0.732656
AZD2014,ECC10,1.25052
AZD3759,ECC10,2.848162
AZD4547,ECC10,0.389298
AZD5153,ECC10,0.748628
AZD5363,ECC10,3.123586
AZD5438,ECC10,0.767672
AZD5582,ECC10,0.65893
AZD5991,ECC10,1.766342
AZD6738,ECC10,3.651134
AZD8055,ECC10,0.404456
AZD8186,ECC10,4.969334
Acetalax,ECC10,5.745703
Afatinib,ECC10,1.05905
Afuresertib,ECC10,3.706566
Alisertib,ECC10,-0.828702
Alpelisib,ECC10,3.318483
Avagacestat,ECC10,3.681817
Axitinib,ECC10,1.649551
BI-2536,ECC10,3.364571
BMS-345541,ECC10,1.965461
BMS-536924,ECC10,2.197239
Bleomycin,ECC10,3.409002
Bleomycin (50 uM),ECC10,4.543013
Bortezomib,ECC10,-5.50862
Bosutinib,ECC10,3.239119
Bromosporine,ECC10,1.860827
Buparlisib,ECC10,1.158659
CCT007093,ECC10,4.222382
CPI-637,ECC10,3.157288
CZC24832,ECC10,4.779335
Carmustine,ECC10,6.091163
Cediranib,ECC10,1.458643
Cisplatin,ECC10,4.080387
Crizotinib,ECC10,1.345801
Cyclophosphamide,ECC10,4.58813
Cytarabine,ECC10,1.474299
Dabrafenib,ECC10,4.749778
Dacarbazine,ECC10,5.718173
Dactinomycin,ECC10,-4.011054
Dactolisib,ECC10,-1.929604
Daporinad,ECC10,-0.667465
Dasatinib,ECC10,3.798923
Dihydrorotenone,ECC10,0.407536
Dinaciclib,ECC10,-3.80574
Doramapimod,ECC10,4.967063
EHT-1864,ECC10,1.971859
EPZ004777,ECC10,4.84376
EPZ5676,ECC10,5.041906
Elephantin,ECC10,2.520008
Entinostat,ECC10,-0.405267
Entospletinib,ECC10,3.211963
Epirubicin,ECC10,-1.977727
Erlotinib,ECC10,1.860388
Fludarabine,ECC10,5.72925
Foretinib,ECC10,0.551217
Fulvestrant,ECC10,3.031975
GDC0810,ECC10,4.895001
GNE-317,ECC10,1.465997
GSK-LSD1,ECC10,1.27361
GSK2110183B,ECC10,3.829507
GSK2578215A,ECC10,3.996094
GSK2606414,ECC10,3.447342
GSK2801,ECC10,4.874109
GSK2830371,ECC10,4.866291
GSK343,ECC10,2.154434
GSK591,ECC10,5.042505
Gallibiscoquinazole,ECC10,1.849911
Gefitinib,ECC10,2.288311
Gemcitabine,ECC10,1.404839
I-BET-762,ECC10,3.398412
ICL-SIRT078,ECC10,3.176333
IWP-2,ECC10,2.696329
Ibrutinib,ECC10,5.044651
Ipatasertib,ECC10,4.554291
Irinotecan,ECC10,1.862463
JNK Inhibitor VIII,ECC10,4.747342
JQ1,ECC10,2.469527
KU-55933,ECC10,5.044651
L-Oxonoreleagnine,ECC10,2.300912
LCL161,ECC10,4.172519
LGK974,ECC10,4.534078
LJI308,ECC10,4.994098
LMP744,ECC10,-0.274107
LY2109761,ECC10,5.00228
Lapatinib,ECC10,1.637073
Leflunomide,ECC10,4.58903
Lenalidomide,ECC10,4.683897
Lestaurtinib,ECC10,-0.32929
Linsitinib,ECC10,2.549417
Luminespib,ECC10,0.475284
MG-132,ECC10,-2.231742
MIM1,ECC10,2.929209
MIRA-1,ECC10,5.314962
MK-2206,ECC10,2.960139
MK-8776,ECC10,2.346458
ML323,ECC10,3.764084
MN-64,ECC10,4.571057
Mirin,ECC10,2.972408
Mitoxantrone,ECC10,0.52947
Motesanib,ECC10,5.030766
Mycophenolic acid,ECC10,1.701382
N-acetyl cysteine,ECC10,9.885856
NVP-ADW742,ECC10,1.591969
Navitoclax,ECC10,-1.797347
Nelarabine,ECC10,5.647297
Nilotinib,ECC10,2.452151
Niraparib,ECC10,4.944876
Nutlin-3a (-),ECC10,4.894571
OF-1,ECC10,4.699215
OSI-027,ECC10,1.117114
Obatoclax Mesylate,ECC10,1.182261
Olaparib,ECC10,3.887821
Osimertinib,ECC10,1.208051
Oxaliplatin,ECC10,4.456072
P22077,ECC10,4.008955
PCI-34051,ECC10,3.667962
PD173074,ECC10,1.448454
PFI-1,ECC10,2.973488
PFI3,ECC10,4.828436
POMHEX,ECC10,-0.321795
PRIMA-1MET,ECC10,4.093976
PRT062607,ECC10,1.834993
Paclitaxel,ECC10,-5.160288
Palbociclib,ECC10,3.505969
Pevonedistat,ECC10,-3.018869
Pictilisib,ECC10,1.075789
Podophyllotoxin bromide,ECC10,-0.97455
Pyridostatin,ECC10,2.266867
RO-3306,ECC10,1.499205
RVX-208,ECC10,4.847243
Rapamycin,ECC10,-1.097086
Refametinib,ECC10,1.437332
Ribociclib,ECC10,3.598434
Romidepsin,ECC10,-6.213253
Rucaparib,ECC10,3.364924
Ruxolitinib,ECC10,4.991552
SB216763,ECC10,4.497014
SB590885,ECC10,4.20989
SCH772984,ECC10,-0.423801
SGC-CBP30,ECC10,2.683614
SGC0946,ECC10,1.535641
SN-38,ECC10,-3.683271
Sabutoclax,ECC10,-2.825856
Savolitinib,ECC10,2.025219
Schweinfurthin A,ECC10,0.147681
Selumetinib,ECC10,4.04396
Sepantronium bromide,ECC10,-5.726802
Serdemetan,ECC10,3.291999
Sinularin,ECC10,2.895679
Sorafenib,ECC10,1.20104
Staurosporine,ECC10,-2.396684
TW 37,ECC10,-0.367825
Talazoparib,ECC10,4.197207
Tamoxifen,ECC10,3.155497
Tanespimycin,ECC10,2.75203
Taselisib,ECC10,2.331087
Telomerase Inhibitor IX,ECC10,-0.31736
Temozolomide,ECC10,5.324839
Temsirolimus,ECC10,1.278187
Teniposide,ECC10,-0.466711
Topotecan,ECC10,-0.522818
Trametinib,ECC10,-0.410192
UMI-77,ECC10,1.662047
UNC0379,ECC10,1.830355
UNC0638,ECC10,1.458174
Ulixertinib,ECC10,1.344758
Uprosertib,ECC10,3.456877
VE-822,ECC10,4.303513
VE821,ECC10,5.038938
VX-11e,ECC10,2.497409
Veliparib,ECC10,4.081276
Venetoclax,ECC10,-0.940262
Vinblastine,ECC10,-4.793361
Vincristine,ECC10,-2.869428
Vismodegib,ECC10,4.035839
Vorinostat,ECC10,0.095824
WEHI-539,ECC10,2.821816
WIKI4,ECC10,3.801301
WZ4003,ECC10,1.736153
Wee1 Inhibitor,ECC10,1.319963
Wnt-C59,ECC10,3.022781
YK-4-279,ECC10,1.447808
ZM447439,ECC10,0.13212
Zoledronate,ECC10,3.412181
alpha-lipoic acid,ECC10,7.513909
glutathione,ECC10,8.855565
ABT737,ECC12,-0.548418
AGI-5198,ECC12,4.686462
AGI-6780,ECC12,4.555774
AMG-319,ECC12,5.21825
AZ6102,ECC12,4.465279
AZ960,ECC12,3.469343
AZD1208,ECC12,4.958993
AZD2014,ECC12,3.106012
AZD3759,ECC12,1.731212
AZD4547,ECC12,4.228006
AZD5153,ECC12,1.349592
AZD5363,ECC12,2.573607
AZD5438,ECC12,2.669771
AZD5582,ECC12,2.080581
AZD5991,ECC12,1.523644
AZD6482,ECC12,5.202188
AZD6738,ECC12,2.847771
AZD7762,ECC12,-0.201546
AZD8186,ECC12,4.870217
Afatinib,ECC12,1.329227
Afuresertib,ECC12,2.49887
Alisertib,ECC12,4.188348
Alpelisib,ECC12,4.10815
Axitinib,ECC12,2.175387
BI-2536,ECC12,1.281115
BIBR-1532,ECC12,5.221112
BMS-345541,ECC12,2.207502
BMS-754807,ECC12,2.741643
BX795,ECC12,3.020028
Bicalutamide,ECC12,4.556562
Bortezomib,ECC12,-4.012003
Bosutinib,ECC12,3.583521
Buparlisib,ECC12,2.413207
CCT-018159,ECC12,2.749192
CCT007093,ECC12,4.819681
CHIR-99021,ECC12,5.006894
CZC24832,ECC12,5.145385
Camptothecin,ECC12,-1.102048
Cediranib,ECC12,1.948919
Crizotinib,ECC12,3.080716
Cyclophosphamide,ECC12,4.769919
Dabrafenib,ECC12,4.431067
Dactinomycin,ECC12,-3.188715
Dactolisib,ECC12,-0.18859
Daporinad,ECC12,-5.142827
Dasatinib,ECC12,3.580807
Dinaciclib,ECC12,-3.260922
Docetaxel,ECC12,-3.029035
Doramapimod,ECC12,2.811542
EHT-1864,ECC12,3.043359
EPZ004777,ECC12,4.428365
EPZ5676,ECC12,5.110627
Elesclomol,ECC12,-3.255981
Entinostat,ECC12,-0.626711
Entospletinib,ECC12,4.488023
Epirubicin,ECC12,0.214171
Erlotinib,ECC12,5.20822
Foretinib,ECC12,2.409857
GDC0810,ECC12,4.239701
GNE-317,ECC12,2.427678
GSK1904529A,ECC12,4.658374
GSK2578215A,ECC12,3.399131
GSK2606414,ECC12,3.665984
GSK343,ECC12,2.376237
GSK591,ECC12,3.8388
GW441756,ECC12,3.61128
Gefitinib,ECC12,3.593431
Gemcitabine,ECC12,2.900775
I-BET-762,ECC12,2.937149
I-BRD9,ECC12,4.021633
IOX2,ECC12,0.822642
IWP-2,ECC12,1.883549
Ibrutinib,ECC12,4.329641
Ipatasertib,ECC12,3.550646
JNK Inhibitor VIII,ECC12,4.877264
JQ1,ECC12,1.204065
KRAS (G12C) Inhibitor-12,ECC12,3.90199
KU-55933,ECC12,5.221482
LCL161,ECC12,4.451964
LGK974,ECC12,3.003618
LJI308,ECC12,3.214543
Lapatinib,ECC12,4.211661
Leflunomide,ECC12,4.184837
Lestaurtinib,ECC12,0.989124
Linsitinib,ECC12,3.16366
Luminespib,ECC12,-1.201835
MG-132,ECC12,-0.409703
MK-1775,ECC12,-0.101656
MK-8776,ECC12,2.695972
ML323,ECC12,3.915091
MN-64,ECC12,4.013914
Methotrexate,ECC12,2.126815
Mirin,ECC12,4.98237
Motesanib,ECC12,5.056364
NU7441,ECC12,3.786605
NVP-ADW742,ECC12,2.514394
Navitoclax,ECC12,-1.455045
Nilotinib,ECC12,4.089114
Niraparib,ECC12,3.313392
Nutlin-3a (-),ECC12,5.160868
OF-1,ECC12,3.158484
OSI-027,ECC12,4.358938
OTX015,ECC12,1.107603
Obatoclax Mesylate,ECC12,2.398962
Olaparib,ECC12,4.330746
Osimertinib,ECC12,1.285844
Oxaliplatin,ECC12,3.577101
P22077,ECC12,3.893596
PCI-34051,ECC12,3.495832
PD0325901,ECC12,4.224781
PF-4708671,ECC12,3.215704
PFI-1,ECC12,4.940043
PFI3,ECC12,5.221482
PLX-4720,ECC12,5.09029
PRIMA-1MET,ECC12,3.161034
PRT062607,ECC12,2.493688
Paclitaxel,ECC12,-1.462617
Palbociclib,ECC12,4.480065
Pictilisib,ECC12,1.824942
Piperlongumine,ECC12,1.754526
Pyridostatin,ECC12,3.041519
RO-3306,ECC12,3.58252
RVX-208,ECC12,5.080978
Rapamycin,ECC12,-0.051043
Refametinib,ECC12,5.052487
Rucaparib,ECC12,3.865494
Ruxolitinib,ECC12,4.499045
SB216763,ECC12,5.170876
SB505124,ECC12,1.9725
SB590885,ECC12,4.524408
SCH772984,ECC12,4.28754
SGC0946,ECC12,1.309146
