,drug,cell_line,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
289,AZ960,NCIH520,LUSC,3.941451,AZ960,1.895669,1.724101,-0.550543
290,AZD3759,NCIH520,LUSC,3.94382,AZD3759,2.512182,1.084536,-0.394217
291,AZD4547,NCIH520,LUSC,0.687679,AZD4547,3.088286,1.600252,-1.018002
292,AZD5363,NCIH520,LUSC,2.130092,AZD5363,2.84782,1.441898,-0.481162
293,AZD5582,NCIH520,LUSC,2.180378,AZD5582,2.157595,2.342092,0.131474
294,AZD6738,NCIH520,LUSC,2.301033,AZD6738,2.057259,1.461663,-0.140114
295,AZD7762,NCIH520,LUSC,0.437358,AZD7762,0.164435,1.542725,0.01132
296,AZD8186,NCIH520,LUSC,2.132422,AZD8186,3.134757,1.404232,0.118791
297,Afatinib,NCIH520,LUSC,1.679674,Afatinib,1.594663,1.481016,-0.699872
298,Afuresertib,NCIH520,LUSC,1.70904,Afuresertib,2.40255,1.471751,-0.618295
299,Alpelisib,NCIH520,LUSC,4.348622,Alpelisib,3.451086,1.407226,-0.345982
300,Avagacestat,NCIH520,LUSC,3.97315,Avagacestat,4.759122,1.072116,0.235816
301,Axitinib,NCIH520,LUSC,1.618044,Axitinib,2.903591,1.677112,-0.638783
302,BMS-345541,NCIH520,LUSC,4.164147,BMS-345541,3.277956,1.320431,-0.411211
303,BMS-536924,NCIH520,LUSC,4.409068,BMS-536924,2.108959,1.381132,-0.255802
304,BMS-754807,NCIH520,LUSC,3.096366,BMS-754807,2.163231,1.99775,-1.158556
305,Bortezomib,NCIH520,LUSC,-4.451725,Bortezomib,-4.739097,1.068388,0.399677
306,Bosutinib,NCIH520,LUSC,3.923518,Bosutinib,2.618644,1.532012,-0.224929
307,Buparlisib,NCIH520,LUSC,1.301806,Buparlisib,1.132283,0.942456,-0.531767
308,CCT007093,NCIH520,LUSC,4.8822,CCT007093,5.191327,0.862412,-0.368107
309,CZC24832,NCIH520,LUSC,5.633807,CZC24832,5.137594,0.949818,0.056282
310,Camptothecin,NCIH520,LUSC,-1.552725,Camptothecin,-2.257481,1.838996,-0.210325
311,Cediranib,NCIH520,LUSC,1.108872,Cediranib,2.271131,1.192376,-0.893497
312,Crizotinib,NCIH520,LUSC,2.716053,Crizotinib,2.560661,1.510603,-0.9706
313,Cyclophosphamide,NCIH520,LUSC,5.780819,Cyclophosphamide,5.25922,0.888712,-0.17107
314,Dactinomycin,NCIH520,LUSC,-3.464664,Dactinomycin,-3.772788,1.88294,0.053325
315,Dactolisib,NCIH520,LUSC,-3.039447,Dactolisib,-1.510724,1.429786,-0.021963
316,Dasatinib,NCIH520,LUSC,1.543464,Dasatinib,1.287237,2.324073,0.46637
317,Dinaciclib,NCIH520,LUSC,-3.849556,Dinaciclib,-2.654463,1.473357,-0.490222
318,Docetaxel,NCIH520,LUSC,-3.699383,Docetaxel,-3.417161,2.548602,-0.591832
319,Doramapimod,NCIH520,LUSC,5.765573,Doramapimod,4.93907,1.188278,0.27203
320,EHT-1864,NCIH520,LUSC,2.895175,EHT-1864,3.678237,0.983429,-0.342577
321,EPZ004777,NCIH520,LUSC,5.509649,EPZ004777,5.153416,0.977035,0.285713
322,EPZ5676,NCIH520,LUSC,6.410583,EPZ5676,5.542946,1.028703,0.240699
323,Entinostat,NCIH520,LUSC,1.711964,Entinostat,2.030317,1.637052,-0.009488
324,Entospletinib,NCIH520,LUSC,4.99085,Entospletinib,3.672838,1.222475,0.131784
325,Epirubicin,NCIH520,LUSC,1.103437,Epirubicin,-0.852455,1.690941,-0.183967
326,Erlotinib,NCIH520,LUSC,3.817643,Erlotinib,2.979885,1.448855,-0.646325
327,Fulvestrant,NCIH520,LUSC,3.82532,Fulvestrant,3.730929,1.263247,-0.312027
328,GDC0810,NCIH520,LUSC,5.94391,GDC0810,5.087362,0.94553,-0.288147
329,GNE-317,NCIH520,LUSC,0.240302,GNE-317,0.681846,1.302066,-0.222039
330,GSK1904529A,NCIH520,LUSC,5.402117,GSK1904529A,4.348623,1.104047,-0.082873
331,GSK2578215A,NCIH520,LUSC,5.9358,GSK2578215A,4.933854,0.966128,0.051905
332,GSK2606414,NCIH520,LUSC,5.409553,GSK2606414,3.785602,1.215971,-0.205353
333,GSK343,NCIH520,LUSC,4.227239,GSK343,3.602119,1.367117,0.23451
334,GW441756,NCIH520,LUSC,3.303141,GW441756,3.441226,0.92854,-0.319597
335,Gefitinib,NCIH520,LUSC,3.986324,Gefitinib,3.147493,1.212598,-0.214227
336,Gemcitabine,NCIH520,LUSC,-2.569679,Gemcitabine,-0.766782,3.010521,-0.071429
337,I-BET-762,NCIH520,LUSC,4.192663,I-BET-762,3.178213,1.581827,0.073705
338,I-BRD9,NCIH520,LUSC,4.453633,I-BRD9,4.358221,1.274025,-0.157058
339,IWP-2,NCIH520,LUSC,3.110852,IWP-2,2.870543,0.89695,-0.43239
340,Ibrutinib,NCIH520,LUSC,4.702896,Ibrutinib,4.055961,1.812726,-0.248868
341,Ipatasertib,NCIH520,LUSC,2.359036,Ipatasertib,3.403906,1.455375,-0.69794
342,Irinotecan,NCIH520,LUSC,3.401649,Irinotecan,2.49049,1.934295,0.043275
343,JNK Inhibitor VIII,NCIH520,LUSC,5.904995,JNK Inhibitor VIII,5.096918,0.961142,-0.120539
344,JQ1,NCIH520,LUSC,1.690609,JQ1,2.025591,1.952515,-0.098744
345,KRAS (G12C) Inhibitor-12,NCIH520,LUSC,6.264186,KRAS (G12C) Inhibitor-12,4.449045,1.534301,-0.129364
346,KU-55933,NCIH520,LUSC,5.222789,KU-55933,5.04103,1.126742,-0.025926
347,LCL161,NCIH520,LUSC,5.720534,LCL161,4.766877,1.238491,0.185907
348,LGK974,NCIH520,LUSC,5.19153,LGK974,4.238238,1.107629,-0.356127
349,LY2109761,NCIH520,LUSC,5.881846,LY2109761,5.00674,1.042965,0.181355
350,Lapatinib,NCIH520,LUSC,3.930767,Lapatinib,3.219614,1.583425,-0.661664
351,Leflunomide,NCIH520,LUSC,5.827483,Leflunomide,5.037278,0.913415,-0.045424
352,Lenalidomide,NCIH520,LUSC,5.961571,Lenalidomide,5.236581,1.07135,-0.029381
353,Lestaurtinib,NCIH520,LUSC,-0.334645,Lestaurtinib,-0.014942,1.617099,-0.080641
354,Linsitinib,NCIH520,LUSC,5.944045,Linsitinib,3.964537,1.322202,-0.549858
355,Luminespib,NCIH520,LUSC,-0.39056,Luminespib,-2.12391,1.817546,-0.020853
356,MG-132,NCIH520,LUSC,-1.209432,MG-132,-1.2843,0.72251,0.23779
357,MIRA-1,NCIH520,LUSC,5.383067,MIRA-1,5.237632,1.234442,-0.280761
358,MK-1775,NCIH520,LUSC,0.509144,MK-1775,0.636509,1.419839,-0.395154
359,MK-2206,NCIH520,LUSC,0.254438,MK-2206,2.725214,1.48772,-0.336583
360,ML323,NCIH520,LUSC,4.92353,ML323,4.536112,1.055599,-0.377214
361,MN-64,NCIH520,LUSC,6.075215,MN-64,4.673443,1.036058,0.22647
362,Mirin,NCIH520,LUSC,5.063374,Mirin,4.782781,1.183568,-0.418056
363,Motesanib,NCIH520,LUSC,6.091888,Motesanib,5.481288,1.133491,-0.109815
364,NU7441,NCIH520,LUSC,2.436167,NU7441,3.132711,1.343787,0.0129
365,NVP-ADW742,NCIH520,LUSC,4.653983,NVP-ADW742,2.882258,1.472598,-0.606794
366,Navitoclax,NCIH520,LUSC,3.317124,Navitoclax,1.776309,2.029373,0.30604
367,Nilotinib,NCIH520,LUSC,3.596986,Nilotinib,3.364192,1.706385,0.036346
368,Niraparib,NCIH520,LUSC,4.244052,Niraparib,4.113814,1.516015,-0.090917
369,Nutlin-3a (-),NCIH520,LUSC,6.072724,Nutlin-3a (-),4.421065,1.79125,-0.055132
370,OF-1,NCIH520,LUSC,4.700741,OF-1,4.121389,1.170053,-0.368714
371,OSI-027,NCIH520,LUSC,-0.625427,OSI-027,2.584887,1.493868,0.007671
372,OTX015,NCIH520,LUSC,2.74921,OTX015,2.300635,1.867904,0.094816
373,Olaparib,NCIH520,LUSC,5.392165,Olaparib,4.229661,1.301754,0.15741
374,Osimertinib,NCIH520,LUSC,2.67433,Osimertinib,1.653115,1.279752,-0.354805
375,Oxaliplatin,NCIH520,LUSC,4.357886,Oxaliplatin,4.289635,1.783409,-0.569209
376,P22077,NCIH520,LUSC,6.128445,P22077,4.40732,1.512212,0.024838
377,PCI-34051,NCIH520,LUSC,5.899839,PCI-34051,4.396021,1.286151,-0.092258
378,PD173074,NCIH520,LUSC,1.044404,PD173074,3.763295,1.405445,-0.635973
379,PFI-1,NCIH520,LUSC,3.535059,PFI-1,4.054494,1.126123,-0.170351
380,PFI3,NCIH520,LUSC,5.782835,PFI3,5.397184,0.841197,-0.162441
381,PLX-4720,NCIH520,LUSC,5.575114,PLX-4720,4.213301,1.475022,0.216964
382,PRIMA-1MET,NCIH520,LUSC,7.110183,PRIMA-1MET,4.41929,1.802017,0.058704
383,PRT062607,NCIH520,LUSC,3.538692,PRT062607,3.172207,1.396623,-0.001489
384,Paclitaxel,NCIH520,LUSC,-2.458979,Paclitaxel,-2.855697,2.01671,-0.613004
385,Palbociclib,NCIH520,LUSC,0.903216,Palbociclib,3.471142,1.587659,-0.563204
386,Pevonedistat,NCIH520,LUSC,2.074292,Pevonedistat,0.871473,2.147707,-0.360338
387,Picolinici-acid,NCIH520,LUSC,5.360388,Picolinici-acid,5.268822,0.806529,-0.41425
388,Pictilisib,NCIH520,LUSC,-0.583918,Pictilisib,1.220241,1.263352,-0.424953
389,RO-3306,NCIH520,LUSC,4.958359,RO-3306,3.507804,1.618155,-0.649
390,RVX-208,NCIH520,LUSC,5.156705,RVX-208,4.738824,1.076382,-0.068137
391,Ribociclib,NCIH520,LUSC,1.238225,Ribociclib,3.658547,1.223182,0.033956
392,Rucaparib,NCIH520,LUSC,4.457012,Rucaparib,3.987035,1.062433,0.026574
393,Ruxolitinib,NCIH520,LUSC,5.728098,Ruxolitinib,4.797735,1.162398,0.128852
394,SB216763,NCIH520,LUSC,5.709798,SB216763,5.18065,1.038908,-0.185237
395,SB590885,NCIH520,LUSC,2.907981,SB590885,4.342276,1.355433,0.281447
396,SGC0946,NCIH520,LUSC,2.224589,SGC0946,2.104319,0.798566,-0.104403
397,SN-38,NCIH520,LUSC,3.840304,SN-38,-2.169489,3.597159,-0.018445
398,Sabutoclax,NCIH520,LUSC,-0.751957,Sabutoclax,-0.348779,1.269565,-0.448829
399,Sapitinib,NCIH520,LUSC,6.242546,Sapitinib,3.736865,1.78758,0.218065
400,Savolitinib,NCIH520,LUSC,3.338639,Savolitinib,2.740489,1.190454,-0.347319
401,Sepantronium bromide,NCIH520,LUSC,-2.873317,Sepantronium bromide,-4.169654,1.627967,0.193791
402,Serdemetan,NCIH520,LUSC,3.727033,Serdemetan,3.750761,1.276441,0.1994
403,Sorafenib,NCIH520,LUSC,3.342948,Sorafenib,2.545221,1.215386,-0.392026
404,Staurosporine,NCIH520,LUSC,-1.641066,Staurosporine,-2.794054,1.384635,-0.211785
405,Talazoparib,NCIH520,LUSC,2.629196,Talazoparib,2.767285,2.214847,0.080162
406,Tamoxifen,NCIH520,LUSC,4.196726,Tamoxifen,3.976104,1.224334,-0.160575
407,Tanespimycin,NCIH520,LUSC,0.300065,Tanespimycin,-0.081091,1.587668,0.355121
408,Taselisib,NCIH520,LUSC,1.217803,Taselisib,1.767096,1.694162,-0.618014
409,Telomerase Inhibitor IX,NCIH520,LUSC,0.706472,Telomerase Inhibitor IX,0.654709,1.233162,-0.309892
410,Temozolomide,NCIH520,LUSC,6.93881,Temozolomide,6.264369,1.303074,0.112654
411,Temsirolimus,NCIH520,LUSC,0.09077,Temsirolimus,1.039094,1.694959,0.125503
412,Ulixertinib,NCIH520,LUSC,2.266908,Ulixertinib,2.547238,1.503594,0.16838
413,Uprosertib,NCIH520,LUSC,1.675651,Uprosertib,2.863995,1.707317,-0.629138
414,VE-822,NCIH520,LUSC,5.116672,VE-822,3.131455,1.791876,0.494567
415,Veliparib,NCIH520,LUSC,5.179884,Veliparib,5.263978,0.912873,-0.168508
416,Venetoclax,NCIH520,LUSC,4.090479,Venetoclax,2.374326,2.075205,0.09095
417,Vismodegib,NCIH520,LUSC,5.298878,Vismodegib,4.949888,0.982005,-0.136546
418,Vorinostat,NCIH520,LUSC,1.731736,Vorinostat,1.487515,1.090544,-0.209814
419,WEHI-539,NCIH520,LUSC,5.054534,WEHI-539,3.678485,1.717039,0.228312
420,WIKI4,NCIH520,LUSC,4.807349,WIKI4,3.734385,0.961632,0.107917
421,WZ4003,NCIH520,LUSC,6.017216,WZ4003,4.157618,1.375173,-0.24592
422,Wnt-C59,NCIH520,LUSC,4.102593,Wnt-C59,4.338048,1.095405,-0.186949
423,XAV939,NCIH520,LUSC,5.679075,XAV939,4.28841,0.991368,0.161987
424,YK-4-279,NCIH520,LUSC,1.437416,YK-4-279,2.247231,1.651518,-0.627911
425,ZM447439,NCIH520,LUSC,2.670804,ZM447439,2.576872,1.70601,-0.919924
426,5-Fluorouracil,NCIH1915,LCLC,5.767897,5-Fluorouracil,4.392229,1.71976,0.20784
427,ABT737,NCIH1915,LCLC,3.402928,ABT737,1.875342,2.053694,0.519234
428,AGI-5198,NCIH1915,LCLC,5.308605,AGI-5198,4.704103,0.907583,0.243406
429,AGI-6780,NCIH1915,LCLC,4.67265,AGI-6780,4.344912,1.086023,-0.278163
430,AGK2,NCIH1915,LCLC,4.591554,AGK2,3.26451,0.926755,0.075164
431,AZ960,NCIH1915,LCLC,1.744992,AZ960,1.895669,1.724101,0.028526
432,AZD3759,NCIH1915,LCLC,3.834634,AZD3759,2.512182,1.084536,0.265819
433,AZD4547,NCIH1915,LCLC,3.476671,AZD4547,3.088286,1.600252,-0.224859
434,AZD5363,NCIH1915,LCLC,4.658348,AZD5363,2.84782,1.441898,0.415579
435,AZD5582,NCIH1915,LCLC,1.904895,AZD5582,2.157595,2.342092,0.326873
436,AZD6738,NCIH1915,LCLC,3.710407,AZD6738,2.057259,1.461663,0.088053
437,AZD7762,NCIH1915,LCLC,1.058789,AZD7762,0.164435,1.542725,0.178822
438,AZD8186,NCIH1915,LCLC,5.301298,AZD8186,3.134757,1.404232,0.228083
439,Afatinib,NCIH1915,LCLC,1.492303,Afatinib,1.594663,1.481016,0.031661
440,Afuresertib,NCIH1915,LCLC,4.371885,Afuresertib,2.40255,1.471751,0.4719
441,Alpelisib,NCIH1915,LCLC,5.093442,Alpelisib,3.451086,1.407226,0.535303
442,Avagacestat,NCIH1915,LCLC,6.174675,Avagacestat,4.759122,1.072116,0.250252
443,Axitinib,NCIH1915,LCLC,3.758792,Axitinib,2.903591,1.677112,0.040022
444,BMS-345541,NCIH1915,LCLC,3.513277,BMS-345541,3.277956,1.320431,-0.129375
445,BMS-536924,NCIH1915,LCLC,3.468023,BMS-536924,2.108959,1.381132,0.130021
446,BMS-754807,NCIH1915,LCLC,2.438226,BMS-754807,2.163231,1.99775,0.408887
447,Bortezomib,NCIH1915,LCLC,-4.822522,Bortezomib,-4.739097,1.068388,0.148294
448,Bosutinib,NCIH1915,LCLC,3.078811,Bosutinib,2.618644,1.532012,0.222592
449,Buparlisib,NCIH1915,LCLC,1.891458,Buparlisib,1.132283,0.942456,-0.045497
450,CCT007093,NCIH1915,LCLC,6.101141,CCT007093,5.191327,0.862412,0.039926
451,CZC24832,NCIH1915,LCLC,5.6606,CZC24832,5.137594,0.949818,0.059596
452,Camptothecin,NCIH1915,LCLC,-1.754913,Camptothecin,-2.257481,1.838996,-0.051392
453,Cediranib,NCIH1915,LCLC,3.539176,Cediranib,2.271131,1.192376,0.093215
454,Crizotinib,NCIH1915,LCLC,4.028446,Crizotinib,2.560661,1.510603,-0.051816
455,Cyclophosphamide,NCIH1915,LCLC,6.24549,Cyclophosphamide,5.25922,0.888712,0.09821
456,Dactinomycin,NCIH1915,LCLC,-3.225844,Dactinomycin,-3.772788,1.88294,0.218211
457,Dactolisib,NCIH1915,LCLC,-0.918599,Dactolisib,-1.510724,1.429786,-0.187104
458,Dasatinib,NCIH1915,LCLC,0.747207,Dasatinib,1.287237,2.324073,0.170774
459,Dinaciclib,NCIH1915,LCLC,-3.053572,Dinaciclib,-2.654463,1.473357,0.056521
460,Docetaxel,NCIH1915,LCLC,-3.587147,Docetaxel,-3.417161,2.548602,-0.10494
461,Doramapimod,NCIH1915,LCLC,6.291457,Doramapimod,4.93907,1.188278,0.349416
462,EHT-1864,NCIH1915,LCLC,5.287793,EHT-1864,3.678237,0.983429,0.121939
463,EPZ004777,NCIH1915,LCLC,5.741024,EPZ004777,5.153416,0.977035,0.556403
464,EPZ5676,NCIH1915,LCLC,6.216577,EPZ5676,5.542946,1.028703,0.685254
465,Entinostat,NCIH1915,LCLC,1.452837,Entinostat,2.030317,1.637052,-0.340091
466,Entospletinib,NCIH1915,LCLC,3.582161,Entospletinib,3.672838,1.222475,0.313636
467,Epirubicin,NCIH1915,LCLC,0.964084,Epirubicin,-0.852455,1.690941,-0.084757
468,Erlotinib,NCIH1915,LCLC,4.306998,Erlotinib,2.979885,1.448855,-0.079978
469,Fulvestrant,NCIH1915,LCLC,4.73947,Fulvestrant,3.730929,1.263247,-0.00201
470,GDC0810,NCIH1915,LCLC,5.846996,GDC0810,5.087362,0.94553,-0.192418
471,GNE-317,NCIH1915,LCLC,1.304171,GNE-317,0.681846,1.302066,0.261191
472,GSK1904529A,NCIH1915,LCLC,6.392311,GSK1904529A,4.348623,1.104047,0.000762
473,GSK2578215A,NCIH1915,LCLC,4.819286,GSK2578215A,4.933854,0.966128,0.242836
474,GSK2606414,NCIH1915,LCLC,4.679801,GSK2606414,3.785602,1.215971,-0.290752
475,GSK343,NCIH1915,LCLC,4.303054,GSK343,3.602119,1.367117,0.016154
476,GW441756,NCIH1915,LCLC,4.094541,GW441756,3.441226,0.92854,-0.278323
477,Gefitinib,NCIH1915,LCLC,3.985505,Gefitinib,3.147493,1.212598,0.298192
478,Gemcitabine,NCIH1915,LCLC,2.45928,Gemcitabine,-0.766782,3.010521,0.053255
479,I-BET-762,NCIH1915,LCLC,3.065369,I-BET-762,3.178213,1.581827,0.122618
480,I-BRD9,NCIH1915,LCLC,4.982419,I-BRD9,4.358221,1.274025,0.059362
481,IWP-2,NCIH1915,LCLC,3.839045,IWP-2,2.870543,0.89695,-0.051468
482,Ibrutinib,NCIH1915,LCLC,5.073679,Ibrutinib,4.055961,1.812726,0.806876
483,Ipatasertib,NCIH1915,LCLC,5.774872,Ipatasertib,3.403906,1.455375,0.449554
484,Irinotecan,NCIH1915,LCLC,2.876677,Irinotecan,2.49049,1.934295,0.0899
485,JNK Inhibitor VIII,NCIH1915,LCLC,5.20741,JNK Inhibitor VIII,5.096918,0.961142,0.267072
486,JQ1,NCIH1915,LCLC,2.619177,JQ1,2.025591,1.952515,0.217698
487,KRAS (G12C) Inhibitor-12,NCIH1915,LCLC,4.686235,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.114426
488,KU-55933,NCIH1915,LCLC,4.507047,KU-55933,5.04103,1.126742,0.238264
489,LCL161,NCIH1915,LCLC,5.706225,LCL161,4.766877,1.238491,0.202382
490,LGK974,NCIH1915,LCLC,5.923144,LGK974,4.238238,1.107629,0.023014
491,LY2109761,NCIH1915,LCLC,6.440303,LY2109761,5.00674,1.042965,0.498033
492,Lapatinib,NCIH1915,LCLC,5.264732,Lapatinib,3.219614,1.583425,0.304484
493,Leflunomide,NCIH1915,LCLC,4.72308,Leflunomide,5.037278,0.913415,0.068317
494,Lenalidomide,NCIH1915,LCLC,6.067737,Lenalidomide,5.236581,1.07135,0.220297
495,Lestaurtinib,NCIH1915,LCLC,-0.069505,Lestaurtinib,-0.014942,1.617099,0.348953
496,Linsitinib,NCIH1915,LCLC,5.717893,Linsitinib,3.964537,1.322202,0.162064
497,Luminespib,NCIH1915,LCLC,-4.052004,Luminespib,-2.12391,1.817546,-0.037602
498,MG-132,NCIH1915,LCLC,-1.59836,MG-132,-1.2843,0.72251,0.143169
499,MIRA-1,NCIH1915,LCLC,5.607643,MIRA-1,5.237632,1.234442,0.171698
500,MK-1775,NCIH1915,LCLC,0.747868,MK-1775,0.636509,1.419839,0.095593
501,MK-2206,NCIH1915,LCLC,5.288236,MK-2206,2.725214,1.48772,0.206712
502,ML323,NCIH1915,LCLC,5.578134,ML323,4.536112,1.055599,0.172775
503,MN-64,NCIH1915,LCLC,6.524435,MN-64,4.673443,1.036058,0.397873
504,Mirin,NCIH1915,LCLC,4.574233,Mirin,4.782781,1.183568,-0.029409
505,Motesanib,NCIH1915,LCLC,6.53056,Motesanib,5.481288,1.133491,0.103275
506,NU7441,NCIH1915,LCLC,3.499516,NU7441,3.132711,1.343787,0.159627
507,NVP-ADW742,NCIH1915,LCLC,4.222621,NVP-ADW742,2.882258,1.472598,-0.188014
508,Navitoclax,NCIH1915,LCLC,2.998207,Navitoclax,1.776309,2.029373,0.489061
509,Nilotinib,NCIH1915,LCLC,3.655551,Nilotinib,3.364192,1.706385,-0.224643
510,Niraparib,NCIH1915,LCLC,3.037355,Niraparib,4.113814,1.516015,0.263129
511,Nutlin-3a (-),NCIH1915,LCLC,6.076324,Nutlin-3a (-),4.421065,1.79125,0.504818
512,OF-1,NCIH1915,LCLC,6.52458,OF-1,4.121389,1.170053,0.124034
513,OSI-027,NCIH1915,LCLC,2.979497,OSI-027,2.584887,1.493868,0.021505
514,OTX015,NCIH1915,LCLC,1.709433,OTX015,2.300635,1.867904,-0.048915
515,Olaparib,NCIH1915,LCLC,4.612171,Olaparib,4.229661,1.301754,0.230949
516,Osimertinib,NCIH1915,LCLC,3.167425,Osimertinib,1.653115,1.279752,-0.014869
517,Oxaliplatin,NCIH1915,LCLC,5.19779,Oxaliplatin,4.289635,1.783409,0.28744
518,P22077,NCIH1915,LCLC,5.087028,P22077,4.40732,1.512212,0.229873
519,PCI-34051,NCIH1915,LCLC,2.339804,PCI-34051,4.396021,1.286151,0.109608
520,PD173074,NCIH1915,LCLC,4.150199,PD173074,3.763295,1.405445,0.056431
521,PFI-1,NCIH1915,LCLC,5.284125,PFI-1,4.054494,1.126123,-0.108852
522,PFI3,NCIH1915,LCLC,4.997218,PFI3,5.397184,0.841197,0.224676
523,PLX-4720,NCIH1915,LCLC,4.289655,PLX-4720,4.213301,1.475022,0.07181
524,PRIMA-1MET,NCIH1915,LCLC,6.319477,PRIMA-1MET,4.41929,1.802017,0.136193
525,PRT062607,NCIH1915,LCLC,2.774178,PRT062607,3.172207,1.396623,-0.225582
526,Paclitaxel,NCIH1915,LCLC,-1.539721,Paclitaxel,-2.855697,2.01671,0.240934
527,Palbociclib,NCIH1915,LCLC,3.615367,Palbociclib,3.471142,1.587659,0.305199
528,Pevonedistat,NCIH1915,LCLC,1.558422,Pevonedistat,0.871473,2.147707,-0.233281
529,Picolinici-acid,NCIH1915,LCLC,5.897673,Picolinici-acid,5.268822,0.806529,-0.273638
530,Pictilisib,NCIH1915,LCLC,4.037631,Pictilisib,1.220241,1.263352,0.044255
531,RO-3306,NCIH1915,LCLC,3.292245,RO-3306,3.507804,1.618155,0.113757
532,RVX-208,NCIH1915,LCLC,4.791149,RVX-208,4.738824,1.076382,0.190828
533,Ribociclib,NCIH1915,LCLC,3.080667,Ribociclib,3.658547,1.223182,0.285298
534,Rucaparib,NCIH1915,LCLC,4.484353,Rucaparib,3.987035,1.062433,0.298002
535,Ruxolitinib,NCIH1915,LCLC,5.115242,Ruxolitinib,4.797735,1.162398,0.436375
536,SB216763,NCIH1915,LCLC,5.49415,SB216763,5.18065,1.038908,0.037423
537,SB590885,NCIH1915,LCLC,5.261963,SB590885,4.342276,1.355433,-0.169795
538,SGC0946,NCIH1915,LCLC,2.771439,SGC0946,2.104319,0.798566,0.313402
539,SN-38,NCIH1915,LCLC,-2.101016,SN-38,-2.169489,3.597159,-0.240654
540,Sabutoclax,NCIH1915,LCLC,1.135404,Sabutoclax,-0.348779,1.269565,0.093226
541,Sapitinib,NCIH1915,LCLC,5.126575,Sapitinib,3.736865,1.78758,0.761417
542,Savolitinib,NCIH1915,LCLC,2.533786,Savolitinib,2.740489,1.190454,-0.261504
543,Sepantronium bromide,NCIH1915,LCLC,-4.176881,Sepantronium bromide,-4.169654,1.627967,-0.18752
544,Serdemetan,NCIH1915,LCLC,3.262859,Serdemetan,3.750761,1.276441,0.3672
545,Sorafenib,NCIH1915,LCLC,3.427103,Sorafenib,2.545221,1.215386,-0.018803
546,Staurosporine,NCIH1915,LCLC,-3.41406,Staurosporine,-2.794054,1.384635,0.105855
547,Talazoparib,NCIH1915,LCLC,4.021216,Talazoparib,2.767285,2.214847,0.365238
548,Tamoxifen,NCIH1915,LCLC,4.051374,Tamoxifen,3.976104,1.224334,-0.235104
549,Tanespimycin,NCIH1915,LCLC,-2.698512,Tanespimycin,-0.081091,1.587668,0.387898
550,Taselisib,NCIH1915,LCLC,5.119366,Taselisib,1.767096,1.694162,0.36355
551,Telomerase Inhibitor IX,NCIH1915,LCLC,0.619268,Telomerase Inhibitor IX,0.654709,1.233162,-0.15808
552,Temozolomide,NCIH1915,LCLC,7.971083,Temozolomide,6.264369,1.303074,0.552659
553,Temsirolimus,NCIH1915,LCLC,-0.792555,Temsirolimus,1.039094,1.694959,0.26777
554,Ulixertinib,NCIH1915,LCLC,2.15414,Ulixertinib,2.547238,1.503594,-0.020952
555,Uprosertib,NCIH1915,LCLC,4.863356,Uprosertib,2.863995,1.707317,0.388241
556,VE-822,NCIH1915,LCLC,4.240435,VE-822,3.131455,1.791876,0.134296
557,Veliparib,NCIH1915,LCLC,4.252023,Veliparib,5.263978,0.912873,0.214311
558,Venetoclax,NCIH1915,LCLC,3.964279,Venetoclax,2.374326,2.075205,0.250661
559,Vismodegib,NCIH1915,LCLC,4.754834,Vismodegib,4.949888,0.982005,0.174768
560,Vorinostat,NCIH1915,LCLC,1.35486,Vorinostat,1.487515,1.090544,0.160225
561,WEHI-539,NCIH1915,LCLC,4.259118,WEHI-539,3.678485,1.717039,0.255242
562,WIKI4,NCIH1915,LCLC,4.692452,WIKI4,3.734385,0.961632,0.229145
563,WZ4003,NCIH1915,LCLC,3.234761,WZ4003,4.157618,1.375173,-0.28278
564,Wnt-C59,NCIH1915,LCLC,5.286609,Wnt-C59,4.338048,1.095405,0.118905
565,XAV939,NCIH1915,LCLC,5.174449,XAV939,4.28841,0.991368,0.327995
566,YK-4-279,NCIH1915,LCLC,3.168582,YK-4-279,2.247231,1.651518,0.113013
567,ZM447439,NCIH1915,LCLC,4.462163,ZM447439,2.576872,1.70601,0.262996
568,5-Fluorouracil,NCIH146,SCLC,3.657896,5-Fluorouracil,4.392229,1.71976,0.481146
569,ABT737,NCIH146,SCLC,-2.23768,ABT737,1.875342,2.053694,-1.525583
570,AGI-5198,NCIH146,SCLC,3.624073,AGI-5198,4.704103,0.907583,0.004862
571,AGI-6780,NCIH146,SCLC,3.974842,AGI-6780,4.344912,1.086023,-0.0148
572,AGK2,NCIH146,SCLC,3.014805,AGK2,3.26451,0.926755,0.016328
573,AZ960,NCIH146,SCLC,2.230332,AZ960,1.895669,1.724101,-0.321021
574,AZD3759,NCIH146,SCLC,3.341725,AZD3759,2.512182,1.084536,0.232494
575,AZD4547,NCIH146,SCLC,3.663788,AZD4547,3.088286,1.600252,-0.529718
576,AZD5363,NCIH146,SCLC,4.644727,AZD5363,2.84782,1.441898,0.358508
577,AZD5582,NCIH146,SCLC,2.012681,AZD5582,2.157595,2.342092,-0.086848
578,AZD6738,NCIH146,SCLC,2.421189,AZD6738,2.057259,1.461663,0.212314
579,AZD7762,NCIH146,SCLC,0.550611,AZD7762,0.164435,1.542725,0.401707
