,cell_line,drug,IC50,prediction,OncotreeCode,pca_1,pca_2,pca_1>0.002
322,RERFLCSQ1,Docetaxel,-4.798918,-4.851407,LUSC,0.004474,-0.000289,1
323,RERFLCSQ1,Doramapimod,5.877983,4.912442,LUSC,0.000184,-0.001055,0
324,RERFLCSQ1,EHT-1864,5.914628,3.808006,LUSC,0.000021,-0.001016,0
325,RERFLCSQ1,EPZ004777,5.87594,5.211786,LUSC,-0.000074,-0.001144,0
326,RERFLCSQ1,EPZ5676,6.246232,5.333741,LUSC,0.000611,-0.001115,0
327,RERFLCSQ1,Entinostat,2.649934,2.38238,LUSC,-0.000607,-0.00065,0
328,RERFLCSQ1,Entospletinib,3.98381,3.152581,LUSC,-0.000512,-0.000973,0
329,RERFLCSQ1,Epirubicin,-0.180511,-0.626035,LUSC,0.000478,-0.00102,0
330,RERFLCSQ1,Erlotinib,0.556387,3.283041,LUSC,-0.000509,-0.00047,0
331,RERFLCSQ1,Fulvestrant,4.204414,3.54234,LUSC,0.000134,-0.001005,0
332,RERFLCSQ1,GDC0810,5.932816,4.96733,LUSC,-0.000068,-0.001168,0
333,RERFLCSQ1,GSK1904529A,5.122826,4.095244,LUSC,0.004666,-0.000105,1
334,RERFLCSQ1,GSK2578215A,5.866378,4.805118,LUSC,-0.000227,-0.000959,0
335,RERFLCSQ1,GSK2606414,3.233232,3.622817,LUSC,-0.000049,-0.001123,0
336,RERFLCSQ1,GSK343,3.820276,3.393343,LUSC,0.000147,-0.001233,0
337,RERFLCSQ1,GW441756,4.012145,3.134912,LUSC,-0.000513,-0.00074,0
338,RERFLCSQ1,Gefitinib,0.354595,3.715508,LUSC,-0.000591,-0.000745,0
339,RERFLCSQ1,Gemcitabine,-1.270373,1.220028,LUSC,-0.000637,-0.000501,0
340,RERFLCSQ1,I-BET-762,5.696926,2.760225,LUSC,-0.000559,-0.001072,0
341,RERFLCSQ1,I-BRD9,4.125684,4.304925,LUSC,0.00004,-0.001003,0
342,RERFLCSQ1,IWP-2,3.578852,2.784642,LUSC,-0.000244,-0.001142,0
343,RERFLCSQ1,Ibrutinib,2.761284,4.400517,LUSC,-0.000099,-0.001157,0
344,RERFLCSQ1,Ipatasertib,1.191172,2.989543,LUSC,-0.000509,-0.000854,0
345,RERFLCSQ1,Irinotecan,3.420275,3.21662,LUSC,0.00077,-0.001007,0
346,RERFLCSQ1,JNK Inhibitor VIII,5.587307,4.921141,LUSC,-0.000494,-0.000481,0
347,RERFLCSQ1,JQ1,1.472571,1.539105,LUSC,-0.000202,-0.001146,0
348,RERFLCSQ1,KRAS (G12C) Inhibitor-12,4.632554,4.629019,LUSC,-0.000552,-0.000753,0
349,RERFLCSQ1,KU-55933,5.791557,4.702145,LUSC,-0.00052,-0.000628,0
350,RERFLCSQ1,LCL161,3.748518,4.697269,LUSC,0.000024,-0.001026,0
351,RERFLCSQ1,LGK974,5.08144,4.511789,LUSC,-0.000206,-0.000946,0
352,RERFLCSQ1,LY2109761,5.837341,4.716929,LUSC,-0.000223,-0.001027,0
353,RERFLCSQ1,Lapatinib,0.92254,2.698871,LUSC,0.000615,-0.001147,0
354,RERFLCSQ1,Leflunomide,5.847153,5.019767,LUSC,-0.000527,-0.000734,0
355,RERFLCSQ1,Lenalidomide,5.88299,5.236298,LUSC,-0.000463,-0.000681,0
356,RERFLCSQ1,Lestaurtinib,1.233787,0.035945,LUSC,-0.000064,-0.001169,0
357,RERFLCSQ1,Linsitinib,4.712139,4.186407,LUSC,-0.000102,-0.001063,0
358,RERFLCSQ1,Luminespib,0.734075,-2.969835,LUSC,-0.000024,-0.000931,0
359,RERFLCSQ1,MG-132,-1.250346,-1.665197,LUSC,-0.000275,-0.000843,0
360,RERFLCSQ1,MIRA-1,5.970787,5.343939,LUSC,-0.000528,-0.000381,0
361,RERFLCSQ1,MK-1775,-0.023904,-0.03226,LUSC,-0.000081,-0.001256,0
362,RERFLCSQ1,MK-2206,1.444058,2.24607,LUSC,-0.000146,-0.00097,0
363,RERFLCSQ1,ML323,5.675728,4.570127,LUSC,-0.000485,-0.000907,0
364,RERFLCSQ1,MN-64,4.936967,4.235564,LUSC,-0.000512,-0.00065,0
365,RERFLCSQ1,Mirin,4.90794,4.716145,LUSC,-0.000493,-0.000551,0
366,RERFLCSQ1,Motesanib,5.254758,5.398672,LUSC,-0.000511,-0.000811,0
367,RERFLCSQ1,NU7441,1.932448,2.206861,LUSC,-0.000266,-0.000965,0
368,RERFLCSQ1,NVP-ADW742,2.063317,2.028041,LUSC,-0.000136,-0.001066,0
369,RERFLCSQ1,Navitoclax,3.025047,2.528009,LUSC,0.004854,-0.000046,1
370,RERFLCSQ1,Nilotinib,4.537594,3.090999,LUSC,0.000883,-0.000903,0
371,RERFLCSQ1,Niraparib,4.881429,4.610546,LUSC,-0.000504,-0.000638,0
372,RERFLCSQ1,Nutlin-3a (-),4.73155,4.807661,LUSC,0.000461,-0.001077,0
373,RERFLCSQ1,OF-1,4.29717,4.566142,LUSC,-0.000622,-0.000824,0
374,RERFLCSQ1,OSI-027,3.742476,2.068642,LUSC,-0.000152,-0.001028,0
375,RERFLCSQ1,OTX015,3.386668,1.806108,LUSC,-0.000171,-0.001023,0
376,RERFLCSQ1,Olaparib,4.994994,4.606164,LUSC,-0.000212,-0.001088,0
377,RERFLCSQ1,Osimertinib,-0.187819,1.884604,LUSC,-0.000066,-0.001095,0
378,RERFLCSQ1,Oxaliplatin,4.712497,4.72294,LUSC,-0.000593,-0.000515,0
379,RERFLCSQ1,P22077,5.907444,4.638803,LUSC,-0.000388,-0.000652,0
380,RERFLCSQ1,PCI-34051,5.312894,4.439216,LUSC,-0.000504,-0.000727,0
381,RERFLCSQ1,PD0325901,0.167337,2.521389,LUSC,-0.000475,-0.000796,0
382,RERFLCSQ1,PD173074,2.478187,3.192805,LUSC,0.000139,-0.000963,0
383,RERFLCSQ1,PFI-1,4.69525,4.128468,LUSC,-0.000525,-0.000822,0
384,RERFLCSQ1,PFI3,5.095948,5.20883,LUSC,-0.000457,-0.000645,0
385,RERFLCSQ1,PLX-4720,5.086996,4.227364,LUSC,-0.000693,-0.000752,0
386,RERFLCSQ1,PRIMA-1MET,6.074301,3.66577,LUSC,-0.000564,-0.000362,0
387,RERFLCSQ1,PRT062607,4.564106,2.445241,LUSC,-0.000589,-0.000845,0
388,RERFLCSQ1,Paclitaxel,-3.293134,-3.680733,LUSC,0.004668,-0.000295,1
389,RERFLCSQ1,Palbociclib,2.131303,3.660671,LUSC,-0.000215,-0.001088,0
390,RERFLCSQ1,Pevonedistat,-0.682818,0.935154,LUSC,-0.000371,-0.000992,0
391,RERFLCSQ1,Picolinici-acid,4.781771,5.135909,LUSC,-0.000483,-0.000565,0
392,RERFLCSQ1,Pictilisib,0.416347,0.21747,LUSC,0.000281,-0.001037,0
393,RERFLCSQ1,RO-3306,2.871785,3.131492,LUSC,-0.000425,-0.000487,0
394,RERFLCSQ1,RVX-208,5.676096,4.675989,LUSC,-0.000651,-0.000798,0
395,RERFLCSQ1,Refametinib,1.411019,2.549062,LUSC,0.000034,-0.001069,0
396,RERFLCSQ1,Ribociclib,2.816077,3.435569,LUSC,-0.00044,-0.000977,0
397,RERFLCSQ1,Rucaparib,5.242131,4.176669,LUSC,-0.000496,-0.000577,0
398,RERFLCSQ1,Ruxolitinib,5.344052,4.712678,LUSC,-0.000489,-0.00064,0
399,RERFLCSQ1,SB216763,5.73458,4.919888,LUSC,-0.000595,-0.000811,0
400,RERFLCSQ1,SB590885,5.24396,4.454077,LUSC,0.000059,-0.00105,0
401,RERFLCSQ1,SCH772984,0.980463,2.614026,LUSC,0.000832,-0.000979,0
402,RERFLCSQ1,SGC0946,2.645602,2.217988,LUSC,0.000343,-0.00104,0
403,RERFLCSQ1,SN-38,3.526117,-1.349728,LUSC,-0.000495,-0.000952,0
404,RERFLCSQ1,Sabutoclax,0.753574,-0.127294,LUSC,0.003373,-0.000396,1
405,RERFLCSQ1,Savolitinib,3.06928,2.375322,LUSC,-0.00052,-0.00076,0
406,RERFLCSQ1,Selumetinib,3.005874,4.311419,LUSC,-0.000622,-0.00072,0
407,RERFLCSQ1,Sepantronium bromide,-1.60533,-4.131554,LUSC,-0.000545,-0.000559,0
408,RERFLCSQ1,Serdemetan,3.167339,3.658311,LUSC,-0.000515,-0.000709,0
409,RERFLCSQ1,Sorafenib,2.651752,2.856143,LUSC,-0.000007,-0.001055,0
410,RERFLCSQ1,Staurosporine,-2.081987,-4.404488,LUSC,-0.000032,-0.000928,0
411,RERFLCSQ1,Talazoparib,3.29537,3.70155,LUSC,-0.000582,-0.001008,0
412,RERFLCSQ1,Tamoxifen,3.832875,3.34074,LUSC,-0.000481,-0.000461,0
413,RERFLCSQ1,Tanespimycin,-1.807295,-1.201544,LUSC,0.000432,-0.000945,0
414,RERFLCSQ1,Taselisib,-1.254731,1.078303,LUSC,-0.000011,-0.001114,0
415,RERFLCSQ1,Telomerase Inhibitor IX,2.289439,0.983066,LUSC,-0.000485,-0.000791,0
416,RERFLCSQ1,Temozolomide,6.555498,6.435134,LUSC,-0.0005,-0.000617,0
417,RERFLCSQ1,Trametinib,-2.38205,0.76142,LUSC,0.000756,-0.001078,0
418,RERFLCSQ1,Ulixertinib,1.469542,2.716741,LUSC,-0.000511,-0.000838,0
419,RERFLCSQ1,Uprosertib,0.306266,1.760392,LUSC,-0.00049,-0.000809,0
420,RERFLCSQ1,VE-822,1.968383,3.258137,LUSC,-0.000034,-0.001091,0
421,RERFLCSQ1,Veliparib,5.843134,5.026252,LUSC,-0.000457,-0.000674,0
422,RERFLCSQ1,Venetoclax,4.27853,2.794315,LUSC,0.004704,0.000082,1
423,RERFLCSQ1,Vismodegib,5.673349,4.848387,LUSC,-0.000298,-0.000927,0
424,RERFLCSQ1,Vorinostat,2.167727,1.636021,LUSC,-0.000413,-0.000369,0
425,RERFLCSQ1,WEHI-539,6.007125,4.056453,LUSC,0.000362,-0.001017,0
426,RERFLCSQ1,WIKI4,4.432891,3.564968,LUSC,0.00014,-0.001142,0
427,RERFLCSQ1,WZ4003,3.178065,3.901976,LUSC,-0.000057,-0.001205,0
428,RERFLCSQ1,Wnt-C59,4.864511,4.131206,LUSC,-0.00056,-0.000888,0
429,RERFLCSQ1,XAV939,5.287106,4.395066,LUSC,-0.000463,-0.000851,0
430,RERFLCSQ1,YK-4-279,3.224404,1.817331,LUSC,-0.000467,-0.000591,0
431,RERFLCSQ1,ZM447439,2.553715,2.27326,LUSC,-0.000112,-0.00101,0
432,NCIH2228,5-Fluorouracil,4.904895,4.467947,LUAD,-0.000608,-0.000246,0
433,NCIH2228,ABT737,4.416044,2.997342,LUAD,0.004093,-0.000352,1
434,NCIH2228,AGI-5198,5.462832,4.933392,LUAD,-0.000059,-0.00104,0
435,NCIH2228,AGI-6780,4.892088,4.826574,LUAD,0.000268,-0.00102,0
436,NCIH2228,AGK2,3.043743,3.495374,LUAD,-0.000247,-0.000999,0
437,NCIH2228,AZ960,0.947764,2.415889,LUAD,-0.000634,-0.000847,0
438,NCIH2228,AZD3759,4.10597,2.249098,LUAD,0.000004,-0.000985,0
439,NCIH2228,AZD4547,4.635637,3.979157,LUAD,0.000025,-0.00103,0
440,NCIH2228,AZD5363,3.564246,3.0566,LUAD,-0.00046,-0.000866,0
441,NCIH2228,AZD5582,3.292899,3.195711,LUAD,0.004545,-0.000266,1
442,NCIH2228,AZD6738,3.493801,2.295603,LUAD,-0.000474,-0.001005,0
443,NCIH2228,AZD7762,0.326371,0.459294,LUAD,-0.000477,-0.00061,0
444,NCIH2228,AZD8186,3.067852,2.872191,LUAD,-0.000103,-0.000994,0
445,NCIH2228,Afatinib,2.361375,0.878386,LUAD,-0.00008,-0.001059,0
446,NCIH2228,Afuresertib,2.300677,2.468674,LUAD,-0.000555,-0.000928,0
447,NCIH2228,Alpelisib,2.672479,3.380883,LUAD,-0.000223,-0.001024,0
448,NCIH2228,Avagacestat,5.196229,5.277632,LUAD,-0.000024,-0.001047,0
449,NCIH2228,Axitinib,3.908777,4.044765,LUAD,-0.000528,-0.000662,0
450,NCIH2228,BMS-345541,3.281385,3.58876,LUAD,-0.000408,-0.000713,0
451,NCIH2228,BMS-536924,0.126029,2.043284,LUAD,-0.000066,-0.001109,0
452,NCIH2228,BMS-754807,0.775757,2.30934,LUAD,-0.000064,-0.001026,0
453,NCIH2228,Bortezomib,-4.08758,-4.534986,LUAD,-0.000524,-0.00068,0
454,NCIH2228,Bosutinib,3.34493,3.229998,LUAD,0.000063,-0.001018,0
455,NCIH2228,Buparlisib,1.23057,1.023616,LUAD,-0.000581,-0.00087,0
456,NCIH2228,CCT007093,5.465178,5.498996,LUAD,-0.000416,-0.000664,0
457,NCIH2228,CZC24832,6.807508,5.429813,LUAD,-0.000476,-0.000878,0
458,NCIH2228,Camptothecin,-2.711762,-2.354717,LUAD,-0.000558,-0.000894,0
459,NCIH2228,Cediranib,3.688734,2.407251,LUAD,-0.000157,-0.001079,0
460,NCIH2228,Crizotinib,1.171639,3.437839,LUAD,-0.000453,-0.001062,0
461,NCIH2228,Cyclophosphamide,6.757413,5.895885,LUAD,-0.000496,-0.000404,0
462,NCIH2228,Dactinomycin,-2.354451,-3.400547,LUAD,0.004687,0.000544,1
463,NCIH2228,Dactolisib,-1.792299,-1.785635,LUAD,0.00008,-0.001136,0
464,NCIH2228,Dasatinib,1.621318,1.052834,LUAD,-0.000388,-0.00103,0
465,NCIH2228,Dinaciclib,-1.086308,-2.45462,LUAD,-0.00046,-0.000648,0
466,NCIH2228,Docetaxel,-2.456433,-3.116068,LUAD,0.004284,-0.00036,1
467,NCIH2228,Doramapimod,5.044137,6.241465,LUAD,-0.000022,-0.001192,0
468,NCIH2228,EHT-1864,4.915289,4.329855,LUAD,-0.000135,-0.001086,0
469,NCIH2228,EPZ004777,6.539126,6.090219,LUAD,0.00022,-0.001077,0
470,NCIH2228,EPZ5676,5.639817,6.250471,LUAD,0.000778,-0.001108,0
471,NCIH2228,Entinostat,2.615521,2.856794,LUAD,-0.00049,-0.000808,0
472,NCIH2228,Entospletinib,3.981642,3.724612,LUAD,-0.000506,-0.000998,0
473,NCIH2228,Epirubicin,0.051804,-0.295046,LUAD,0.000572,-0.000948,0
474,NCIH2228,Erlotinib,3.922373,3.343516,LUAD,-0.000446,-0.000518,0
475,NCIH2228,Fulvestrant,5.237126,4.382209,LUAD,0.000236,-0.001036,0
476,NCIH2228,GDC0810,6.45508,5.60508,LUAD,-0.000088,-0.001141,0
477,NCIH2228,GSK1904529A,4.833312,5.052296,LUAD,0.004789,-0.000203,1
478,NCIH2228,GSK2578215A,5.367241,5.516467,LUAD,-0.000253,-0.000994,0
479,NCIH2228,GSK2606414,3.808508,4.069577,LUAD,-0.000013,-0.001136,0
480,NCIH2228,GSK343,5.586038,3.962639,LUAD,0.000268,-0.001107,0
481,NCIH2228,GW441756,3.250814,3.584925,LUAD,-0.000537,-0.000782,0
482,NCIH2228,Gefitinib,4.025381,3.486215,LUAD,-0.000629,-0.000809,0
483,NCIH2228,Gemcitabine,-1.374019,-1.084672,LUAD,-0.000544,-0.000724,0
484,NCIH2228,I-BET-762,4.417057,3.69323,LUAD,-0.000501,-0.001031,0
485,NCIH2228,I-BRD9,5.84783,4.813206,LUAD,0.000344,-0.001102,0
486,NCIH2228,IWP-2,2.450147,3.290418,LUAD,-0.000147,-0.001116,0
487,NCIH2228,Ibrutinib,6.274045,4.50919,LUAD,0.000015,-0.001011,0
488,NCIH2228,Ipatasertib,3.528272,4.186202,LUAD,-0.000292,-0.000963,0
489,NCIH2228,Irinotecan,2.251944,2.273782,LUAD,0.000871,-0.000889,0
490,NCIH2228,JNK Inhibitor VIII,6.052156,5.658438,LUAD,-0.000456,-0.000544,0
491,NCIH2228,JQ1,2.886159,2.680555,LUAD,-0.000186,-0.00111,0
492,NCIH2228,KRAS (G12C) Inhibitor-12,7.582933,5.278271,LUAD,-0.000458,-0.00071,0
493,NCIH2228,KU-55933,5.841444,5.55033,LUAD,-0.000477,-0.000488,0
494,NCIH2228,LCL161,3.71947,5.18507,LUAD,-0.000027,-0.001142,0
495,NCIH2228,LGK974,4.438999,4.721803,LUAD,-0.000216,-0.000928,0
496,NCIH2228,LY2109761,6.644155,5.724422,LUAD,-0.00047,-0.000853,0
497,NCIH2228,Lapatinib,5.309039,3.350971,LUAD,0.000533,-0.001128,0
498,NCIH2228,Leflunomide,5.247231,5.296788,LUAD,-0.000463,-0.000733,0
499,NCIH2228,Lenalidomide,6.683006,5.968902,LUAD,-0.000504,-0.000709,0
500,NCIH2228,Lestaurtinib,0.996595,0.946861,LUAD,0.000075,-0.00107,0
501,NCIH2228,Linsitinib,2.587034,4.701221,LUAD,0.000024,-0.001053,0
502,NCIH2228,Luminespib,-1.997614,-2.434988,LUAD,0.000187,-0.000915,0
503,NCIH2228,MG-132,-0.048894,-1.452984,LUAD,-0.000264,-0.000819,0
504,NCIH2228,MIRA-1,7.064502,6.098174,LUAD,-0.000532,-0.000372,0
505,NCIH2228,MK-1775,0.95434,0.668641,LUAD,-0.000107,-0.001217,0
506,NCIH2228,MK-2206,1.712131,3.015847,LUAD,-0.000022,-0.000998,0
507,NCIH2228,ML323,6.880016,5.091005,LUAD,-0.000482,-0.00092,0
508,NCIH2228,MN-64,4.399393,4.942693,LUAD,-0.000502,-0.000668,0
509,NCIH2228,Mirin,5.830652,5.199571,LUAD,-0.000543,-0.000628,0
510,NCIH2228,Motesanib,6.776365,6.500201,LUAD,-0.000554,-0.000905,0
511,NCIH2228,NU7441,4.963413,3.440788,LUAD,-0.000584,-0.000905,0
512,NCIH2228,NVP-ADW742,3.497134,2.942602,LUAD,-0.000261,-0.001127,0
513,NCIH2228,Navitoclax,4.178065,3.135134,LUAD,0.004982,-0.000084,1
514,NCIH2228,Nilotinib,5.352288,4.313403,LUAD,0.000744,-0.001029,0
515,NCIH2228,Niraparib,3.703622,4.801138,LUAD,-0.000519,-0.000666,0
516,NCIH2228,Nutlin-3a (-),6.051779,5.870397,LUAD,0.000595,-0.000983,0
517,NCIH2228,OF-1,4.580704,4.943954,LUAD,-0.000613,-0.000849,0
518,NCIH2228,OSI-027,3.812424,2.143936,LUAD,-0.000211,-0.00096,0
519,NCIH2228,OTX015,5.416979,2.850016,LUAD,-0.00013,-0.001152,0
520,NCIH2228,Olaparib,4.720014,4.956842,LUAD,-0.000141,-0.00109,0
521,NCIH2228,Osimertinib,3.074055,1.302258,LUAD,0.000045,-0.001031,0
522,NCIH2228,Oxaliplatin,5.494261,4.925,LUAD,-0.000599,-0.000483,0
523,NCIH2228,P22077,6.47197,5.465537,LUAD,-0.000469,-0.000752,0
524,NCIH2228,PCI-34051,6.753137,5.139773,LUAD,-0.000518,-0.000843,0
525,NCIH2228,PD0325901,1.972169,0.65626,LUAD,-0.000461,-0.000858,0
526,NCIH2228,PD173074,5.079793,4.670794,LUAD,0.000088,-0.000961,0
527,NCIH2228,PFI-1,5.859817,4.701329,LUAD,-0.000593,-0.00081,0
528,NCIH2228,PFI3,6.792375,5.913645,LUAD,-0.00038,-0.000664,0
529,NCIH2228,PLX-4720,5.00477,4.663876,LUAD,-0.000645,-0.00082,0
530,NCIH2228,PRIMA-1MET,5.600966,5.673364,LUAD,-0.000442,-0.000429,0
531,NCIH2228,PRT062607,3.617158,3.079804,LUAD,-0.000525,-0.000849,0
532,NCIH2228,Paclitaxel,-1.763564,-2.17625,LUAD,0.004666,-0.000162,1
533,NCIH2228,Palbociclib,4.660124,3.755285,LUAD,-0.000155,-0.001091,0
534,NCIH2228,Pevonedistat,3.042005,1.996928,LUAD,-0.000448,-0.001012,0
535,NCIH2228,Picolinici-acid,6.701608,5.632235,LUAD,-0.000508,-0.000492,0
536,NCIH2228,Pictilisib,0.612912,0.583894,LUAD,0.000152,-0.000961,0
537,NCIH2228,RO-3306,4.619897,3.693075,LUAD,-0.000385,-0.000667,0
538,NCIH2228,RVX-208,6.557054,5.374279,LUAD,-0.000555,-0.000805,0
539,NCIH2228,Refametinib,1.610587,0.691696,LUAD,0.000078,-0.001021,0
540,NCIH2228,Ribociclib,5.225547,4.056041,LUAD,-0.000368,-0.001052,0
541,NCIH2228,Rucaparib,4.102681,4.458523,LUAD,-0.000481,-0.000745,0
542,NCIH2228,Ruxolitinib,2.853212,5.515194,LUAD,-0.000555,-0.000747,0
543,NCIH2228,SB216763,5.895278,5.77131,LUAD,-0.00056,-0.000817,0
544,NCIH2228,SB590885,4.772365,4.641218,LUAD,0.000011,-0.001044,0
545,NCIH2228,SCH772984,2.840438,1.536463,LUAD,0.000875,-0.000838,0
546,NCIH2228,SGC0946,3.355229,2.387451,LUAD,0.000419,-0.001055,0
547,NCIH2228,SN-38,-2.178999,-3.281375,LUAD,-0.000381,-0.001047,0
548,NCIH2228,Sabutoclax,-0.699829,0.298702,LUAD,0.003087,-0.000347,1
549,NCIH2228,Savolitinib,3.185019,2.750904,LUAD,-0.000479,-0.000854,0
550,NCIH2228,Selumetinib,5.122288,3.204351,LUAD,-0.000528,-0.000823,0
551,NCIH2228,Sepantronium bromide,-2.686342,-4.107563,LUAD,-0.000479,-0.000744,0
552,NCIH2228,Serdemetan,2.598013,4.135504,LUAD,-0.000456,-0.000774,0
553,NCIH2228,Sorafenib,3.620614,3.289913,LUAD,-0.000122,-0.001136,0
554,NCIH2228,Staurosporine,-1.876254,-3.291221,LUAD,0.000097,-0.000981,0
555,NCIH2228,Talazoparib,3.017916,3.469277,LUAD,-0.000512,-0.000891,0
556,NCIH2228,Tamoxifen,5.29088,4.633011,LUAD,-0.00051,-0.000684,0
557,NCIH2228,Tanespimycin,-0.893264,-1.050101,LUAD,0.000484,-0.000973,0
558,NCIH2228,Taselisib,1.235209,0.338112,LUAD,-0.000035,-0.001213,0
559,NCIH2228,Telomerase Inhibitor IX,2.438926,1.492462,LUAD,-0.000455,-0.00086,0
560,NCIH2228,Temozolomide,7.649378,7.209578,LUAD,-0.000579,-0.000657,0
561,NCIH2228,Trametinib,-0.566433,-1.448153,LUAD,0.00047,-0.00102,0
562,NCIH2228,Ulixertinib,3.395049,2.390689,LUAD,-0.000511,-0.000992,0
563,NCIH2228,Uprosertib,2.404481,3.105938,LUAD,-0.000465,-0.001007,0
564,NCIH2228,VE-822,4.139256,3.865293,LUAD,-0.000083,-0.001084,0
565,NCIH2228,Veliparib,5.840194,5.815467,LUAD,-0.000441,-0.000692,0
566,NCIH2228,Venetoclax,4.088028,3.294028,LUAD,0.004655,-0.000156,1
567,NCIH2228,Vismodegib,6.50576,5.46777,LUAD,-0.000143,-0.000999,0
568,NCIH2228,Vorinostat,2.334577,2.136241,LUAD,-0.000454,-0.000422,0
569,NCIH2228,WEHI-539,4.547011,4.649374,LUAD,0.000128,-0.001154,0
570,NCIH2228,WIKI4,3.004243,4.086129,LUAD,0.000106,-0.0011,0
571,NCIH2228,WZ4003,3.776361,4.688002,LUAD,-0.000032,-0.00117,0
572,NCIH2228,Wnt-C59,5.863181,5.042647,LUAD,-0.000479,-0.000908,0
573,NCIH2228,XAV939,3.195765,4.438282,LUAD,-0.000393,-0.000825,0
574,NCIH2228,YK-4-279,3.435987,2.675036,LUAD,-0.000457,-0.000595,0
575,NCIH2228,ZM447439,2.684147,3.497545,LUAD,0.000072,-0.001034,0
576,NCIH2170,5-Fluorouracil,3.937417,3.415473,LUSC,-0.000647,0.000396,0
577,NCIH2170,ABT737,0.772399,2.606516,LUSC,0.004082,0.000019,1
578,NCIH2170,AGI-5198,4.717171,4.612392,LUSC,-0.000316,-0.000286,0
579,NCIH2170,AGI-6780,4.065627,4.235341,LUSC,-0.00007,-0.000247,0
580,NCIH2170,AGK2,4.466269,2.896377,LUSC,-0.000423,-0.000053,0
581,NCIH2170,AZ960,2.062976,1.917893,LUSC,-0.000714,-0.000016,0
582,NCIH2170,AZD3759,2.630144,2.12738,LUSC,-0.000379,-0.000118,0
583,NCIH2170,AZD4547,2.319813,1.854923,LUSC,-0.000281,-0.000279,0
584,NCIH2170,AZD5363,1.977369,2.499732,LUSC,-0.000612,-0.000078,0
585,NCIH2170,AZD5582,3.033731,0.892423,LUSC,0.00444,0.000099,1
586,NCIH2170,AZD6738,1.888228,1.893872,LUSC,-0.000611,-0.000243,0
587,NCIH2170,AZD7762,-0.532861,-0.181874,LUSC,-0.000549,0.000196,0
588,NCIH2170,AZD8186,2.486751,2.902347,LUSC,-0.000434,-0.000347,0
589,NCIH2170,Afatinib,-3.043887,0.048221,LUSC,-0.000255,-0.000226,0
590,NCIH2170,Afuresertib,1.687789,1.965129,LUSC,-0.000722,0.000051,0
591,NCIH2170,Alpelisib,2.351157,2.786028,LUSC,-0.000363,-0.00018,0
592,NCIH2170,Avagacestat,5.122274,5.008774,LUSC,-0.000111,-0.000152,0
593,NCIH2170,Axitinib,1.651365,3.057017,LUSC,-0.000589,-0.000053,0
594,NCIH2170,BMS-345541,2.512685,2.737448,LUSC,-0.000486,0.000053,0
595,NCIH2170,BMS-536924,1.594605,1.392514,LUSC,-0.000269,-0.00033,0
596,NCIH2170,BMS-754807,0.622179,0.428649,LUSC,-0.000296,-0.000248,0
597,NCIH2170,Bortezomib,-4.691718,-4.8964,LUSC,-0.000602,0.000092,0
598,NCIH2170,Bosutinib,0.330784,2.332017,LUSC,-0.000265,-0.000259,0
599,NCIH2170,Buparlisib,0.075392,0.7994,LUSC,-0.0008,-0.000012,0
600,NCIH2170,CCT007093,5.571013,4.982946,LUSC,-0.000491,0.000113,0
601,NCIH2170,CZC24832,4.061356,5.469239,LUSC,-0.000637,0.000121,0
602,NCIH2170,Camptothecin,-3.956039,-2.545185,LUSC,-0.000651,-0.000131,0
603,NCIH2170,Cediranib,1.293744,1.70552,LUSC,-0.000369,-0.000226,0
604,NCIH2170,Crizotinib,1.471901,2.733345,LUSC,-0.000669,-0.00014,0
605,NCIH2170,Cyclophosphamide,4.952204,5.183536,LUSC,-0.000616,0.000376,0
606,NCIH2170,Dactinomycin,-4.551184,-3.876398,LUSC,0.00476,0.000807,1
607,NCIH2170,Dactolisib,-2.653821,-1.91814,LUSC,0.00001,-0.000479,0
608,NCIH2170,Dasatinib,0.797258,3.258214,LUSC,-0.00056,-0.000157,0
609,NCIH2170,Dinaciclib,-2.449249,-3.65668,LUSC,-0.000617,0.000183,0
610,NCIH2170,Docetaxel,-5.529357,-4.64155,LUSC,0.004332,0.000095,1
611,NCIH2170,Doramapimod,3.849536,5.332197,LUSC,-0.00025,-0.000462,0
612,NCIH2170,EHT-1864,4.118902,3.39751,LUSC,-0.000439,-0.000094,0
613,NCIH2170,EPZ004777,5.481805,5.553602,LUSC,-0.000242,-0.000355,0
614,NCIH2170,EPZ5676,5.444124,5.948187,LUSC,0.000503,-0.000462,0
615,NCIH2170,Entinostat,1.726923,1.048691,LUSC,-0.00066,-0.000022,0
616,NCIH2170,Entospletinib,2.52304,3.621322,LUSC,-0.000539,-0.000151,0
617,NCIH2170,Epirubicin,0.463484,-0.666076,LUSC,0.000167,-0.000267,0
618,NCIH2170,Erlotinib,0.600995,2.026793,LUSC,-0.00063,0.000255,0
619,NCIH2170,Fulvestrant,3.640301,3.54884,LUSC,-0.00004,-0.000203,0
620,NCIH2170,GDC0810,5.430008,4.93377,LUSC,-0.000057,-0.000141,0
621,NCIH2170,GSK1904529A,4.624341,4.463869,LUSC,0.004424,0.000049,1
622,NCIH2170,GSK2578215A,5.591718,4.918087,LUSC,-0.00043,-0.000233,0
623,NCIH2170,GSK2606414,3.616166,3.457874,LUSC,-0.000153,-0.000344,0
624,NCIH2170,GSK343,3.57983,3.430527,LUSC,0.000054,-0.000226,0
625,NCIH2170,GW441756,1.88632,3.187069,LUSC,-0.000566,0.000075,0
